Netlist file: ../../benchmarks/fpga/net_TRETS/alu4_k6.net   Architecture file: arch/k6-n1.xml
Array size: 91 x 91 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		0	43	0	#0
i_10_		0	39	0	#1
i_11_		0	36	0	#2
i_12_		0	46	0	#3
i_13_		0	33	0	#4
i_1_		0	45	0	#5
i_2_		0	41	0	#6
i_3_		0	37	0	#7
i_4_		0	35	0	#8
i_5_		0	42	0	#9
i_6_		0	40	0	#10
i_7_		0	44	0	#11
i_8_		0	38	0	#12
i_9_		0	34	0	#13
new_n100_	39	39	0	#14
new_n102_	31	45	0	#15
new_n103_	9	38	0	#16
new_n104_	27	21	0	#17
new_n105_	7	40	0	#18
new_n106_	1	21	0	#19
out_new_n108_:new_n160_	32	0	0	#20
out_new_n108_:new_n258_	0	86	0	#21
out_new_n108_:new_n168_	0	47	0	#22
out_new_n108_:new_n109_	31	0	0	#23
out_new_n108_:new_n136_	0	62	0	#24
new_n109_	30	35	0	#25
new_n110_	27	35	0	#26
new_n111_	28	34	0	#27
new_n112_	28	33	0	#28
new_n113_	27	30	0	#29
new_n114_	27	34	0	#30
new_n115_	26	35	0	#31
new_n116_	25	44	0	#32
new_n117_	25	41	0	#33
new_n118_	24	43	0	#34
new_n119_	20	36	0	#35
new_n120_	20	35	0	#36
new_n121_	20	34	0	#37
new_n122_	15	35	0	#38
new_n123_	23	29	0	#39
new_n124_	19	35	0	#40
new_n125_	19	36	0	#41
new_n126_	18	36	0	#42
new_n127_	13	44	0	#43
new_n128_	14	40	0	#44
new_n129_	29	35	0	#45
new_n130_	4	38	0	#46
new_n131_	29	36	0	#47
out_new_n132_:i_0_	92	73	0	#48
out_new_n132_:i_6_	57	92	0	#49
out_new_n132_:i_2_	74	92	0	#50
out_new_n132_:i_1_	92	68	0	#51
out_new_n132_:i_7_	92	70	0	#52
new_n133_	28	35	0	#53
new_n134_	28	46	0	#54
new_n135_	28	40	0	#55
new_n136_	16	49	0	#56
out_new_n137_:i_8_	70	0	0	#57
out_new_n137_:i_9_	90	0	0	#58
out_new_n137_:i_6_	92	5	0	#59
out_new_n137_:new_n140_	30	92	0	#60
out_new_n137_:new_n138_	37	92	0	#61
new_n138_	33	78	0	#62
new_n139_	1	35	0	#63
new_n140_	29	46	0	#64
new_n141_	16	32	0	#65
new_n142_	5	32	0	#66
out_new_n143_:new_n144_	0	16	0	#67
out_new_n143_:new_n146_	0	85	0	#68
new_n144_	3	18	0	#69
new_n145_	15	37	0	#70
new_n146_	1	30	0	#71
new_n147_	15	39	0	#72
new_n148_	15	33	0	#73
new_n149_	20	29	0	#74
new_n150_	20	31	0	#75
new_n151_	18	48	0	#76
new_n152_	18	49	0	#77
new_n153_	16	43	0	#78
new_n154_	21	40	0	#79
new_n155_	18	47	0	#80
new_n156_	17	50	0	#81
new_n157_	13	50	0	#82
new_n158_	9	50	0	#83
new_n159_	17	45	0	#84
new_n160_	27	14	0	#85
new_n161_	23	17	0	#86
out_new_n162_:i_3_	58	0	0	#87
out_new_n162_:new_n56_	49	0	0	#88
out_new_n162_:new_n82_	0	22	0	#89
out_new_n162_:new_n163_	34	0	0	#90
new_n163_	22	32	0	#91
new_n164_	23	24	0	#92
new_n165_	26	37	0	#93
new_n166_	22	24	0	#94
out_new_n167_:i_0_	72	92	0	#95
out_new_n167_:i_6_	92	15	0	#96
out_new_n167_:i_5_	92	80	0	#97
out_new_n167_:i_1_	58	92	0	#98
new_n168_	22	34	0	#99
out_new_n169_:new_n189_	0	81	0	#100
out_new_n169_:new_n184_	25	0	0	#101
out_new_n169_:new_n170_	0	13	0	#102
out_new_n169_:new_n179_	0	72	0	#103
out_new_n169_:new_n175_	0	83	0	#104
new_n170_	22	22	0	#105
new_n171_	11	29	0	#106
new_n172_	16	37	0	#107
new_n173_	23	32	0	#108
new_n174_	22	23	0	#109
new_n175_	5	36	0	#110
new_n176_	6	35	0	#111
new_n177_	2	45	0	#112
new_n178_	3	29	0	#113
new_n179_	7	29	0	#114
new_n180_	6	29	0	#115
new_n181_	8	29	0	#116
new_n182_	9	36	0	#117
new_n183_	6	28	0	#118
new_n184_	24	20	0	#119
new_n185_	23	25	0	#120
new_n186_	13	43	0	#121
new_n187_	19	37	0	#122
new_n188_	23	20	0	#123
new_n189_	13	42	0	#124
new_n190_	13	29	0	#125
new_n191_	14	47	0	#126
new_n192_	24	41	0	#127
out_new_n193_:i_9_	71	0	0	#128
out_new_n193_:new_n121_	39	0	0	#129
out_new_n193_:new_n180_	7	92	0	#130
out_new_n193_:new_n194_	0	49	0	#131
new_n194_	20	44	0	#132
new_n195_	23	41	0	#133
new_n196_	25	43	0	#134
new_n197_	23	40	0	#135
new_n198_	21	36	0	#136
new_n199_	19	43	0	#137
new_n200_	24	42	0	#138
new_n201_	8	35	0	#139
new_n202_	24	38	0	#140
new_n203_	26	33	0	#141
new_n204_	23	44	0	#142
new_n205_	23	47	0	#143
new_n206_	23	45	0	#144
new_n207_	22	45	0	#145
new_n208_	22	31	0	#146
new_n209_	7	31	0	#147
new_n210_	6	38	0	#148
new_n211_	1	31	0	#149
out_new_n212_:new_n35_	0	51	0	#150
out_new_n212_:new_n150_	15	0	0	#151
out_new_n212_:new_n154_	92	34	0	#152
out_new_n212_:new_n177_	0	82	0	#153
out_new_n212_:new_n213_	12	92	0	#154
new_n213_	13	48	0	#155
new_n214_	18	32	0	#156
new_n215_	19	39	0	#157
new_n216_	9	37	0	#158
new_n217_	22	30	0	#159
new_n218_	14	39	0	#160
new_n219_	24	30	0	#161
new_n220_	25	36	0	#162
new_n221_	21	30	0	#163
new_n222_	21	31	0	#164
new_n223_	23	33	0	#165
new_n224_	25	33	0	#166
new_n225_	27	33	0	#167
new_n226_	5	44	0	#168
new_n227_	12	32	0	#169
new_n228_	22	29	0	#170
new_n229_	22	28	0	#171
new_n230_	25	37	0	#172
new_n231_	16	34	0	#173
new_n232_	16	35	0	#174
new_n233_	24	39	0	#175
new_n234_	12	36	0	#176
new_n235_	14	33	0	#177
new_n236_	6	32	0	#178
new_n237_	4	32	0	#179
new_n238_	3	35	0	#180
new_n239_	17	35	0	#181
new_n240_	21	43	0	#182
new_n241_	11	42	0	#183
new_n242_	22	35	0	#184
out_new_n243_:i_8_	92	64	0	#185
out_new_n243_:i_2_	48	92	0	#186
out_new_n243_:new_n244_	92	42	0	#187
new_n244_	21	44	0	#188
new_n245_	24	35	0	#189
new_n246_	28	41	0	#190
new_n247_	5	33	0	#191
new_n248_	19	34	0	#192
new_n249_	29	38	0	#193
new_n250_	20	32	0	#194
new_n251_	19	32	0	#195
new_n252_	17	32	0	#196
new_n253_	22	37	0	#197
new_n254_	21	37	0	#198
new_n255_	22	36	0	#199
new_n256_	6	46	0	#200
new_n257_	8	36	0	#201
new_n258_	3	49	0	#202
new_n259_	3	48	0	#203
new_n25_	27	45	0	#204
out_new_n260_:i_3_	56	0	0	#205
out_new_n260_:i_0_	92	65	0	#206
out_new_n260_:i_6_	80	0	0	#207
out_new_n260_:i_5_	61	92	0	#208
out_new_n260_:i_2_	92	57	0	#209
new_n261_	15	49	0	#210
new_n262_	16	50	0	#211
out_new_n263_:i_6_	69	92	0	#212
out_new_n263_:i_2_	0	20	0	#213
out_new_n263_:new_n138_	36	92	0	#214
out_new_n263_:new_n180_	6	92	0	#215
out_new_n263_:new_n264_	13	92	0	#216
new_n264_	14	42	0	#217
new_n265_	15	43	0	#218
new_n266_	14	44	0	#219
new_n267_	4	44	0	#220
new_n268_	14	37	0	#221
new_n269_	13	49	0	#222
new_n26_	29	45	0	#223
new_n270_	14	50	0	#224
new_n271_	14	49	0	#225
new_n272_	15	50	0	#226
new_n273_	11	39	0	#227
new_n274_	2	48	0	#228
new_n275_	1	48	0	#229
new_n276_	1	49	0	#230
new_n277_	2	47	0	#231
out_new_n278_:i_13_	0	2	0	#232
out_new_n278_:i_12_	85	92	0	#233
out_new_n278_:i_9_	92	9	0	#234
out_new_n278_:new_n281_	45	0	0	#235
out_new_n278_:new_n280_	37	0	0	#236
out_new_n279_:i_6_	92	13	0	#237
out_new_n279_:new_n240_	35	92	0	#238
new_n27_	29	44	0	#239
new_n280_	23	23	0	#240
new_n281_	24	24	0	#241
new_n282_	26	41	0	#242
new_n283_	11	49	0	#243
new_n284_	12	42	0	#244
new_n285_	13	41	0	#245
new_n286_	12	38	0	#246
new_n287_	12	41	0	#247
new_n288_	13	38	0	#248
new_n289_	15	42	0	#249
new_n28_	2	42	0	#250
