Netlist file: ../../benchmarks/fpga/net_TRETS/k2_k6.net   Architecture file: arch/k6-n1.xml
Array size: 50 x 50 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	34	18	0	#0
new_n101_	40	17	0	#1
new_n102_	40	21	0	#2
new_n104_	32	28	0	#3
new_n105_	34	28	0	#4
new_n106_	36	28	0	#5
new_n107_	38	28	0	#6
new_n108_	40	25	0	#7
new_n109_	40	27	0	#8
new_n110_	36	29	0	#9
new_n111_	38	25	0	#10
new_n112_	36	26	0	#11
new_n113_	38	26	0	#12
new_n114_	36	27	0	#13
new_n115_	44	24	0	#14
new_n116_	35	28	0	#15
new_n117_	33	28	0	#16
new_n118_	44	25	0	#17
new_n119_	43	25	0	#18
new_n120_	42	16	0	#19
new_n121_	43	16	0	#20
new_n122_	50	19	0	#21
new_n123_	42	18	0	#22
new_n124_	40	20	0	#23
new_n125_	47	19	0	#24
new_n126_	42	21	0	#25
out_new_n128_:pe0	51	11	0	#26
out_new_n128_:pd0	51	35	0	#27
out_new_n128_:new_n130_	16	51	0	#28
out_new_n128_:new_n129_	0	8	0	#29
new_n129_	44	19	0	#30
new_n130_	47	23	0	#31
new_n131_	37	15	0	#32
new_n132_	38	19	0	#33
new_n133_	47	18	0	#34
new_n134_	37	13	0	#35
new_n135_	38	11	0	#36
new_n136_	42	25	0	#37
new_n137_	42	20	0	#38
new_n138_	46	20	0	#39
new_n139_	44	18	0	#40
new_n140_	42	26	0	#41
new_n141_	46	24	0	#42
new_n142_	50	25	0	#43
new_n143_	45	23	0	#44
new_n144_	50	22	0	#45
new_n145_	47	22	0	#46
out_new_n146_:pw	51	47	0	#47
out_new_n146_:pa0	32	0	0	#48
out_new_n146_:pl	1	51	0	#49
new_n147_	38	1	0	#50
new_n148_	43	18	0	#51
new_n149_	48	18	0	#52
new_n150_	45	24	0	#53
new_n151_	44	16	0	#54
new_n152_	37	29	0	#55
new_n153_	37	28	0	#56
new_n154_	34	29	0	#57
