Netlist file: ../../benchmarks/fpga/net_TRETS/pdc_k6.net   Architecture file: arch/k6-n1.xml
Array size: 162 x 162 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		89	163	0	#0
i_10_		86	0	0	#1
i_11_		85	0	0	#2
i_12_		84	0	0	#3
i_13_		82	0	0	#4
i_14_		81	0	0	#5
i_15_		83	0	0	#6
i_1_		87	163	0	#7
i_2_		90	163	0	#8
i_3_		91	163	0	#9
i_4_		88	163	0	#10
i_5_		86	163	0	#11
i_6_		163	71	0	#12
i_7_		85	163	0	#13
i_8_		89	0	0	#14
i_9_		87	0	0	#15
out_new_n1000_:new_n312_	163	120	0	#16
out_new_n1000_:new_n1005_	160	0	0	#17
out_new_n1000_:new_n1001_	152	0	0	#18
out_new_n1000_:new_n1006_	156	0	0	#19
out_new_n1000_:new_n1002_	0	95	0	#20
new_n1001_	103	1	0	#21
new_n1002_	69	56	0	#22
new_n1003_	69	6	0	#23
new_n1004_	89	6	0	#24
new_n1005_	92	1	0	#25
new_n1006_	97	1	0	#26
new_n1007_	86	59	0	#27
new_n1008_	84	60	0	#28
new_n1009_	84	61	0	#29
new_n100_	86	12	0	#30
new_n1010_	87	65	0	#31
new_n1011_	89	64	0	#32
new_n1012_	88	66	0	#33
new_n1013_	88	62	0	#34
new_n1014_	87	67	0	#35
new_n1015_	87	68	0	#36
new_n1016_	88	60	0	#37
new_n1017_	88	61	0	#38
new_n1018_	88	64	0	#39
new_n1019_	86	16	0	#40
new_n101_	84	2	0	#41
new_n1020_	89	61	0	#42
new_n1021_	82	55	0	#43
new_n1022_	84	55	0	#44
new_n1023_	76	14	0	#45
new_n1024_	81	57	0	#46
new_n1025_	79	57	0	#47
new_n1026_	77	58	0	#48
new_n1027_	84	56	0	#49
new_n1028_	86	37	0	#50
new_n1029_	88	34	0	#51
new_n102_	94	1	0	#52
new_n1030_	83	57	0	#53
new_n1031_	87	58	0	#54
new_n1032_	89	60	0	#55
new_n1033_	93	59	0	#56
new_n1034_	85	57	0	#57
new_n1035_	85	55	0	#58
new_n1036_	85	30	0	#59
new_n1037_	86	9	0	#60
new_n1038_	86	57	0	#61
new_n1039_	90	62	0	#62
