Netlist file: ../../benchmarks/fpga/net_TRETS//k2_k3.net   Architecture file: arch/k3-n1.xml
Array size: 60 x 60 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	9	2	0	#0
new_n101_	53	4	0	#1
new_n102_	50	10	0	#2
new_n103_	52	4	0	#3
new_n104_	43	3	0	#4
new_n105_	41	18	0	#5
new_n106_	49	19	0	#6
new_n107_	43	23	0	#7
new_n108_	55	4	0	#8
new_n109_	2	3	0	#9
out_new_n111_:new_n181_	53	0	0	#10
out_new_n111_:new_n112_	38	61	0	#11
new_n112_	39	16	0	#12
new_n113_	38	15	0	#13
out_new_n114_:new_n123_	0	16	0	#14
out_new_n115_:new_n116_	51	61	0	#15
out_new_n115_:new_n120_	61	30	0	#16
new_n116_	46	10	0	#17
new_n117_	45	10	0	#18
new_n118_	42	10	0	#19
new_n119_	43	11	0	#20
new_n120_	54	5	0	#21
new_n121_	55	5	0	#22
new_n122_	41	20	0	#23
new_n123_	1	3	0	#24
new_n124_	43	20	0	#25
new_n125_	45	8	0	#26
new_n126_	28	14	0	#27
new_n127_	29	14	0	#28
out_new_n128_:pa	0	39	0	#29
out_new_n128_:new_n131_	0	13	0	#30
new_n129_	33	10	0	#31
new_n130_	36	10	0	#32
new_n131_	42	11	0	#33
new_n132_	30	14	0	#34
new_n133_	36	2	0	#35
new_n134_	39	14	0	#36
new_n135_	38	16	0	#37
new_n136_	1	7	0	#38
out_new_n137_:new_n140_	0	24	0	#39
new_n138_	50	6	0	#40
new_n139_	34	5	0	#41
new_n140_	41	10	0	#42
new_n141_	38	11	0	#43
new_n142_	38	10	0	#44
new_n143_	40	20	0	#45
new_n144_	40	16	0	#46
out_new_n145_:new_n152_	61	38	0	#47
out_new_n145_:new_n148_	37	61	0	#48
new_n146_	4	2	0	#49
new_n147_	4	1	0	#50
new_n148_	37	6	0	#51
new_n149_	39	4	0	#52
new_n150_	58	5	0	#53
new_n151_	42	4	0	#54
new_n152_	59	4	0	#55
new_n153_	44	16	0	#56
new_n154_	43	16	0	#57
new_n155_	45	13	0	#58
new_n156_	49	8	0	#59
new_n157_	42	16	0	#60
new_n158_	38	5	0	#61
new_n159_	39	5	0	#62
new_n160_	38	7	0	#63
new_n161_	47	4	0	#64
new_n162_	44	7	0	#65
new_n163_	49	4	0	#66
new_n164_	38	3	0	#67
new_n165_	55	7	0	#68
new_n166_	56	7	0	#69
out_new_n167_:pa0	4	61	0	#70
out_new_n167_:new_n168_	0	2	0	#71
new_n168_	5	2	0	#72
out_new_n170_:new_n171_	61	54	0	#73
out_new_n170_:new_n173_	0	32	0	#74
new_n171_	55	3	0	#75
out_new_n172_:new_n96_	12	61	0	#76
out_new_n172_:new_n124_	40	61	0	#77
new_n173_	1	2	0	#78
new_n174_	38	2	0	#79
new_n175_	35	2	0	#80
out_new_n176_:new_n96_	11	61	0	#81
out_new_n176_:new_n173_	0	31	0	#82
new_n177_	36	1	0	#83
new_n178_	35	1	0	#84
new_n179_	40	1	0	#85
new_n180_	40	2	0	#86
new_n181_	53	1	0	#87
new_n182_	53	2	0	#88
new_n183_	54	2	0	#89
new_n184_	52	2	0	#90
new_n185_	48	3	0	#91
new_n186_	47	2	0	#92
new_n187_	51	2	0	#93
new_n188_	56	2	0	#94
new_n189_	57	2	0	#95
new_n190_	58	2	0	#96
new_n191_	54	3	0	#97
out_new_n192_:new_n193_	55	0	0	#98
out_new_n192_:pn0	57	61	0	#99
new_n193_	55	1	0	#100
new_n194_	54	1	0	#101
out_new_n195_:new_n196_	61	44	0	#102
out_new_n195_:ps0	61	59	0	#103
new_n196_	60	3	0	#104
new_n197_	55	2	0	#105
new_n198_	52	1	0	#106
out_new_n199_:new_n197_	61	3	0	#107
out_new_n199_:new_n200_	61	15	0	#108
new_n200_	60	5	0	#109
new_n201_	56	3	0	#110
new_n202_	56	1	0	#111
new_n203_	51	3	0	#112
new_n204_	50	3	0	#113
new_n205_	50	2	0	#114
out_new_n207_:new_n245_	41	61	0	#115
out_new_n207_:new_n258_	0	18	0	#116
out_new_n208_:new_n221_	12	0	0	#117
out_new_n208_:new_n234_	26	0	0	#118
out_new_n209_:new_n210_	26	61	0	#119
new_n210_	27	14	0	#120
new_n211_	40	17	0	#121
new_n212_	41	17	0	#122
new_n213_	39	17	0	#123
out_new_n214_:pw	6	61	0	#124
new_n215_	35	11	0	#125
new_n216_	36	9	0	#126
new_n217_	27	3	0	#127
new_n219_	54	7	0	#128
new_n220_	59	3	0	#129
new_n221_	13	1	0	#130
new_n222_	36	8	0	#131
out_new_n223_:pa0	0	55	0	#132
out_new_n223_:new_n220_	61	37	0	#133
new_n224_	37	7	0	#134
new_n225_	40	7	0	#135
new_n226_	39	8	0	#136
new_n227_	39	7	0	#137
new_n228_	14	1	0	#138
new_n229_	14	2	0	#139
out_new_n230_:pa	0	38	0	#140
out_new_n230_:new_n233_	60	0	0	#141
out_new_n231_:new_n108_	61	29	0	#142
out_new_n232_:new_n119_	56	61	0	#143
new_n233_	60	2	0	#144
new_n234_	27	2	0	#145
out_new_n235_:pn0	59	61	0	#146
new_n236_	28	3	0	#147
new_n237_	37	3	0	#148
new_n238_	38	17	0	#149
new_n239_	59	2	0	#150
new_n240_	37	16	0	#151
new_n241_	60	4	0	#152
