Netlist file: ../../benchmarks/fpga/net_TRETS//too-lrg_k4.net   Architecture file: arch/k4-n1.xml
Array size: 29 x 29 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	27	6	0	#0
new_n101_	23	5	0	#1
new_n102_	24	4	0	#2
new_n103_	28	5	0	#3
out_new_n104_:pd0	9	30	0	#4
out_new_n104_:pw	30	21	0	#5
new_n105_	23	4	0	#6
new_n106_	27	4	0	#7
new_n107_	28	3	0	#8
new_n108_	29	4	0	#9
out_new_n109_:new_n53_	0	4	0	#10
out_new_n109_:new_n110_	27	0	0	#11
new_n110_	23	2	0	#12
new_n111_	25	3	0	#13
new_n112_	24	1	0	#14
new_n113_	27	5	0	#15
new_n114_	26	4	0	#16
new_n115_	26	6	0	#17
new_n116_	27	7	0	#18
new_n117_	22	6	0	#19
out_new_n118_:pc0	30	27	0	#20
out_new_n118_:new_n120_	25	30	0	#21
out_new_n118_:new_n119_	14	30	0	#22
new_n119_	15	3	0	#23
new_n120_	24	3	0	#24
new_n121_	15	2	0	#25
out_new_n122_:new_n93_	30	22	0	#26
new_n123_	27	2	0	#27
new_n124_	25	2	0	#28
new_n125_	26	3	0	#29
new_n126_	27	3	0	#30
out_new_n127_:new_n108_	28	30	0	#31
out_new_n127_:new_n91_	30	15	0	#32
new_n128_	25	4	0	#33
out_new_n130_:new_n146_	30	19	0	#34
out_new_n130_:new_n144_	20	30	0	#35
out_new_n130_:pl0	23	30	0	#36
out_new_n131_:pe0	4	30	0	#37
out_new_n131_:new_n132_	0	8	0	#38
out_new_n131_:new_n134_	11	0	0	#39
new_n132_	1	3	0	#40
new_n133_	2	4	0	#41
new_n134_	11	1	0	#42
out_new_n135_:new_n58_	0	1	0	#43
new_n136_	13	1	0	#44
new_n137_	14	2	0	#45
new_n138_	11	2	0	#46
out_new_n139_:pd0	11	30	0	#47
out_new_n139_:new_n140_	29	0	0	#48
out_new_n139_:new_n143_	14	0	0	#49
new_n140_	25	1	0	#50
new_n141_	23	1	0	#51
out_new_n142_:new_n57_	15	0	0	#52
out_new_n142_:new_n63_	30	25	0	#53
out_new_n142_:pi	0	28	0	#54
new_n143_	14	1	0	#55
new_n144_	19	3	0	#56
new_n145_	21	3	0	#57
new_n146_	27	8	0	#58
new_n147_	22	7	0	#59
new_n148_	22	4	0	#60
new_n149_	23	3	0	#61
new_n150_	24	5	0	#62
new_n151_	26	5	0	#63
new_n152_	20	2	0	#64
new_n153_	22	5	0	#65
new_n154_	28	7	0	#66
new_n155_	25	5	0	#67
new_n156_	24	6	0	#68
new_n157_	28	4	0	#69
out_new_n159_:new_n176_	8	0	0	#70
out_new_n159_:new_n160_	0	2	0	#71
out_new_n159_:new_n178_	30	17	0	#72
new_n160_	2	2	0	#73
out_new_n161_:pm	0	29	0	#74
out_new_n161_:pj	0	6	0	#75
