Netlist file: ../../benchmarks/fpga/net_TRETS//pdc_k5.net   Architecture file: arch/k5-n1.xml
Array size: 205 x 205 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		0	70	0	#0
i_10_		0	72	0	#1
i_11_		0	76	0	#2
i_12_		0	75	0	#3
i_13_		0	77	0	#4
i_14_		0	73	0	#5
i_15_		0	69	0	#6
i_1_		0	71	0	#7
i_2_		0	68	0	#8
i_3_		37	0	0	#9
i_4_		0	67	0	#10
i_5_		0	79	0	#11
i_6_		0	65	0	#12
i_7_		0	63	0	#13
i_8_		0	66	0	#14
i_9_		0	74	0	#15
new_n1000_	34	27	0	#16
new_n1001_	22	23	0	#17
new_n1002_	44	25	0	#18
new_n1003_	45	24	0	#19
out_new_n1004_:new_n979_	183	0	0	#20
out_new_n1004_:new_n980_	0	25	0	#21
new_n1005_	45	28	0	#22
new_n1006_	39	24	0	#23
new_n1007_	47	28	0	#24
new_n1008_	23	23	0	#25
new_n1009_	35	29	0	#26
new_n100_	1	64	0	#27
new_n1010_	23	22	0	#28
new_n1011_	22	22	0	#29
new_n1012_	19	11	0	#30
new_n1013_	3	11	0	#31
new_n1014_	2	13	0	#32
new_n1015_	20	23	0	#33
new_n1016_	38	44	0	#34
new_n1017_	36	36	0	#35
new_n1018_	31	36	0	#36
new_n1019_	35	36	0	#37
new_n101_	47	3	0	#38
new_n1020_	39	44	0	#39
new_n1021_	31	27	0	#40
new_n1022_	28	27	0	#41
new_n1023_	32	33	0	#42
new_n1024_	36	40	0	#43
new_n1025_	32	32	0	#44
new_n1026_	39	41	0	#45
new_n1027_	184	1	0	#46
new_n1028_	37	38	0	#47
new_n1029_	33	33	0	#48
out_new_n102_:i_5_	206	24	0	#49
out_new_n102_:i_3_	206	3	0	#50
out_new_n102_:new_n98_	206	174	0	#51
new_n1030_	18	20	0	#52
new_n1031_	22	20	0	#53
out_new_n1032_:new_n458_	171	206	0	#54
out_new_n1032_:new_n624_	0	189	0	#55
out_new_n1032_:new_n687_	0	27	0	#56
out_new_n1032_:new_n761_	0	158	0	#57
new_n1034_	47	61	0	#58
out_new_n1035_:new_n372_	206	78	0	#59
out_new_n1035_:new_n1041_	59	206	0	#60
out_new_n1035_:new_n1046_	131	0	0	#61
out_new_n1035_:new_n1052_	206	35	0	#62
out_new_n1036_:new_n325_	159	206	0	#63
out_new_n1036_:new_n819_	0	162	0	#64
out_new_n1036_:new_n1039_	0	129	0	#65
out_new_n1036_:new_n1037_	206	17	0	#66
new_n1037_	45	17	0	#67
new_n1038_	44	17	0	#68
new_n1039_	13	16	0	#69
new_n103_	4	70	0	#70
new_n1040_	9	8	0	#71
new_n1041_	43	34	0	#72
new_n1042_	42	37	0	#73
new_n1043_	33	28	0	#74
new_n1044_	43	25	0	#75
new_n1045_	3	33	0	#76
new_n1046_	127	1	0	#77
new_n1047_	43	21	0	#78
new_n1048_	42	6	0	#79
new_n1049_	41	26	0	#80
new_n104_	42	3	0	#81
new_n1050_	79	2	0	#82
new_n1051_	29	61	0	#83
new_n1052_	44	29	0	#84
