Netlist file: ../../benchmarks/fpga/net_TRETS//spla_k5.net   Architecture file: arch/k5-n1.xml
Array size: 230 x 230 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		123	231	0	#0
i_10_		0	33	0	#1
i_11_		0	30	0	#2
i_12_		0	29	0	#3
i_13_		0	31	0	#4
i_14_		0	27	0	#5
i_15_		0	28	0	#6
i_1_		130	231	0	#7
i_2_		109	231	0	#8
i_3_		125	231	0	#9
i_4_		119	231	0	#10
i_5_		118	231	0	#11
i_6_		91	231	0	#12
i_7_		103	231	0	#13
i_8_		75	231	0	#14
i_9_		0	32	0	#15
new_n1000_	57	86	0	#16
new_n1001_	59	81	0	#17
new_n1002_	59	88	0	#18
new_n1003_	60	104	0	#19
new_n1004_	57	102	0	#20
new_n1005_	56	102	0	#21
new_n1006_	57	101	0	#22
new_n1007_	54	91	0	#23
new_n1008_	53	91	0	#24
new_n1009_	35	5	0	#25
new_n100_	128	84	0	#26
out_new_n1010_:new_n228_	231	122	0	#27
out_new_n1010_:new_n326_	204	231	0	#28
out_new_n1010_:new_n920_	0	224	0	#29
new_n1011_	57	92	0	#30
new_n1012_	58	95	0	#31
new_n1013_	55	91	0	#32
new_n1014_	56	91	0	#33
new_n1015_	60	26	0	#34
new_n1016_	57	91	0	#35
new_n1017_	57	90	0	#36
new_n1018_	55	64	0	#37
new_n1019_	56	61	0	#38
new_n101_	94	85	0	#39
new_n1020_	54	36	0	#40
new_n1021_	36	4	0	#41
new_n1022_	56	63	0	#42
new_n1023_	37	12	0	#43
new_n1024_	33	2	0	#44
new_n1026_	134	92	0	#45
out_new_n1027_:i_7_	138	231	0	#46
out_new_n1027_:new_n120_	177	231	0	#47
out_new_n1027_:new_n1032_	194	231	0	#48
out_new_n1027_:new_n1028_	186	231	0	#49
new_n1028_	128	83	0	#50
new_n1029_	127	83	0	#51
new_n102_	137	84	0	#52
new_n1030_	126	83	0	#53
new_n1031_	129	83	0	#54
