dot_name,nodes,edges,luts,io,g_input,g_output,total_utilization,lut_utilization,in_degree_avg,out_degree_avg,is_DAG,average_shortest_path_length,dag_longest_path_length,degree_assortativity_coefficient
TRETS,,,,,,,,,,,,,,
too-lrg_k6,144,479,103,41,6,23,85.21%,85.12%,3.326388888888889,3.326388888888889,True,None,6,-0.27
ex5p_k6,643,2837,578,65,6,241,88.20%,92.48%,4.412130637636081,4.412130637636081,True,None,6,-0.24
apex4_k6,804,3588,777,27,6,105,89.33%,99.11%,4.462686567164179,4.462686567164179,True,None,6,-0.41
alu4_k6,851,3932,829,22,6,177,88.55%,98.57%,4.6204465334900116,4.6204465334900116,True,None,7,-0.27
misex3_k6,874,3913,846,28,6,160,85.35%,94.00%,4.477116704805492,4.477116704805492,True,None,6,-0.39
apex2_k6,1060,4637,1019,41,6,97,91.70%,99.51%,4.374528301886793,4.374528301886793,True,None,7,-0.35
ex1010_k6,2462,11319,2442,20,6,189,91.05%,97.68%,4.597481722177092,4.597481722177092,True,None,7,-0.48
,,,,,,,,,,,,,,
EPFL,,,,,,,,,,,,,,
ctrl_k6,59,154,27,32,6,24,59.00%,42.19%,2.610169491525424,2.610169491525424,True,None,3,-0.65
int2float_k6,67,261,49,18,6,28,82.72%,100.00%,3.8955223880597014,3.8955223880597014,True,None,4,-0.30
router_k6,138,348,75,63,6,7,38.23%,25.95%,2.5217391304347827,2.5217391304347827,True,None,7,-0.24
cavlc_k6,139,634,118,21,6,66,82.25%,97.52%,4.561151079136691,4.561151079136691,True,None,5,-0.15
priority_k6,330,922,194,136,6,6,25.46%,16.78%,2.793939393939394,2.793939393939394,True,None,32,-0.13
adder_k6,628,1140,243,385,6,4,6.28%,2.53%,1.8152866242038217,1.8152866242038217,True,None,52,-0.25
dec_k6,551,940,287,264,5,31,11.57%,6.39%,1.705989110707804,1.705989110707804,True,None,3,-0.63
i2c_k6,563,1500,300,263,6,82,12.18%,6.89%,2.664298401420959,2.664298401420959,True,None,5,-0.17
bar_k6,775,2816,512,263,6,128,16.28%,11.41%,3.6335483870967744,3.6335483870967744,True,None,5,-0.29
max_k6,1405,3325,763,642,6,213,5.22%,2.91%,2.3665480427046264,2.3665480427046264,True,None,43,0.04
sin_k6,1524,6781,1475,49,6,164,90.66%,96.98%,4.449475065616798,4.449475065616798,True,None,37,-0.24
voter_k6,2550,7648,1548,1002,6,6,3.95%,2.44%,2.9992156862745096,2.9992156862745096,True,None,14,-0.30
square_k6,4123,16536,3933,190,6,172,97.59%,99.09%,4.010671840892554,4.010671840892554,True,None,51,-0.03
sqrt_k6,4976,21844,4784,192,6,242,95.99%,97.63%,4.389871382636656,4.389871382636656,True,None,1009,0.03
multiplier_k6,5043,22688,4815,228,6,150,97.28%,98.27%,4.498909379337696,4.498909379337696,True,None,38,-0.11
log2_k6,7970,36192,7906,64,6,253,96.24%,99.81%,4.5410288582183185,4.5410288582183185,True,None,72,-0.08
div_k6,10139,c,9883,256,6,423,97.45%,98.83%,4.028010651938061,4.028010651938061,True,None,859,0.01
,,,,,,,,,,,,,,
QCA,,,,,,,,,,,,,,
xor5R_inverted,38,48,32,6,2,3,59.38%,88.89%,1.263157894736842,1.263157894736842,True,None,12,-0.26
,,,,,,,,,,,,,,
CGRA,,,,,,,,,,,,,,
cosine2,83,93,44,39,2,2,49.11%,36.36%,1.1204819277108433,1.1204819277108433,True,None,7,-0.27
,,,,,,,,,,,,,,
Fir16x8,616,728,600,16,2,2,84.50%,96.00%,1.1818181818181819,1.1818181818181819,True,None,22,-0.23
