bench;WIRES;caminho crítico;channels;Tplacement
bounding_box_timing0_div_k6;579907;868,671;36;104,84
bounding_box_timing0_log2_k6;546201;77,1955;60;77,34
bounding_box_timing0_max_k6;40897;39,715;40;2,69
bounding_box_timing0_multiplier_k6;;;;0,00
bounding_box_timing0_sin_k6;91856;38,7035;42;4,51
bounding_box_timing0_sqrt_k6;285017;1014,21;40;31,80
bounding_box_timing0_square_k6;230720;60,2246;40;20,89
bounding_box_timing0_voter_k6;90342;14,5084;44;10,52
criticality_timing_timing0_div_k6;583093;857,338;38;149,87
criticality_timing_timing0_log2_k6;546604;72,234;58;116,80
criticality_timing_timing0_max_k6;41660;36,226;40;3,46
criticality_timing_timing0_multiplier_k6;;;;0,00
criticality_timing_timing0_sin_k6;92820;40,0496;42;5,94
criticality_timing_timing0_sqrt_k6;288134;991,487;38;46,64
criticality_timing_timing0_square_k6;223853;45,5861;40;31,57
criticality_timing_timing0_voter_k6;95881;15,1753;42;11,19
