bench;WIRES;caminho crítico;channels;Tplacement
bounding_box_timing0_d_4_w_f_4_q_False_arg_True_style_mux;327425;27,8618;54;44,89
bounding_box_timing1_jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux;173246;23,532;46;11,96
criticality_timing_timing0_jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux;164954;23,0991;46;16,65
criticality_timing_timing0_d_5_w_f_4_q_False_arg_True_style_mux;547315;27,6015;68;110,32
criticality_timing_timing1_d_5_w_f_4_q_False_arg_False_style_mux;502099;18,0536;70;100,19
criticality_timing_timing0_d_5_w_f_4_q_False_arg_False_style_mux;502099;18,0536;70;100,00
bounding_box_timing1_d_5_w_f_4_q_False_arg_False_style_mux;499242;19,5918;68;70,97
criticality_timing_timing1_d_4_w_f_4_q_False_arg_True_style_mux;330785;24,9513;54;61,98
bounding_box_timing1_d_5_w_f_4_q_False_arg_True_style_mux;535176;28,2295;66;77,88
criticality_timing_timing0_d_4_w_f_4_q_False_arg_True_style_mux;330785;24,9513;54;62,11
bounding_box_timing0_d_5_w_f_4_q_False_arg_True_style_mux;535176;28,2295;66;77,87
bounding_box_timing0_jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux;173246;23,532;46;12,03
criticality_timing_timing1_d_5_w_f_4_q_False_arg_True_style_mux;547315;27,6015;68;109,54
bounding_box_timing0_d_5_w_f_4_q_False_arg_False_style_mux;499242;19,5918;68;71,23
bounding_box_timing1_d_4_w_f_4_q_False_arg_True_style_mux;327425;27,8618;54;44,48
criticality_timing_timing1_jsc_tree_13_eta_0.8_max_d_5_w_feature_8_w_tree_4_quat_False_arg_True_style_mux;164954;23,0991;46;17,26
