Netlist file: benchmarks/fpga/net_EPFL/cavlc_k6.net   Architecture file: arch/k6-n1.xml
Array size: 48 x 48 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		46	14	0	#0
out_1:46	18	49	0	#1
out_1:30	0	5	0	#2
out_1:38	27	49	0	#3
out_1:34	35	0	0	#4
out_1:49	22	49	0	#5
out_10:100	49	28	0	#6
out_10:109	30	0	0	#7
100		46	28	0	#8
101		13	31	0	#9
102		28	1	0	#10
103		43	27	0	#11
out_104:46	0	16	0	#12
out_104:30	6	0	0	#13
out_104:45	36	0	0	#14
out_104:34	25	0	0	#15
out_104:49	49	38	0	#16
105		45	28	0	#17
out_106:57	49	17	0	#18
out_106:55	49	18	0	#19
out_106:38	0	47	0	#20
107		1	38	0	#21
out_108:46	44	49	0	#22
out_108:33	11	49	0	#23
out_108:30	0	18	0	#24
out_108:49	0	28	0	#25
109		29	4	0	#26
11		43	28	0	#27
110		21	40	0	#28
out_111:53	20	0	0	#29
out_111:46	3	49	0	#30
out_111:30	0	4	0	#31
out_111:34	41	0	0	#32
112		23	41	0	#33
113		26	45	0	#34
114		22	41	0	#35
out_115:46	49	46	0	#36
out_115:33	49	45	0	#37
out_115:45	49	2	0	#38
out_115:38	39	49	0	#39
out_115:34	49	16	0	#40
out_116:55	49	48	0	#41
out_116:46	0	8	0	#42
out_116:33	38	0	0	#43
out_116:30	32	0	0	#44
out_116:34	0	14	0	#45
out_117:57	49	34	0	#46
out_117:46	42	49	0	#47
out_117:33	0	40	0	#48
out_117:30	49	25	0	#49
out_117:34	0	39	0	#50
out_118:55	13	49	0	#51
out_118:45	0	9	0	#52
out_118:38	0	7	0	#53
out_118:49	37	49	0	#54
out_118:89	42	0	0	#55
119		26	10	0	#56
out_12:46	0	32	0	#57
out_12:33	0	33	0	#58
out_12:30	0	3	0	#59
out_12:38	4	49	0	#60
out_12:34	0	17	0	#61
out_120:57	49	7	0	#62
out_120:53	2	0	0	#63
out_120:6	0	35	0	#64
out_120:63	0	25	0	#65
out_120:31	49	39	0	#66
121		22	10	0	#67
out_122:45	3	0	0	#68
out_122:34	49	27	0	#69
out_122:28	0	11	0	#70
out_122:73	0	31	0	#71
123		26	8	0	#72
124		22	12	0	#73
125		48	14	0	#74
126		21	10	0	#75
out_127:57	49	20	0	#76
out_127:55	12	49	0	#77
out_127:38	10	0	0	#78
out_127:125	49	14	0	#79
13		42	23	0	#80
14		11	26	0	#81
out_15:46	1	49	0	#82
out_15:33	19	49	0	#83
out_15:30	0	20	0	#84
out_15:38	0	27	0	#85
out_15:49	34	49	0	#86
16		1	35	0	#87
out_17:55	49	26	0	#88
out_17:46	0	30	0	#89
out_17:38	45	49	0	#90
out_17:34	15	0	0	#91
out_17:18	49	40	0	#92
18		48	40	0	#93
19		44	24	0	#94
out_2:55	9	49	0	#95
out_2:30	40	0	0	#96
out_2:38	0	6	0	#97
out_2:8		49	41	0	#98
out_2:113	26	49	0	#99
20		44	27	0	#100
out_21:46	49	47	0	#101
out_21:33	49	9	0	#102
out_21:38	14	0	0	#103
out_21:34	0	19	0	#104
out_21:49	10	49	0	#105
22		43	37	0	#106
23		48	19	0	#107
24		7	38	0	#108
25		44	40	0	#109
26		46	24	0	#110
out_27:55	29	49	0	#111
out_27:33	5	0	0	#112
out_27:38	18	0	0	#113
out_27:49	8	0	0	#114
28		5	11	0	#115
out_29:46	0	22	0	#116
out_29:33	0	42	0	#117
out_29:45	0	26	0	#118
out_29:38	2	49	0	#119
out_29:49	25	49	0	#120
out_3:55	47	49	0	#121
out_3:46	49	37	0	#122
out_3:33	47	0	0	#123
out_3:38	41	49	0	#124
out_3:34	0	21	0	#125
30		24	0	0	#126
31		43	39	0	#127
32		21	41	0	#128
33		13	0	0	#129
34		49	6	0	#130
35		44	26	0	#131
36		20	38	0	#132
37		5	41	0	#133
38		11	0	0	#134
