Netlist file: benchmarks/fpga/net_EPFL/div_k6.net   Architecture file: arch/k6-n1.xml
Array size: 432 x 432 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:5323	44	433	0	#0
out_0:2952	433	18	0	#1
out_0:4659	70	433	0	#2
out_0:2950	68	433	0	#3
out_1:5349	0	360	0	#4
out_1:8876	0	281	0	#5
out_1:2		0	339	0	#6
out_10:9666	368	433	0	#7
out_10:3570	350	433	0	#8
out_10:2930	337	433	0	#9
out_10:2927	354	433	0	#10
out_10:4378	375	433	0	#11
100		251	150	0	#12
1000		177	174	0	#13
10000		139	158	0	#14
10001		170	58	0	#15
10002		153	151	0	#16
10003		177	59	0	#17
10004		204	86	0	#18
10005		210	136	0	#19
10006		165	1	0	#20
10007		212	188	0	#21
10008		168	143	0	#22
10009		210	135	0	#23
1001		263	168	0	#24
1002		268	150	0	#25
1003		235	73	0	#26
1004		270	152	0	#27
1005		268	154	0	#28
1006		268	151	0	#29
1007		269	147	0	#30
1008		270	146	0	#31
1009		259	161	0	#32
101		271	129	0	#33
1010		270	150	0	#34
1011		268	153	0	#35
1012		269	140	0	#36
1013		266	107	0	#37
1014		266	108	0	#38
1015		266	128	0	#39
1016		267	138	0	#40
1017		267	134	0	#41
1018		268	129	0	#42
1019		267	128	0	#43
102		270	128	0	#44
1020		269	146	0	#45
1021		269	118	0	#46
1022		270	118	0	#47
1023		270	113	0	#48
1024		270	117	0	#49
1025		250	38	0	#50
1026		269	116	0	#51
1027		363	80	0	#52
1028		275	115	0	#53
1029		269	145	0	#54
103		271	101	0	#55
1030		271	95	0	#56
1031		267	106	0	#57
1032		265	97	0	#58
1033		151	45	0	#59
1034		266	97	0	#60
1035		270	87	0	#61
1036		270	84	0	#62
1037		269	84	0	#63
1038		267	81	0	#64
1039		264	83	0	#65
104		248	97	0	#66
1040		263	86	0	#67
1041		269	112	0	#68
1042		267	69	0	#69
1043		269	85	0	#70
1044		266	68	0	#71
1045		270	66	0	#72
1046		270	67	0	#73
1047		269	86	0	#74
1048		265	79	0	#75
1049		263	69	0	#76
