Netlist file: benchmarks/fpga/net_EPFL/i2c_k6.net   Architecture file: arch/k6-n1.xml
Array size: 177 x 177 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:394	0	173	0	#0
out_0:109	0	170	0	#1
out_1:181	178	38	0	#2
out_1:313	8	178	0	#3
out_1:2		178	162	0	#4
out_10:181	77	178	0	#5
100		26	0	0	#6
101		7	2	0	#7
out_102:181	129	178	0	#8
out_102:103	0	2	0	#9
out_102:273	3	0	0	#10
out_102:101	7	0	0	#11
103		1	2	0	#12
out_104:172	178	51	0	#13
out_104:155	0	100	0	#14
out_104:168	0	159	0	#15
out_104:58	0	145	0	#16
out_104:25	0	77	0	#17
105		7	1	0	#18
106		1	22	0	#19
out_107:181	51	0	0	#20
out_107:293	19	0	0	#21
out_107:304	0	18	0	#22
out_107:322	0	21	0	#23
out_107:106	0	22	0	#24
108		0	69	0	#25
109		0	171	0	#26
out_11:87	159	178	0	#27
110		1	50	0	#28
out_111:377	0	155	0	#29
out_111:204	140	0	0	#30
out_111:137	178	16	0	#31
out_111:285	146	0	0	#32
out_112:181	50	0	0	#33
out_112:192	108	178	0	#34
out_112:92	38	178	0	#35
out_112:34	28	178	0	#36
113		149	1	0	#37
out_114:181	66	0	0	#38
out_114:67	16	178	0	#39
out_114:221	0	139	0	#40
115		176	107	0	#41
out_116:181	137	178	0	#42
out_116:383	0	4	0	#43
out_116:298	0	16	0	#44
out_116:110	0	50	0	#45
out_117:270	178	133	0	#46
out_117:335	178	88	0	#47
out_117:340	178	125	0	#48
out_117:139	178	97	0	#49
out_117:88	178	112	0	#50
118		177	26	0	#51
119		177	25	0	#52
out_12:227	174	178	0	#53
out_12:377	82	178	0	#54
out_12:123	174	0	0	#55
out_12:195	130	0	0	#56
out_12:353	0	131	0	#57
out_120:227	153	178	0	#58
out_120:377	76	178	0	#59
out_120:167	118	0	0	#60
out_120:124	150	0	0	#61
out_120:119	178	25	0	#62
out_121:237	0	85	0	#63
out_121:81	69	0	0	#64
out_121:155	0	156	0	#65
out_121:168	32	0	0	#66
122		28	0	0	#67
123		175	0	0	#68
124		150	2	0	#69
out_125:181	73	178	0	#70
out_125:67	18	178	0	#71
out_125:360	133	178	0	#72
126		177	101	0	#73
127		177	93	0	#74
128		14	1	0	#75
out_129:377	0	123	0	#76
out_13:227	167	178	0	#77
out_13:377	63	0	0	#78
out_13:228	135	0	0	#79
out_13:215	178	2	0	#80
out_130:217	0	6	0	#81
out_130:254	41	0	0	#82
out_130:128	21	0	0	#83
out_131:217	0	8	0	#84
out_131:283	0	34	0	#85
out_131:191	0	5	0	#86
out_131:422	0	47	0	#87
out_131:205	0	42	0	#88
132		3	5	0	#89
out_133:377	92	0	0	#90
out_133:195	128	0	0	#91
out_133:182	159	0	0	#92
134		178	29	0	#93
135		153	1	0	#94
136		158	2	0	#95
137		177	2	0	#96
out_138:227	156	178	0	#97
out_138:377	55	0	0	#98
out_138:236	166	0	0	#99
out_138:145	178	21	0	#100
out_138:411	144	0	0	#101
139		178	98	0	#102
out_14:181	54	178	0	#103
out_14:65	5	178	0	#104
out_14:360	136	178	0	#105
out_14:35	20	178	0	#106
140		177	6	0	#107
141		151	1	0	#108
142		178	35	0	#109
out_143:334	178	145	0	#110
out_143:295	178	70	0	#111
out_143:341	178	75	0	#112
out_143:351	178	155	0	#113
out_143:73	178	24	0	#114
out_144:406	0	49	0	#115
out_144:237	0	70	0	#116
out_144:122	29	0	0	#117
out_144:191	0	3	0	#118
out_144:320	0	25	0	#119
