Netlist file: benchmarks/fpga/net_EPFL/log2_k6.net   Architecture file: arch/k6-n1.xml
Array size: 489 x 489 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:16	152	490	0	#0
out_0:15	165	490	0	#1
1		263	179	0	#2
10		253	213	0	#3
100		275	201	0	#4
1000		395	170	0	#5
1001		390	171	0	#6
1002		393	177	0	#7
1003		393	176	0	#8
1004		390	175	0	#9
1005		392	178	0	#10
1006		392	173	0	#11
1007		392	181	0	#12
1008		392	158	0	#13
1009		381	153	0	#14
101		239	187	0	#15
1010		360	207	0	#16
1011		384	150	0	#17
out_1012:161	197	490	0	#18
out_1012:160	196	490	0	#19
out_1012:149	198	490	0	#20
out_1012:148	199	490	0	#21
1013		380	148	0	#22
1014		383	142	0	#23
1015		383	147	0	#24
1016		378	147	0	#25
1017		382	153	0	#26
1018		385	156	0	#27
1019		386	156	0	#28
102		263	217	0	#29
1020		393	158	0	#30
1021		388	154	0	#31
1022		389	161	0	#32
1023		489	53	0	#33
1024		385	160	0	#34
1025		389	162	0	#35
1026		385	163	0	#36
1027		383	164	0	#37
1028		401	181	0	#38
1029		378	154	0	#39
out_103:104	66	490	0	#40
1030		379	154	0	#41
1031		387	164	0	#42
1032		385	165	0	#43
1033		384	163	0	#44
1034		275	146	0	#45
1035		383	160	0	#46
1036		396	155	0	#47
1037		404	153	0	#48
1038		381	165	0	#49
1039		384	164	0	#50
104		194	363	0	#51
1040		380	164	0	#52
1041		383	161	0	#53
1042		381	154	0	#54
1043		381	162	0	#55
1044		382	161	0	#56
1045		377	164	0	#57
1046		382	162	0	#58
1047		379	165	0	#59
1048		385	164	0	#60
1049		382	154	0	#61
105		321	190	0	#62
1050		382	163	0	#63
1051		382	165	0	#64
1052		402	149	0	#65
1053		383	159	0	#66
1054		299	314	0	#67
1055		383	158	0	#68
1056		361	155	0	#69
1057		378	165	0	#70
1058		379	168	0	#71
1059		382	166	0	#72
106		263	201	0	#73
1060		382	170	0	#74
1061		385	161	0	#75
1062		385	162	0	#76
1063		387	157	0	#77
1064		382	169	0	#78
1065		392	154	0	#79
1066		393	153	0	#80
1067		272	203	0	#81
1068		397	153	0	#82
1069		320	148	0	#83
107		46	196	0	#84
1070		264	144	0	#85
1071		377	150	0	#86
1072		377	148	0	#87
1073		377	149	0	#88
1074		390	150	0	#89
1075		380	149	0	#90
1076		384	156	0	#91
1077		383	151	0	#92
1078		380	165	0	#93
1079		299	211	0	#94
108		40	198	0	#95
1080		379	161	0	#96
