Netlist file: benchmarks/fpga/net_EPFL/multiplier_k6.net   Architecture file: arch/k6-n1.xml
Array size: 581 x 581 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		417	1	0	#0
1		115	18	0	#1
10		411	18	0	#2
out_100:3949	388	0	0	#3
out_100:2311	46	582	0	#4
out_100:127	582	67	0	#5
out_100:126	582	48	0	#6
out_100:112	582	45	0	#7
1000		31	566	0	#8
1001		297	194	0	#9
1002		285	283	0	#10
1003		286	284	0	#11
1004		137	281	0	#12
1005		113	52	0	#13
1006		34	237	0	#14
1007		288	290	0	#15
1008		403	300	0	#16
1009		382	284	0	#17
101		408	50	0	#18
1010		310	299	0	#19
out_1011:2133	582	311	0	#20
out_1011:1609	336	582	0	#21
out_1011:1608	0	309	0	#22
out_1011:3328	327	582	0	#23
out_1011:1467	328	582	0	#24
1012		377	315	0	#25
1013		118	319	0	#26
1014		393	287	0	#27
1015		373	284	0	#28
1016		342	303	0	#29
1017		336	298	0	#30
1018		309	294	0	#31
1019		320	292	0	#32
out_102:912	440	0	0	#33
out_102:116	442	0	0	#34
1020		246	250	0	#35
1021		389	308	0	#36
1022		391	308	0	#37
1023		268	277	0	#38
1024		262	274	0	#39
1025		381	324	0	#40
1026		400	311	0	#41
1027		384	301	0	#42
out_1028:2643	389	582	0	#43
out_1028:2456	375	582	0	#44
out_1028:947	372	582	0	#45
out_1028:806	373	582	0	#46
out_1028:5686	370	582	0	#47
1029		398	305	0	#48
103		420	23	0	#49
1030		251	212	0	#50
1031		111	44	0	#51
1032		396	308	0	#52
1033		368	304	0	#53
1034		253	257	0	#54
1035		324	1	0	#55
1036		217	251	0	#56
1037		254	262	0	#57
1038		201	222	0	#58
1039		258	271	0	#59
104		526	39	0	#60
1040		257	262	0	#61
1041		264	271	0	#62
1042		264	272	0	#63
1043		515	167	0	#64
1044		260	275	0	#65
1045		297	291	0	#66
1046		249	257	0	#67
1047		410	281	0	#68
1048		274	278	0	#69
1049		286	289	0	#70
105		441	1	0	#71
1050		373	304	0	#72
1051		374	310	0	#73
1052		157	44	0	#74
1053		430	303	0	#75
1054		289	285	0	#76
1055		319	305	0	#77
1056		311	299	0	#78
1057		356	303	0	#79
1058		370	306	0	#80
1059		374	312	0	#81
106		418	26	0	#82
