Netlist file: benchmarks/fpga/net_EPFL/priority_k6.net   Architecture file: arch/k6-n1.xml
Array size: 50 x 50 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		43	0	0	#0
out_1:134	51	2	0	#1
10		7	37	0	#2
100		2	45	0	#3
101		24	51	0	#4
out_102:280	1	51	0	#5
out_102:288	10	51	0	#6
out_102:37	42	0	0	#7
103		0	50	0	#8
104		0	35	0	#9
105		6	51	0	#10
106		12	0	0	#11
107		50	36	0	#12
108		20	51	0	#13
109		48	15	0	#14
11		17	42	0	#15
110		50	14	0	#16
111		51	15	0	#17
112		0	17	0	#18
113		38	51	0	#19
114		49	29	0	#20
115		2	38	0	#21
116		51	31	0	#22
117		0	12	0	#23
118		2	18	0	#24
119		24	1	0	#25
12		1	41	0	#26
120		51	19	0	#27
121		0	4	0	#28
122		10	1	0	#29
123		13	46	0	#30
124		0	15	0	#31
125		2	23	0	#32
126		2	37	0	#33
127		16	0	0	#34
128		2	19	0	#35
129		49	35	0	#36
13		41	1	0	#37
130		1	1	0	#38
131		9	45	0	#39
132		10	44	0	#40
133		3	24	0	#41
134		49	2	0	#42
135		16	45	0	#43
136		50	19	0	#44
137		7	1	0	#45
138		23	14	0	#46
139		16	46	0	#47
14		25	1	0	#48
140		17	47	0	#49
141		27	0	0	#50
142		50	35	0	#51
143		15	45	0	#52
144		0	7	0	#53
145		2	32	0	#54
146		0	37	0	#55
147		51	36	0	#56
148		2	15	0	#57
149		48	14	0	#58
15		1	43	0	#59
150		7	0	0	#60
151		49	38	0	#61
152		45	1	0	#62
153		30	0	0	#63
154		3	16	0	#64
155		3	1	0	#65
156		37	51	0	#66
157		2	24	0	#67
158		49	14	0	#68
159		6	0	0	#69
out_16:66	0	23	0	#70
out_16:67	0	10	0	#71
out_16:251	0	21	0	#72
160		51	20	0	#73
161		39	0	0	#74
162		0	44	0	#75
163		18	51	0	#76
164		2	51	0	#77
165		9	46	0	#78
166		0	3	0	#79
167		2	44	0	#80
168		0	45	0	#81
169		15	51	0	#82
out_17:195	51	48	0	#83
out_17:242	51	34	0	#84
out_17:19	51	43	0	#85
170		14	47	0	#86
171		19	51	0	#87
172		4	47	0	#88
173		49	4	0	#89
174		3	0	0	#90
175		3	51	0	#91
176		0	8	0	#92
177		13	51	0	#93
178		50	30	0	#94
179		0	6	0	#95
18		42	45	0	#96
180		51	24	0	#97
181		51	26	0	#98
182		2	34	0	#99
183		4	45	0	#100
184		4	0	0	#101
185		34	0	0	#102
186		27	51	0	#103
187		50	24	0	#104
188		0	49	0	#105
189		14	48	0	#106
19		50	37	0	#107
190		50	17	0	#108
191		4	15	0	#109
192		1	15	0	#110
193		26	14	0	#111
194		0	14	0	#112
195		51	47	0	#113
196		22	51	0	#114
197		6	1	0	#115
198		51	39	0	#116
199		50	38	0	#117
out_2:23	51	18	0	#118
out_2:134	51	3	0	#119
20		50	31	0	#120
200		35	51	0	#121
201		23	0	0	#122
202		51	41	0	#123
203		51	25	0	#124
204		49	48	0	#125
205		51	45	0	#126
206		47	48	0	#127
207		51	44	0	#128
208		50	51	0	#129
209		49	22	0	#130
21		50	22	0	#131
210		47	13	0	#132
211		51	49	0	#133
out_212:28	0	9	0	#134
out_212:192	22	0	0	#135
out_212:27	51	11	0	#136
out_212:26	32	51	0	#137
213		48	48	0	#138
214		23	1	0	#139
