Netlist file: benchmarks/fpga/net_EPFL/square_k6.net   Architecture file: arch/k6-n1.xml
Array size: 914 x 914 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		100	1	0	#0
out_1:2588	44	915	0	#1
out_1:3576	47	0	0	#2
out_1:3636	314	0	0	#3
out_1:2879	0	125	0	#4
out_1:0		95	0	0	#5
10		617	1	0	#6
100		1	473	0	#7
out_1000:1710	157	0	0	#8
out_1000:2196	181	0	0	#9
out_1000:2608	915	329	0	#10
out_1000:3164	0	619	0	#11
out_1000:2374	0	195	0	#12
1001		251	2	0	#13
1002		1	691	0	#14
1003		548	911	0	#15
out_1004:3682	352	0	0	#16
out_1004:349	359	0	0	#17
out_1005:2187	915	170	0	#18
out_1005:1030	915	166	0	#19
1006		365	910	0	#20
1007		546	911	0	#21
out_1008:2048	915	164	0	#22
out_1008:1032	915	165	0	#23
1009		351	913	0	#24
101		1	482	0	#25
out_1010:435	454	0	0	#26
out_1010:434	0	108	0	#27
1011		913	895	0	#28
out_1012:1828	0	466	0	#29
out_1012:1711	519	0	0	#30
out_1012:3604	312	915	0	#31
out_1012:2569	423	0	0	#32
out_1012:2879	0	458	0	#33
1013		792	894	0	#34
1014		794	894	0	#35
1015		913	894	0	#36
1016		794	895	0	#37
1017		410	910	0	#38
out_1018:2989	915	814	0	#39
out_1018:3992	507	915	0	#40
1019		528	911	0	#41
out_102:1829	915	723	0	#42
out_102:1211	522	915	0	#43
out_102:3164	262	915	0	#44
out_102:2374	915	357	0	#45
out_102:3267	207	0	0	#46
1020		714	1	0	#47
out_1021:1039	0	853	0	#48
out_1021:1020	713	0	0	#49
1022		713	7	0	#50
1023		910	893	0	#51
out_1024:1025	915	889	0	#52
out_1024:2408	369	915	0	#53
1025		844	889	0	#54
1026		548	2	0	#55
out_1027:1865	542	0	0	#56
out_1027:1681	540	0	0	#57
1028		566	2	0	#58
out_1029:3267	915	677	0	#59
out_1029:3928	161	0	0	#60
out_1029:3930	564	0	0	#61
out_1029:1028	566	0	0	#62
out_1029:1255	567	0	0	#63
103		4	484	0	#64
1030		914	166	0	#65
out_1031:3728	538	0	0	#66
out_1031:1816	536	0	0	#67
1032		913	166	0	#68
1033		2	169	0	#69
out_1034:2691	256	915	0	#70
out_1034:2740	829	915	0	#71
out_1034:2591	408	0	0	#72
out_1034:2523	817	915	0	#73
out_1034:1354	827	915	0	#74
1035		355	197	0	#75
out_1036:1262	915	500	0	#76
out_1036:2430	132	0	0	#77
out_1036:1343	915	17	0	#78
out_1036:3636	0	375	0	#79
out_1036:2879	768	915	0	#80
out_1037:2160	915	747	0	#81
out_1037:2362	915	749	0	#82
1038		912	755	0	#83
1039		2	852	0	#84
out_104:2608	0	372	0	#85
out_104:1829	0	121	0	#86
out_104:3164	0	631	0	#87
out_104:2374	0	836	0	#88
out_104:3267	235	0	0	#89
1040		323	910	0	#90
1041		890	3	0	#91
1042		843	760	0	#92
1043		443	1	0	#93
1044		569	913	0	#94
1045		573	911	0	#95
1046		2	202	0	#96
1047		470	913	0	#97
1048		21	911	0	#98
1049		430	54	0	#99
105		913	537	0	#100
1050		915	821	0	#101
1051		566	909	0	#102
1052		567	910	0	#103
1053		525	425	0	#104
1054		3	637	0	#105
1055		523	2	0	#106
1056		1	626	0	#107
1057		718	802	0	#108
1058		159	818	0	#109
out_1059:1745	915	803	0	#110
out_1059:3654	0	309	0	#111
106		914	537	0	#112
1060		579	908	0	#113
1061		2	37	0	#114
out_1062:1534	690	915	0	#115
out_1062:889	671	915	0	#116
out_1063:1065	322	915	0	#117
out_1063:3068	323	915	0	#118
1064		912	508	0	#119
1065		321	903	0	#120
out_1066:640	0	213	0	#121
out_1066:3752	915	286	0	#122
1067		581	908	0	#123
1068		577	911	0	#124
1069		50	30	0	#125
107		2	435	0	#126
out_1070:898	510	915	0	#127
out_1070:835	536	915	0	#128
out_1071:1710	915	708	0	#129
out_1071:3921	8	915	0	#130
out_1071:2305	915	731	0	#131
out_1071:3357	0	507	0	#132
out_1071:2626	554	915	0	#133
1072		907	588	0	#134
out_1073:1866	674	0	0	#135
out_1073:2196	65	915	0	#136
out_1073:3604	860	915	0	#137
out_1073:3267	0	366	0	#138
out_1073:3309	896	915	0	#139
out_1074:1105	0	675	0	#140
out_1074:1100	649	0	0	#141
1075		246	232	0	#142
1076		1	404	0	#143
1077		2	816	0	#144
1078		914	798	0	#145
1079		718	900	0	#146
108		1	386	0	#147
1080		499	911	0	#148
1081		752	400	0	#149
out_1082:2564	460	915	0	#150
out_1082:2434	365	915	0	#151
1083		313	913	0	#152
1084		469	2	0	#153
1085		214	915	0	#154
1086		201	911	0	#155
1087		541	908	0	#156
out_1088:2793	204	915	0	#157
out_1088:3015	203	915	0	#158
out_1089:1091	316	915	0	#159
out_1089:1083	313	915	0	#160
109		2	389	0	#161
out_1090:2481	880	0	0	#162
out_1090:2668	798	0	0	#163
out_1090:2180	0	459	0	#164
out_1090:1828	915	816	0	#165
out_1090:2691	915	59	0	#166
1091		322	912	0	#167
1092		792	895	0	#168
1093		335	0	0	#169
out_1094:1127	467	915	0	#170
out_1094:1126	465	915	0	#171
out_1094:2700	545	915	0	#172
1095		294	2	0	#173
1096		664	912	0	#174
1097		323	909	0	#175
out_1098:2172	915	752	0	#176
out_1098:3394	915	759	0	#177
out_1099:1334	397	915	0	#178
out_1099:1531	394	915	0	#179
11		663	1	0	#180
110		1	387	0	#181
1100		650	1	0	#182
out_1101:2180	915	886	0	#183
out_1101:1828	0	863	0	#184
out_1101:1577	326	0	0	#185
out_1101:1050	915	432	0	#186
out_1101:1343	456	915	0	#187
1102		528	2	0	#188
1103		914	744	0	#189
out_1104:3601	29	915	0	#190
out_1104:1435	915	64	0	#191
out_1104:1354	0	868	0	#192
out_1104:3000	0	399	0	#193
out_1104:3164	915	34	0	#194
1105		1	674	0	#195
1106		2	111	0	#196
1107		561	913	0	#197
out_1108:451	835	915	0	#198
out_1108:449	715	915	0	#199
1109		532	1	0	#200
111		2	472	0	#201
out_1110:1707	915	190	0	#202
out_1110:3623	915	189	0	#203
1111		1	583	0	#204
1112		2	482	0	#205
1113		388	4	0	#206
1114		443	908	0	#207
out_1115:1138	0	88	0	#208
out_1115:1408	0	241	0	#209
out_1116:168	269	0	0	#210
out_1116:167	127	0	0	#211
1117		913	142	0	#212
out_1118:576	915	863	0	#213
out_1118:573	363	915	0	#214
1119		580	909	0	#215
112		1	402	0	#216
out_1120:3988	559	0	0	#217
