Netlist file: benchmarks/fpga/net_EPFL/adder_k6.net   Architecture file: arch/k6-n1.xml
Array size: 207 x 207 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:132	120	0	0	#0
out_0:3		207	0	0	#1
out_0:120	109	0	0	#2
out_0:2		208	38	0	#3
out_0:1		208	22	0	#4
1		208	21	0	#5
10		75	1	0	#6
out_100:103	0	116	0	#7
out_100:353	0	133	0	#8
out_100:160	0	124	0	#9
out_100:101	0	118	0	#10
out_100:110	0	125	0	#11
101		0	120	0	#12
out_102:109	97	0	0	#13
out_102:271	94	208	0	#14
out_102:313	126	0	0	#15
out_102:252	59	0	0	#16
out_102:374	94	0	0	#17
103		0	115	0	#18
out_104:133	180	208	0	#19
out_104:145	172	208	0	#20
105		0	77	0	#21
out_106:295	0	166	0	#22
out_106:112	0	160	0	#23
out_107:109	98	0	0	#24
out_107:108	208	18	0	#25
out_107:271	96	208	0	#26
out_107:252	58	0	0	#27
out_107:374	95	0	0	#28
108		208	19	0	#29
109		99	1	0	#30
11		31	0	0	#31
110		1	126	0	#32
111		100	0	0	#33
112		0	159	0	#34
out_113:119	122	0	0	#35
out_113:117	130	0	0	#36
out_113:114	129	0	0	#37
out_113:368	134	0	0	#38
out_113:221	121	0	0	#39
114		127	0	0	#40
out_115:184	0	158	0	#41
out_115:89	208	104	0	#42
out_115:179	208	43	0	#43
out_116:119	123	0	0	#44
out_116:117	133	0	0	#45
out_116:114	128	0	0	#46
out_116:368	136	0	0	#47
117		132	0	0	#48
out_118:119	124	0	0	#49
out_118:117	131	0	0	#50
119		125	0	0	#51
12		56	1	0	#52
120		109	1	0	#53
out_121:126	129	208	0	#54
out_121:278	0	134	0	#55
out_121:123	197	208	0	#56
out_121:198	0	170	0	#57
out_121:195	0	177	0	#58
122		139	206	0	#59
123		195	208	0	#60
124		207	180	0	#61
out_125:126	127	208	0	#62
out_125:278	0	135	0	#63
out_125:123	196	208	0	#64
126		129	206	0	#65
127		130	208	0	#66
128		130	206	0	#67
129		142	208	0	#68
13		74	0	0	#69
out_130:136	135	208	0	#70
out_130:134	143	208	0	#71
out_130:129	140	208	0	#72
out_130:286	138	208	0	#73
out_131:201	8	0	0	#74
out_131:474	208	134	0	#75
out_131:293	19	0	0	#76
out_131:268	126	208	0	#77
out_131:138	152	0	0	#78
132		118	1	0	#79
133		181	208	0	#80
134		145	208	0	#81
out_135:136	132	208	0	#82
out_135:134	144	208	0	#83
136		134	208	0	#84
out_137:124	208	180	0	#85
out_137:44	208	29	0	#86
out_137:43	208	189	0	#87
out_137:45	0	169	0	#88
out_137:63	208	166	0	#89
138		151	0	0	#90
139		208	81	0	#91
14		70	0	0	#92
out_140:421	208	59	0	#93
141		207	181	0	#94
out_142:103	0	117	0	#95
out_142:353	0	131	0	#96
out_142:160	0	123	0	#97
out_142:101	0	119	0	#98
143		117	208	0	#99
144		208	129	0	#100
145		171	208	0	#101
146		156	0	0	#102
147		1	122	0	#103
148		87	0	0	#104
149		208	185	0	#105
15		112	0	0	#106
150		207	57	0	#107
out_151:426	0	94	0	#108
out_151:166	0	84	0	#109
out_151:326	0	89	0	#110
out_151:415	0	91	0	#111
out_151:285	0	82	0	#112
152		202	208	0	#113
153		10	1	0	#114
154		208	46	0	#115
out_155:159	15	208	0	#116
out_155:162	208	9	0	#117
out_155:163	208	100	0	#118
out_155:171	0	186	0	#119
out_156:295	0	165	0	#120
out_156:112	0	162	0	#121
out_156:92	0	150	0	#122
out_156:91	0	148	0	#123
out_156:333	0	153	0	#124
out_157:234	0	188	0	#125
out_157:375	0	199	0	#126
158		54	206	0	#127
159		17	208	0	#128
out_16:298	82	0	0	#129
