Netlist file: benchmarks/fpga/net_EPFL/bar_k6.net   Architecture file: arch/k6-n1.xml
Array size: 207 x 207 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:277	45	208	0	#0
out_0:42	208	125	0	#1
out_1:277	208	142	0	#2
out_1:45	187	208	0	#3
out_10:277	208	156	0	#4
out_10:275	94	208	0	#5
100		174	23	0	#6
101		0	93	0	#7
out_102:255	9	0	0	#8
out_102:353	3	208	0	#9
out_102:156	208	103	0	#10
out_102:153	208	109	0	#11
out_102:186	0	191	0	#12
103		129	206	0	#13
104		190	1	0	#14
105		173	0	0	#15
106		100	206	0	#16
107		108	23	0	#17
108		208	19	0	#18
out_109:277	0	158	0	#19
out_109:628	182	208	0	#20
out_11:277	0	200	0	#21
out_11:52	80	208	0	#22
out_110:277	0	92	0	#23
out_110:52	79	208	0	#24
111		191	0	0	#25
112		41	35	0	#26
113		208	18	0	#27
114		207	21	0	#28
115		173	6	0	#29
116		136	206	0	#30
117		111	208	0	#31
118		125	205	0	#32
119		145	208	0	#33
out_12:277	208	186	0	#34
out_12:155	150	208	0	#35
out_120:192	0	111	0	#36
out_120:241	208	151	0	#37
out_120:428	208	7	0	#38
out_120:116	137	208	0	#39
out_120:311	97	208	0	#40
121		159	0	0	#41
122		207	61	0	#42
123		160	47	0	#43
out_124:276	208	173	0	#44
out_124:378	15	208	0	#45
out_124:335	207	208	0	#46
out_124:387	116	0	0	#47
out_124:466	151	0	0	#48
125		1	105	0	#49
126		188	44	0	#50
127		208	4	0	#51
128		208	51	0	#52
out_129:255	196	0	0	#53
out_129:353	159	208	0	#54
out_129:554	208	91	0	#55
out_129:442	0	109	0	#56
out_129:556	163	208	0	#57
out_13:277	25	208	0	#58
out_13:181	134	0	0	#59
out_130:255	178	208	0	#60
out_130:353	208	155	0	#61
out_130:282	72	0	0	#62
out_130:469	60	0	0	#63
out_130:234	0	20	0	#64
131		84	23	0	#65
132		84	0	0	#66
133		89	0	0	#67
134		139	206	0	#68
135		106	58	0	#69
136		89	20	0	#70
137		195	0	0	#71
out_138:277	25	0	0	#72
out_138:577	69	0	0	#73
139		2	35	0	#74
out_14:277	0	107	0	#75
out_14:567	53	208	0	#76
140		187	44	0	#77
141		49	0	0	#78
142		96	208	0	#79
143		0	101	0	#80
144		1	146	0	#81
145		0	127	0	#82
146		78	206	0	#83
147		207	56	0	#84
148		76	206	0	#85
149		61	206	0	#86
out_15:277	208	199	0	#87
out_15:211	127	208	0	#88
150		0	57	0	#89
151		2	67	0	#90
152		207	99	0	#91
153		4	109	0	#92
154		1	145	0	#93
155		149	206	0	#94
156		100	88	0	#95
out_157:277	181	0	0	#96
out_157:397	208	107	0	#97
158		119	208	0	#98
out_159:255	208	116	0	#99
out_159:353	186	208	0	#100
out_159:509	118	0	0	#101
out_159:451	42	0	0	#102
out_159:502	127	0	0	#103
out_16:277	0	174	0	#104
out_16:612	208	29	0	#105
out_160:255	0	47	0	#106
out_160:353	208	204	0	#107
out_160:188	0	24	0	#108
out_160:194	0	44	0	#109
out_160:149	58	208	0	#110
161		195	20	0	#111
162		99	208	0	#112
out_163:277	208	149	0	#113
out_163:348	100	0	0	#114
out_164:276	208	115	0	#115
out_164:378	0	14	0	#116
out_164:526	104	208	0	#117
out_164:117	115	208	0	#118
out_164:158	118	208	0	#119
165		109	0	0	#120
166		176	28	0	#121
167		3	63	0	#122
out_168:277	32	0	0	#123
