Netlist file: benchmarks/fpga/net_EPFL/int2float_k6.net   Architecture file: arch/k6-n1.xml
Array size: 23 x 23 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:25	24	6	0	#0
out_0:17	0	4	0	#1
out_0:32	5	0	0	#2
out_0:28	1	0	0	#3
1		19	17	0	#4
out_10:17	14	0	0	#5
out_10:28	17	0	0	#6
out_10:12	0	19	0	#7
out_10:51	21	24	0	#8
out_10:26	9	24	0	#9
11		14	18	0	#10
12		0	11	0	#11
13		1	24	0	#12
out_14:25	24	12	0	#13
out_14:17	2	0	0	#14
out_14:43	13	0	0	#15
out_14:29	0	17	0	#16
15		12	18	0	#17
out_16:15	12	24	0	#18
out_16:23	14	24	0	#19
out_16:24	24	16	0	#20
out_16:31	0	9	0	#21
out_16:25	24	5	0	#22
17		0	1	0	#23
18		19	10	0	#24
19		5	24	0	#25
2		19	18	0	#26
20		19	15	0	#27
21		19	19	0	#28
22		21	9	0	#29
23		14	19	0	#30
24		21	16	0	#31
25		24	3	0	#32
26		13	24	0	#33
27		21	18	0	#34
28		20	0	0	#35
29		1	17	0	#36
3		19	1	0	#37
out_30:31	0	2	0	#38
out_30:19	7	24	0	#39
out_30:35	24	21	0	#40
out_30:12	0	13	0	#41
out_30:51	22	24	0	#42
31		16	0	0	#43
32		0	6	0	#44
33		9	1	0	#45
out_34:25	24	8	0	#46
out_34:32	4	0	0	#47
out_34:46	11	0	0	#48
out_34:22	24	9	0	#49
out_34:5	0	10	0	#50
35		24	18	0	#51
36		21	15	0	#52
out_37:31	0	5	0	#53
out_37:12	0	15	0	#54
out_38:13	2	24	0	#55
out_38:26	11	24	0	#56
39		19	13	0	#57
out_4:17	6	0	0	#58
out_4:32	15	0	0	#59
out_4:28	21	0	0	#60
out_4:51	23	24	0	#61
out_4:26	8	24	0	#62
out_40:17	0	7	0	#63
out_40:28	0	3	0	#64
out_40:26	15	24	0	#65
out_40:47	24	11	0	#66
out_40:6	24	19	0	#67
out_41:25	24	7	0	#68
out_41:8	0	16	0	#69
out_41:21	17	24	0	#70
out_41:3	19	0	0	#71
out_41:20	18	24	0	#72
42		19	14	0	#73
43		13	9	0	#74
44		20	10	0	#75
out_45:31	22	0	0	#76
out_45:19	3	24	0	#77
out_45:32	8	0	0	#78
out_45:13	0	20	0	#79
out_45:26	16	24	0	#80
46		11	10	0	#81
47		22	11	0	#82
48		13	10	0	#83
49		20	19	0	#84
5		1	10	0	#85
out_50:19	0	21	0	#86
out_50:35	24	17	0	#87
out_50:12	0	14	0	#88
out_50:51	24	22	0	#89
out_50:13	4	24	0	#90
51		24	23	0	#91
out_52:25	24	4	0	#92
out_52:32	10	0	0	#93
out_52:13	24	13	0	#94
out_53:31	12	0	0	#95
out_53:19	0	18	0	#96
out_53:17	18	0	0	#97
out_53:28	3	0	0	#98
out_53:12	24	14	0	#99
out_54:25	24	2	0	#100
out_54:32	7	0	0	#101
out_54:44	24	10	0	#102
out_54:58	0	12	0	#103
out_55:19	0	23	0	#104
out_55:13	6	24	0	#105
out_55:49	20	24	0	#106
out_55:36	24	15	0	#107
out_55:33	9	0	0	#108
56		2	12	0	#109
57		20	18	0	#110
58		1	12	0	#111
out_59:17	0	8	0	#112
out_59:35	24	20	0	#113
out_59:51	19	24	0	#114
6		22	19	0	#115
out_7:13	0	22	0	#116
out_7:26	10	24	0	#117
8		1	16	0	#118
9		21	17	0	#119
