Netlist file: benchmarks/fpga/net_EPFL/max_k6.net   Architecture file: arch/k6-n1.xml
Array size: 305 x 305 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:348	201	306	0	#0
out_0:1250	306	74	0	#1
out_1:348	214	306	0	#2
out_1:867	259	306	0	#3
out_1:624	261	0	0	#4
out_1:780	257	0	0	#5
out_10:348	147	0	0	#6
out_10:424	0	96	0	#7
100		305	299	0	#8
1000		181	306	0	#9
1001		183	306	0	#10
1002		185	304	0	#11
1003		306	297	0	#12
1004		306	95	0	#13
1005		305	173	0	#14
1006		185	306	0	#15
1007		173	304	0	#16
out_1008:207	0	10	0	#17
out_1008:1188	0	28	0	#18
out_1008:134	48	306	0	#19
out_1008:84	0	37	0	#20
out_1008:83	45	306	0	#21
1009		0	106	0	#22
101		306	110	0	#23
1010		1	62	0	#24
1011		189	306	0	#25
1012		306	81	0	#26
out_1013:348	0	304	0	#27
out_1013:827	0	157	0	#28
1014		0	109	0	#29
1015		0	235	0	#30
1016		306	41	0	#31
1017		0	102	0	#32
1018		1	46	0	#33
1019		306	68	0	#34
102		305	139	0	#35
1020		0	101	0	#36
1021		0	103	0	#37
1022		1	260	0	#38
1023		1	200	0	#39
out_1024:888	0	112	0	#40
out_1024:1009	0	107	0	#41
out_1024:1014	0	108	0	#42
1025		72	1	0	#43
1026		46	306	0	#44
out_1027:429	9	306	0	#45
out_1027:326	23	306	0	#46
out_1027:977	12	306	0	#47
1028		306	138	0	#48
1029		53	0	0	#49
103		305	290	0	#50
1030		306	135	0	#51
1031		28	303	0	#52
1032		306	140	0	#53
1033		1	53	0	#54
1034		295	0	0	#55
1035		305	141	0	#56
1036		306	230	0	#57
1037		305	221	0	#58
out_1038:348	119	0	0	#59
out_1038:830	306	293	0	#60
1039		182	306	0	#61
104		1	105	0	#62
1040		306	221	0	#63
1041		306	218	0	#64
1042		39	1	0	#65
1043		306	220	0	#66
1044		231	306	0	#67
1045		306	49	0	#68
1046		294	0	0	#69
1047		1	45	0	#70
1048		305	45	0	#71
1049		302	0	0	#72
105		1	103	0	#73
1050		1	271	0	#74
1051		1	204	0	#75
1052		254	0	0	#76
1053		102	0	0	#77
1054		1	273	0	#78
out_1055:348	106	306	0	#79
out_1055:867	156	306	0	#80
out_1055:819	306	260	0	#81
out_1055:1096	306	255	0	#82
1056		268	0	0	#83
1057		306	262	0	#84
1058		305	124	0	#85
1059		304	29	0	#86
106		186	304	0	#87
1060		278	0	0	#88
1061		306	83	0	#89
1062		211	0	0	#90
1063		306	144	0	#91
out_1064:109	184	306	0	#92
out_1064:106	188	306	0	#93
out_1064:105	0	104	0	#94
out_1064:104	0	105	0	#95
out_1064:102	306	139	0	#96
1065		1	195	0	#97
1066		305	77	0	#98
1067		1	98	0	#99
1068		306	77	0	#100
1069		137	304	0	#101
107		306	164	0	#102
1070		305	82	0	#103
1071		306	82	0	#104
1072		305	294	0	#105
1073		306	92	0	#106
out_1074:348	116	0	0	#107
out_1074:71	306	73	0	#108
1075		0	208	0	#109
1076		305	228	0	#110
out_1077:307	186	0	0	#111
out_1077:576	106	0	0	#112
out_1077:586	224	0	0	#113
out_1077:519	0	1	0	#114
out_1077:589	0	47	0	#115
1078		1	205	0	#116
1079		305	170	0	#117
108		35	303	0	#118
1080		305	90	0	#119
1081		0	29	0	#120
1082		305	91	0	#121
1083		172	1	0	#122
1084		305	87	0	#123
1085		181	304	0	#124
1086		289	1	0	#125
1087		22	306	0	#126
1088		1	266	0	#127
out_1089:348	230	0	0	#128
out_1089:867	160	306	0	#129
out_1089:278	88	0	0	#130
out_1089:501	52	0	0	#131
109		184	304	0	#132
1090		288	1	0	#133
1091		305	86	0	#134
1092		306	87	0	#135
1093		1	288	0	#136
1094		1	236	0	#137
1095		274	299	0	#138
1096		305	255	0	#139
1097		237	304	0	#140
1098		273	254	0	#141
out_1099:731	220	306	0	#142
out_1099:524	306	197	0	#143
out_11:348	2	306	0	#144
out_11:867	144	0	0	#145
out_11:888	0	111	0	#146
out_11:1233	0	92	0	#147
out_110:348	306	156	0	#148
out_110:1159	129	306	0	#149
1100		205	1	0	#150
1101		136	303	0	#151
1102		25	303	0	#152
1103		180	304	0	#153
1104		200	1	0	#154
1105		305	122	0	#155
1106		306	33	0	#156
1107		306	14	0	#157
1108		204	1	0	#158
1109		0	36	0	#159
111		88	304	0	#160
1110		191	1	0	#161
1111		1	48	0	#162
1112		1	49	0	#163
1113		1	290	0	#164
1114		1	64	0	#165
1115		142	303	0	#166
1116		306	91	0	#167
1117		2	45	0	#168
1118		2	47	0	#169
1119		2	46	0	#170
112		305	46	0	#171
1120		1	21	0	#172
out_1121:867	306	268	0	#173
out_1121:1223	306	281	0	#174
out_1121:1072	306	294	0	#175
out_1121:137	306	288	0	#176
out_1121:765	150	0	0	#177
1122		1	50	0	#178
out_1123:348	0	117	0	#179
out_1123:1103	180	306	0	#180
1124		1	201	0	#181
1125		1	34	0	#182
1126		1	55	0	#183
1127		1	30	0	#184
1128		1	11	0	#185
1129		1	3	0	#186
113		0	173	0	#187
1130		1	212	0	#188
1131		56	1	0	#189
1132		62	1	0	#190
1133		71	1	0	#191
1134		65	1	0	#192
1135		1	136	0	#193
1136		55	1	0	#194
1137		80	1	0	#195
1138		60	1	0	#196
1139		305	30	0	#197
114		305	81	0	#198
1140		40	1	0	#199
out_1141:867	0	301	0	#200
out_1141:573	91	0	0	#201
out_1141:236	77	0	0	#202
out_1141:501	73	0	0	#203
out_1141:1025	74	0	0	#204
out_1142:348	154	306	0	#205
out_1142:867	306	203	0	#206
out_1142:1028	306	137	0	#207
out_1142:539	306	129	0	#208
1143		57	1	0	#209
1144		1	43	0	#210
1145		30	304	0	#211
1146		39	302	0	#212
1147		18	302	0	#213
1148		52	304	0	#214
1149		82	306	0	#215
115		267	1	0	#216
1150		132	302	0	#217
1151		305	176	0	#218
1152		51	304	0	#219
1153		37	303	0	#220
1154		36	303	0	#221
1155		306	119	0	#222
1156		130	1	0	#223
1157		126	303	0	#224
1158		131	302	0	#225
1159		128	303	0	#226
out_116:348	290	306	0	#227
out_116:1182	240	306	0	#228
1160		137	303	0	#229
1161		2	268	0	#230
1162		138	303	0	#231
1163		117	302	0	#232
1164		118	303	0	#233
1165		305	54	0	#234
out_1166:867	306	264	0	#235
out_1166:124	306	237	0	#236
out_1166:538	306	242	0	#237
out_1166:130	306	239	0	#238
out_1166:997	208	306	0	#239
1167		131	303	0	#240
1168		86	304	0	#241
1169		305	165	0	#242
117		305	56	0	#243
out_1170:348	306	114	0	#244
out_1170:618	126	306	0	#245
out_1171:348	177	0	0	#246
out_1171:1148	53	306	0	#247
1172		306	181	0	#248
1173		305	164	0	#249
1174		234	0	0	#250
1175		305	6	0	#251
out_1176:551	303	0	0	#252
out_1176:684	297	0	0	#253
out_1176:1022	0	259	0	#254
out_1176:592	0	261	0	#255
out_1176:546	226	306	0	#256
1177		305	175	0	#257
1178		305	123	0	#258
1179		305	159	0	#259
118		1	196	0	#260
1180		305	163	0	#261
1181		305	174	0	#262
1182		243	304	0	#263
out_1183:867	105	306	0	#264
out_1183:937	306	188	0	#265
out_1183:1179	306	167	0	#266
out_1183:750	306	173	0	#267
out_1183:1185	306	171	0	#268
out_1184:348	10	0	0	#269
out_1184:1218	306	228	0	#270
1185		305	171	0	#271
1186		49	304	0	#272
1187		1	140	0	#273
1188		1	28	0	#274
1189		1	150	0	#275
119		293	0	0	#276
1190		1	54	0	#277
1191		81	304	0	#278
1192		76	304	0	#279
1193		1	93	0	#280
1194		73	303	0	#281
1195		1	63	0	#282
1196		306	211	0	#283
1197		210	0	0	#284
1198		305	8	0	#285
1199		50	0	0	#286
out_12:348	306	154	0	#287
out_12:1067	0	99	0	#288
120		306	27	0	#289
1200		277	0	0	#290
1201		305	2	0	#291
1202		305	9	0	#292
out_1203:348	306	272	0	#293
out_1203:1072	306	295	0	#294
1204		305	7	0	#295
1205		1	267	0	#296
out_1206:194	306	85	0	#297
out_1206:162	153	0	0	#298
out_1206:1083	173	0	0	#299
out_1206:735	164	0	0	#300
1207		1	270	0	#301
1208		1	264	0	#302
1209		1	209	0	#303
121		40	303	0	#304
1210		109	306	0	#305
1211		1	206	0	#306
1212		235	304	0	#307
1213		228	303	0	#308
1214		249	304	0	#309
1215		306	274	0	#310
1216		176	303	0	#311
1217		306	89	0	#312
1218		305	223	0	#313
1219		177	304	0	#314
122		89	306	0	#315
