Netlist file: benchmarks/fpga/net_EPFL/router_k6.net   Architecture file: arch/k6-n1.xml
Array size: 21 x 21 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		7	2	0	#0
1		7	1	0	#1
10		2	19	0	#2
100		13	0	0	#3
101		1	13	0	#4
out_102:101	1	22	0	#5
out_102:103	0	11	0	#6
out_102:111	0	6	0	#7
out_102:7	0	9	0	#8
out_102:105	0	3	0	#9
103		0	10	0	#10
104		2	0	0	#11
105		0	4	0	#12
106		21	5	0	#13
107		3	0	0	#14
108		0	17	0	#15
109		22	18	0	#16
11		22	3	0	#17
110		0	14	0	#18
111		0	5	0	#19
112		10	1	0	#20
113		11	1	0	#21
114		2	5	0	#22
115		2	4	0	#23
116		1	12	0	#24
117		1	6	0	#25
118		16	13	0	#26
119		0	20	0	#27
12		22	8	0	#28
120		3	12	0	#29
121		2	12	0	#30
122		3	11	0	#31
123		2	1	0	#32
124		20	19	0	#33
125		2	14	0	#34
126		0	13	0	#35
127		0	2	0	#36
128		2	22	0	#37
129		18	22	0	#38
13		19	3	0	#39
130		9	1	0	#40
131		3	22	0	#41
132		18	13	0	#42
133		6	2	0	#43
134		3	6	0	#44
14		17	13	0	#45
out_15:129	17	22	0	#46
out_15:22	21	22	0	#47
16		19	16	0	#48
17		0	1	0	#49
18		19	14	0	#50
19		19	15	0	#51
2		0	19	0	#52
20		22	12	0	#53
21		21	9	0	#54
22		22	21	0	#55
23		20	22	0	#56
24		0	16	0	#57
25		22	14	0	#58
26		12	1	0	#59
27		22	20	0	#60
28		18	15	0	#61
29		22	10	0	#62
3		2	13	0	#63
30		19	0	0	#64
31		19	19	0	#65
32		22	2	0	#66
33		20	16	0	#67
34		15	13	0	#68
35		10	2	0	#69
36		18	12	0	#70
out_37:71	20	0	0	#71
out_37:69	14	22	0	#72
out_37:74	10	22	0	#73
out_37:75	13	22	0	#74
out_37:40	8	22	0	#75
38		21	6	0	#76
39		18	16	0	#77
4		2	11	0	#78
40		9	22	0	#79
41		21	16	0	#80
42		2	6	0	#81
43		15	15	0	#82
44		22	11	0	#83
45		6	1	0	#84
46		20	6	0	#85
47		20	2	0	#86
48		21	7	0	#87
49		18	19	0	#88
5		22	7	0	#89
50		3	1	0	#90
51		22	19	0	#91
out_52:49	6	22	0	#92
53		22	16	0	#93
54		4	22	0	#94
55		16	22	0	#95
56		0	21	0	#96
57		20	18	0	#97
58		20	3	0	#98
59		20	15	0	#99
6		22	6	0	#100
60		18	0	0	#101
61		21	0	0	#102
62		0	12	0	#103
63		22	15	0	#104
64		21	3	0	#105
65		19	2	0	#106
66		0	15	0	#107
67		0	7	0	#108
68		22	1	0	#109
69		15	22	0	#110
7		0	8	0	#111
70		2	10	0	#112
71		20	1	0	#113
72		22	17	0	#114
73		15	14	0	#115
74		11	22	0	#116
75		12	22	0	#117
76		4	1	0	#118
77		1	0	0	#119
78		22	5	0	#120
out_79:49	5	22	0	#121
out_79:1	7	0	0	#122
8		0	18	0	#123
80		1	5	0	#124
81		2	18	0	#125
82		21	8	0	#126
83		22	4	0	#127
out_84:49	7	22	0	#128
out_84:96	19	22	0	#129
out_84:76	4	0	0	#130
out_84:45	6	0	0	#131
out_84:21	22	13	0	#132
85		8	1	0	#133
out_86:85	9	0	0	#134
out_86:89	11	0	0	#135
out_86:90	10	0	0	#136
out_86:88	17	0	0	#137
87		1	7	0	#138
88		14	1	0	#139
89		13	1	0	#140
9		22	9	0	#141
90		9	2	0	#142
91		8	0	0	#143
92		21	2	0	#144
93		5	1	0	#145
94		5	0	0	#146
95		12	0	0	#147
96		19	18	0	#148
97		15	0	0	#149
98		14	0	0	#150
99		16	0	0	#151
