Netlist file: benchmarks/fpga/net_EPFL/sin_k6.net   Architecture file: arch/k6-n1.xml
Array size: 115 x 115 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		35	60	0	#0
1		12	34	0	#1
10		33	100	0	#2
100		84	42	0	#3
1000		99	43	0	#4
out_1001:1495	116	12	0	#5
out_1001:661	2	0	0	#6
out_1001:480	116	102	0	#7
out_1001:315	49	0	0	#8
1002		33	50	0	#9
1003		70	4	0	#10
1004		65	4	0	#11
out_1005:1178	0	53	0	#12
out_1005:728	0	38	0	#13
out_1005:825	0	69	0	#14
out_1005:36	0	83	0	#15
out_1005:1061	0	102	0	#16
out_1006:744	116	29	0	#17
out_1006:1349	106	0	0	#18
out_1006:545	116	94	0	#19
1007		75	7	0	#20
out_1008:592	30	0	0	#21
out_1008:528	116	19	0	#22
out_1008:625	31	0	0	#23
out_1008:956	32	0	0	#24
1009		16	41	0	#25
out_101:778	116	10	0	#26
out_101:113	98	116	0	#27
out_101:575	116	70	0	#28
out_101:674	116	69	0	#29
out_101:882	95	116	0	#30
1010		72	8	0	#31
1011		69	3	0	#32
1012		73	3	0	#33
1013		77	12	0	#34
1014		114	1	0	#35
1015		32	39	0	#36
1016		47	1	0	#37
1017		31	58	0	#38
1018		63	1	0	#39
1019		72	4	0	#40
102		97	46	0	#41
1020		72	9	0	#42
1021		36	56	0	#43
1022		72	6	0	#44
1023		86	39	0	#45
1024		85	49	0	#46
1025		25	59	0	#47
1026		83	28	0	#48
1027		46	1	0	#49
out_1028:1027	45	0	0	#50
out_1028:1029	85	0	0	#51
out_1028:1033	87	0	0	#52
out_1028:1034	93	0	0	#53
1029		80	6	0	#54
103		94	45	0	#55
1030		36	54	0	#56
1031		83	4	0	#57
1032		84	32	0	#58
1033		72	7	0	#59
1034		82	8	0	#60
1035		83	7	0	#61
1036		29	57	0	#62
1037		34	38	0	#63
1038		91	39	0	#64
1039		82	4	0	#65
104		38	53	0	#66
out_1040:778	116	18	0	#67
out_1041:810	48	0	0	#68
1042		90	28	0	#69
out_1043:878	116	88	0	#70
out_1043:720	116	71	0	#71
1044		80	4	0	#72
1045		23	55	0	#73
out_1046:980	0	77	0	#74
out_1046:1226	0	13	0	#75
out_1046:1401	0	87	0	#76
1047		26	35	0	#77
1048		80	7	0	#78
1049		70	6	0	#79
105		70	44	0	#80
1050		79	5	0	#81
1051		23	35	0	#82
1052		94	31	0	#83
1053		24	44	0	#84
1054		86	40	0	#85
1055		75	6	0	#86
1056		79	8	0	#87
1057		19	35	0	#88
out_1058:889	39	116	0	#89
out_1058:441	103	0	0	#90
out_1058:784	111	0	0	#91
1059		81	7	0	#92
106		67	46	0	#93
1060		83	6	0	#94
1061		20	55	0	#95
1062		85	3	0	#96
1063		78	6	0	#97
1064		24	42	0	#98
1065		84	7	0	#99
1066		71	6	0	#100
1067		84	6	0	#101
1068		83	8	0	#102
1069		87	47	0	#103
107		69	48	0	#104
1070		45	41	0	#105
1071		30	17	0	#106
1072		82	3	0	#107
