Netlist file: benchmarks/fpga/net_EPFL/sqrt_k6.net   Architecture file: arch/k6-n1.xml
Array size: 151 x 151 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
0		69	56	0	#0
1		92	43	0	#1
10		6	17	0	#2
100		17	4	0	#3
1000		141	12	0	#4
1001		151	1	0	#5
1002		144	6	0	#6
1003		139	11	0	#7
1004		140	12	0	#8
1005		64	31	0	#9
1006		140	11	0	#10
1007		135	12	0	#11
1008		133	11	0	#12
1009		132	12	0	#13
101		14	5	0	#14
1010		81	43	0	#15
1011		133	12	0	#16
1012		134	8	0	#17
1013		70	2	0	#18
1014		137	10	0	#19
1015		55	40	0	#20
1016		139	9	0	#21
1017		134	9	0	#22
1018		143	10	0	#23
1019		73	42	0	#24
out_102:3005	0	136	0	#25
out_102:1158	0	102	0	#26
out_102:105	0	121	0	#27
1020		138	10	0	#28
out_1021:816	152	2	0	#29
out_1021:806	152	35	0	#30
out_1021:1064	129	0	0	#31
1022		133	17	0	#32
1023		144	9	0	#33
1024		143	5	0	#34
1025		62	27	0	#35
1026		143	8	0	#36
1027		137	8	0	#37
1028		141	8	0	#38
1029		134	11	0	#39
103		44	10	0	#40
1030		60	49	0	#41
1031		132	8	0	#42
1032		132	9	0	#43
1033		131	11	0	#44
1034		101	21	0	#45
1035		131	10	0	#46
1036		132	10	0	#47
1037		135	10	0	#48
1038		136	10	0	#49
1039		140	10	0	#50
104		28	5	0	#51
1040		142	8	0	#52
1041		142	7	0	#53
1042		64	58	0	#54
1043		145	7	0	#55
1044		152	22	0	#56
1045		142	6	0	#57
1046		137	6	0	#58
1047		138	6	0	#59
1048		146	6	0	#60
1049		134	6	0	#61
105		28	6	0	#62
1050		41	2	0	#63
1051		135	6	0	#64
1052		136	8	0	#65
1053		67	53	0	#66
1054		131	8	0	#67
1055		135	9	0	#68
1056		139	31	0	#69
1057		139	3	0	#70
1058		144	0	0	#71
1059		101	2	0	#72
106		49	15	0	#73
1060		144	3	0	#74
1061		142	2	0	#75
1062		147	2	0	#76
1063		152	5	0	#77
1064		132	2	0	#78
1065		137	7	0	#79
1066		85	51	0	#80
1067		132	7	0	#81
1068		139	7	0	#82
1069		133	5	0	#83
107		49	16	0	#84
1070		133	6	0	#85
1071		13	0	0	#86
1072		69	61	0	#87
1073		64	5	0	#88
1074		136	3	0	#89
1075		135	4	0	#90
1076		137	2	0	#91
1077		137	1	0	#92
1078		137	9	0	#93
1079		139	2	0	#94
108		81	32	0	#95
1080		74	20	0	#96
1081		140	3	0	#97
1082		144	4	0	#98
1083		64	22	0	#99
1084		146	1	0	#100
1085		144	1	0	#101
1086		142	0	0	#102
1087		145	2	0	#103
1088		85	12	0	#104
1089		138	5	0	#105
109		87	27	0	#106
1090		71	40	0	#107
1091		102	31	0	#108
1092		135	7	0	#109
1093		92	20	0	#110
1094		140	6	0	#111
1095		131	7	0	#112
1096		131	6	0	#113
1097		131	4	0	#114
1098		31	17	0	#115
1099		132	4	0	#116
out_11:2781	22	152	0	#117
out_11:2347	0	119	0	#118
out_11:76	0	126	0	#119
out_11:42	0	73	0	#120
out_11:4705	16	152	0	#121
110		87	26	0	#122
1100		135	3	0	#123
1101		142	1	0	#124
1102		136	1	0	#125
1103		139	1	0	#126
1104		141	2	0	#127
1105		127	1	0	#128
1106		138	1	0	#129
1107		129	7	0	#130
1108		104	33	0	#131
1109		129	4	0	#132
111		82	26	0	#133
1110		55	5	0	#134
1111		138	4	0	#135
1112		128	8	0	#136
1113		134	7	0	#137
1114		126	7	0	#138
1115		136	2	0	#139
1116		130	6	0	#140
1117		126	5	0	#141
1118		74	46	0	#142
1119		127	5	0	#143
112		85	26	0	#144
1120		130	5	0	#145
1121		68	47	0	#146
1122		128	3	0	#147
1123		130	3	0	#148
1124		129	1	0	#149
1125		129	2	0	#150
1126		132	1	0	#151
1127		131	1	0	#152
1128		135	1	0	#153
1129		125	4	0	#154
113		21	14	0	#155
1130		80	51	0	#156
1131		127	3	0	#157
1132		11	20	0	#158
1133		129	6	0	#159
1134		125	7	0	#160
1135		49	12	0	#161
1136		130	8	0	#162
1137		121	8	0	#163
1138		121	7	0	#164
1139		126	4	0	#165
114		69	26	0	#166
1140		122	3	0	#167
1141		124	2	0	#168
1142		123	2	0	#169
1143		120	0	0	#170
1144		65	43	0	#171
1145		152	123	0	#172
1146		125	1	0	#173
1147		117	3	0	#174
1148		119	4	0	#175
1149		126	2	0	#176
115		61	27	0	#177
1150		108	25	0	#178
1151		123	5	0	#179
1152		123	4	0	#180
1153		122	7	0	#181
1154		123	6	0	#182
out_1155:2758	46	152	0	#183
out_1155:46	23	152	0	#184
out_1155:15	26	152	0	#185
1156		22	7	0	#186
1157		118	9	0	#187
1158		27	3	0	#188
1159		109	13	0	#189
116		60	28	0	#190
1160		42	5	0	#191
1161		120	8	0	#192
1162		120	6	0	#193
1163		66	61	0	#194
1164		121	6	0	#195
1165		120	5	0	#196
1166		120	2	0	#197
1167		121	2	0	#198
1168		122	1	0	#199
1169		34	26	0	#200
117		58	30	0	#201
1170		122	2	0	#202
1171		75	3	0	#203
1172		126	1	0	#204
1173		115	0	0	#205
1174		121	1	0	#206
1175		118	1	0	#207
1176		77	48	0	#208
1177		111	4	0	#209
1178		120	1	0	#210
1179		97	24	0	#211
118		43	11	0	#212
1180		118	0	0	#213
1181		114	3	0	#214
1182		115	1	0	#215
1183		114	2	0	#216
1184		116	4	0	#217
1185		114	4	0	#218
1186		89	25	0	#219
1187		118	6	0	#220
1188		115	6	0	#221
1189		117	4	0	#222
119		58	32	0	#223
1190		118	5	0	#224
1191		116	7	0	#225
1192		119	8	0	#226
1193		118	8	0	#227
1194		117	7	0	#228
1195		72	24	0	#229
1196		116	6	0	#230
1197		41	29	0	#231
1198		116	5	0	#232
1199		81	57	0	#233
12		21	45	0	#234
120		58	37	0	#235
1200		96	25	0	#236
1201		110	3	0	#237
1202		113	4	0	#238
1203		113	2	0	#239
1204		63	27	0	#240
1205		112	1	0	#241
1206		107	2	0	#242
1207		106	2	0	#243
1208		113	3	0	#244
1209		116	8	0	#245
121		57	42	0	#246
1210		107	3	0	#247
1211		111	5	0	#248
1212		109	5	0	#249
1213		108	5	0	#250
1214		113	6	0	#251
1215		58	44	0	#252
1216		108	7	0	#253
1217		109	7	0	#254
1218		107	8	0	#255
1219		48	0	0	#256
122		58	47	0	#257
1220		115	7	0	#258
1221		137	21	0	#259
1222		135	16	0	#260
1223		107	7	0	#261
1224		76	26	0	#262
1225		106	5	0	#263
1226		105	4	0	#264
1227		110	4	0	#265
1228		102	3	0	#266
1229		102	2	0	#267
123		58	49	0	#268
1230		103	2	0	#269
1231		100	1	0	#270
1232		99	2	0	#271
1233		102	1	0	#272
1234		100	2	0	#273
1235		105	2	0	#274
1236		100	4	0	#275
1237		99	4	0	#276
1238		100	6	0	#277
1239		99	24	0	#278
124		57	50	0	#279
1240		108	4	0	#280
1241		61	41	0	#281
1242		101	11	0	#282
1243		102	7	0	#283
1244		108	6	0	#284
1245		103	7	0	#285
1246		87	50	0	#286
1247		98	7	0	#287
1248		98	6	0	#288
1249		104	6	0	#289
125		44	30	0	#290
1250		97	5	0	#291
1251		78	30	0	#292
1252		97	4	0	#293
1253		96	3	0	#294
1254		105	3	0	#295
1255		93	0	0	#296
1256		51	8	0	#297
1257		97	1	0	#298
1258		96	1	0	#299
1259		92	1	0	#300
126		39	26	0	#301
1260		90	1	0	#302
1261		94	1	0	#303
1262		93	2	0	#304
1263		121	4	0	#305
1264		98	1	0	#306
1265		101	4	0	#307
1266		96	2	0	#308
1267		137	32	0	#309
1268		98	5	0	#310
1269		98	3	0	#311
127		43	25	0	#312
1270		47	34	0	#313
1271		79	58	0	#314
1272		99	6	0	#315
1273		149	44	0	#316
1274		97	7	0	#317
1275		102	5	0	#318
1276		103	6	0	#319
1277		91	7	0	#320
1278		100	3	0	#321
1279		97	6	0	#322
128		19	5	0	#323
1280		91	5	0	#324
1281		48	2	0	#325
1282		103	4	0	#326
1283		65	18	0	#327
1284		96	4	0	#328
1285		95	2	0	#329
1286		75	0	0	#330
1287		84	1	0	#331
1288		92	3	0	#332
1289		24	5	0	#333
129		19	6	0	#334
1290		61	58	0	#335
1291		89	1	0	#336
1292		88	1	0	#337
1293		87	1	0	#338
1294		88	2	0	#339
1295		92	2	0	#340
1296		62	61	0	#341
1297		119	0	0	#342
1298		93	5	0	#343
1299		94	7	0	#344
13		6	21	0	#345
130		19	1	0	#346
1300		95	6	0	#347
1301		95	7	0	#348
1302		85	8	0	#349
1303		98	8	0	#350
1304		94	8	0	#351
1305		64	12	0	#352
1306		69	7	0	#353
1307		90	7	0	#354
1308		67	6	0	#355
1309		90	6	0	#356
131		18	2	0	#357
1310		89	5	0	#358
1311		90	4	0	#359
1312		82	3	0	#360
1313		90	3	0	#361
1314		68	0	0	#362
1315		82	2	0	#363
1316		66	1	0	#364
1317		76	1	0	#365
1318		77	1	0	#366
1319		75	1	0	#367
132		28	3	0	#368
1320		40	38	0	#369
