Netlist file: benchmarks/fpga/net_EPFL/voter_k6.net   Architecture file: arch/k6-n1.xml
Array size: 306 x 306 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
out_0:2222	0	173	0	#0
out_0:2379	0	179	0	#1
out_0:5		0	181	0	#2
out_0:1		82	307	0	#3
out_0:546	0	182	0	#4
1		111	170	0	#5
out_10:11	0	183	0	#6
out_10:9	129	307	0	#7
100		307	254	0	#8
1000		96	1	0	#9
1001		0	72	0	#10
1002		298	304	0	#11
1003		124	307	0	#12
out_1004:1175	189	307	0	#13
out_1004:943	170	307	0	#14
out_1004:534	169	307	0	#15
out_1004:1177	182	307	0	#16
1005		87	307	0	#17
1006		218	0	0	#18
1007		0	156	0	#19
1008		289	2	0	#20
1009		127	1	0	#21
101		124	0	0	#22
1010		123	307	0	#23
out_1011:619	52	0	0	#24
out_1011:2260	49	0	0	#25
out_1011:580	47	0	0	#26
out_1011:1314	50	0	0	#27
out_1011:577	51	0	0	#28
1012		243	118	0	#29
out_1013:2373	0	18	0	#30
out_1013:1955	0	21	0	#31
out_1013:913	0	30	0	#32
out_1013:1120	0	33	0	#33
out_1013:921	0	35	0	#34
1014		100	3	0	#35
1015		0	53	0	#36
1016		303	139	0	#37
1017		275	307	0	#38
1018		2	146	0	#39
1019		190	1	0	#40
102		164	307	0	#41
1020		1	168	0	#42
1021		245	0	0	#43
1022		307	162	0	#44
1023		306	213	0	#45
1024		240	122	0	#46
1025		1	15	0	#47
1026		48	2	0	#48
1027		250	110	0	#49
1028		198	1	0	#50
1029		307	168	0	#51
103		307	246	0	#52
1030		115	116	0	#53
1031		3	304	0	#54
1032		215	307	0	#55
1033		177	0	0	#56
1034		160	1	0	#57
1035		29	165	0	#58
1036		0	250	0	#59
1037		253	307	0	#60
1038		1	211	0	#61
1039		102	168	0	#62
104		307	245	0	#63
1040		2	37	0	#64
1041		282	303	0	#65
1042		1	145	0	#66
1043		3	307	0	#67
1044		25	307	0	#68
1045		1	17	0	#69
1046		306	272	0	#70
1047		0	47	0	#71
1048		11	304	0	#72
1049		86	1	0	#73
105		38	1	0	#74
1050		2	7	0	#75
1051		0	306	0	#76
1052		294	2	0	#77
1053		0	23	0	#78
1054		176	303	0	#79
1055		249	112	0	#80
1056		13	302	0	#81
1057		52	5	0	#82
1058		138	305	0	#83
1059		2	304	0	#84
106		306	249	0	#85
1060		2	205	0	#86
1061		307	225	0	#87
1062		12	304	0	#88
1063		2	169	0	#89
out_1064:747	7	307	0	#90
out_1064:1062	20	307	0	#91
out_1064:1068	19	307	0	#92
1065		163	290	0	#93
1066		307	269	0	#94
1067		307	231	0	#95
1068		16	305	0	#96
1069		306	58	0	#97
107		221	307	0	#98
1070		307	41	0	#99
out_1071:407	307	172	0	#100
out_1071:1855	120	307	0	#101
out_1071:2134	150	307	0	#102
out_1071:121	307	173	0	#103
out_1071:119	121	307	0	#104
1072		16	307	0	#105
1073		1	115	0	#106
1074		7	0	0	#107
1075		12	307	0	#108
1076		116	293	0	#109
1077		0	14	0	#110
1078		13	307	0	#111
1079		281	302	0	#112
108		306	232	0	#113
1080		51	307	0	#114
1081		0	157	0	#115
1082		18	307	0	#116
1083		2	208	0	#117
1084		14	307	0	#118
1085		0	61	0	#119
1086		187	0	0	#120
1087		224	307	0	#121
1088		32	0	0	#122
1089		246	307	0	#123
109		306	240	0	#124
1090		160	292	0	#125
1091		2	32	0	#126
1092		15	307	0	#127
1093		0	289	0	#128
1094		176	0	0	#129
1095		0	62	0	#130
1096		0	202	0	#131
1097		100	2	0	#132
1098		1	270	0	#133
1099		58	1	0	#134
11		110	164	0	#135
110		117	291	0	#136
1100		11	303	0	#137
1101		53	5	0	#138
out_1102:2051	183	307	0	#139
out_1102:555	173	307	0	#140
1103		5	3	0	#141
1104		2	145	0	#142
1105		138	0	0	#143
1106		60	2	0	#144
1107		1	234	0	#145
1108		159	1	0	#146
1109		85	2	0	#147
111		237	307	0	#148
1110		0	279	0	#149
1111		0	168	0	#150
1112		80	307	0	#151
1113		111	1	0	#152
1114		197	305	0	#153
1115		285	0	0	#154
out_1116:625	0	20	0	#155
out_1116:862	0	19	0	#156
1117		289	0	0	#157
1118		145	1	0	#158
1119		306	6	0	#159
112		267	2	0	#160
1120		1	23	0	#161
1121		229	307	0	#162
1122		195	307	0	#163
1123		232	307	0	#164
1124		0	261	0	#165
1125		230	307	0	#166
1126		307	47	0	#167
1127		1	259	0	#168
1128		2	56	0	#169
1129		99	1	0	#170
113		307	300	0	#171
1130		291	307	0	#172
1131		306	24	0	#173
1132		0	105	0	#174
1133		198	303	0	#175
1134		118	122	0	#176
1135		68	0	0	#177
1136		159	2	0	#178
1137		3	8	0	#179
1138		126	1	0	#180
out_1139:784	307	265	0	#181
out_1139:1484	307	272	0	#182
out_1139:1231	307	273	0	#183
114		305	211	0	#184
1140		166	307	0	#185
1141		290	1	0	#186
1142		109	165	0	#187
1143		2	108	0	#188
1144		177	307	0	#189
1145		199	304	0	#190
out_1146:1433	307	241	0	#191
out_1146:1918	307	234	0	#192
out_1146:823	307	239	0	#193
out_1146:109	307	240	0	#194
1147		239	289	0	#195
1148		306	27	0	#196
1149		34	307	0	#197
115		304	266	0	#198
1150		3	271	0	#199
1151		307	216	0	#200
1152		193	307	0	#201
1153		194	0	0	#202
1154		297	304	0	#203
1155		238	289	0	#204
1156		0	127	0	#205
1157		52	305	0	#206
1158		307	296	0	#207
1159		1	304	0	#208
116		138	303	0	#209
1160		83	170	0	#210
1161		306	141	0	#211
1162		147	1	0	#212
1163		160	156	0	#213
1164		306	241	0	#214
1165		198	307	0	#215
1166		306	225	0	#216
1167		156	307	0	#217
1168		287	0	0	#218
1169		105	166	0	#219
117		275	240	0	#220
1170		162	293	0	#221
1171		15	298	0	#222
1172		14	293	0	#223
1173		1	65	0	#224
1174		146	2	0	#225
1175		187	305	0	#226
