dot_name,nodes,edges,g_input,g_output,io,utilization,in_degree_avg,out_degree_avg,is_DAG,average_shortest_path_length,dag_longest_path_length,degree_assortativity_coefficient
d_4_w_f_4_q_False_arg_False_style_equation,7364,21747,6,26,1954,3.04%,2.9531504617055946,2.9531504617055946,True,None,21,-0.25895352781508835
d_4_w_f_4_q_False_arg_False_style_mux,6056,16629,6,19,1954,2.51%,2.745871862615588,2.745871862615588,True,None,19,-0.12886134210529715
d_4_w_f_4_q_False_arg_True_style_equation,7648,23391,6,27,1888,3.40%,3.0584466527196654,3.0584466527196654,True,None,29,-0.20529761770173074
d_4_w_f_4_q_False_arg_True_style_mux,6309,18216,6,20,1888,2.80%,2.8873038516405134,2.8873038516405134,True,None,27,-0.05737095612647639
d_4_w_f_4_q_True_arg_False_style_equation,25319,85884,6,22,3892,2.66%,3.3920770962518265,3.3920770962518265,True,None,28,-0.13571276075711702
d_4_w_f_4_q_True_arg_False_style_mux,23757,81635,6,15,3892,2.50%,3.436250368312497,3.436250368312497,True,None,26,-0.17717366352535668
d_4_w_f_4_q_True_arg_True_style_equation,25580,87394,6,23,3826,2.78%,3.4164972634870994,3.4164972634870994,True,None,36,-0.12051278733879611
d_4_w_f_4_q_True_arg_True_style_mux,23974,82959,6,18,3826,2.60%,3.460373738216401,3.460373738216401,True,None,34,-0.14082940729248958
d_5_w_f_4_q_False_arg_False_style_equation,10738,36648,6,42,2052,4.03%,3.4129260569938538,3.4129260569938538,True,None,22,-0.3040509057558802
d_5_w_f_4_q_False_arg_False_style_mux,8042,25190,6,20,2052,3.02%,3.132305396667496,3.132305396667496,True,None,20,-0.25680489147890684
d_5_w_f_4_q_False_arg_True_style_equation,11042,38386,6,42,1986,4.42%,3.4763629777214273,3.4763629777214273,True,None,29,-0.2785999539326078
d_5_w_f_4_q_False_arg_True_style_mux,8371,26857,6,20,1986,3.35%,3.2083383108350256,3.2083383108350256,True,None,29,-0.1929282180506897
d_5_w_f_4_q_True_arg_False_style_equation,30223,101970,6,35,4072,2.90%,3.373920524104159,3.373920524104159,True,None,29,-0.04841941651727469
d_5_w_f_4_q_True_arg_False_style_mux,26976,92782,6,18,4072,2.59%,3.4394276393831555,3.4394276393831555,True,None,27,-0.08130872770278091
d_5_w_f_4_q_True_arg_True_style_equation,30539,103655,6,40,4006,3.02%,3.394184485412096,3.394184485412096,True,None,38,-0.04327766599560578
d_5_w_f_4_q_True_arg_True_style_mux,27244,94445,6,18,4006,2.70%,3.466634855381001,3.466634855381001,True,None,34,-0.07425175524585499
