Netlist file: ../../benchmarks/fpga/net_TRETS/apex2_k6.net   Architecture file: arch/k6-n1.xml
Array size: 90 x 90 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		0	63	0	#0
i_10_		58	91	0	#1
i_11_		59	91	0	#2
i_12_		36	91	0	#3
i_13_		43	91	0	#4
i_14_		0	61	0	#5
i_16_		32	91	0	#6
i_17_		30	91	0	#7
i_18_		57	91	0	#8
i_19_		54	91	0	#9
i_1_		28	91	0	#10
i_20_		0	59	0	#11
i_21_		29	91	0	#12
i_22_		53	91	0	#13
i_23_		34	91	0	#14
i_24_		47	91	0	#15
i_25_		52	91	0	#16
i_26_		51	91	0	#17
i_27_		21	91	0	#18
i_28_		37	91	0	#19
i_29_		45	91	0	#20
i_2_		41	91	0	#21
i_30_		27	91	0	#22
i_31_		44	91	0	#23
i_32_		33	91	0	#24
i_33_		49	91	0	#25
i_34_		46	91	0	#26
i_35_		48	91	0	#27
i_36_		31	91	0	#28
i_37_		26	91	0	#29
i_38_		50	91	0	#30
i_3_		56	91	0	#31
i_4_		42	91	0	#32
i_5_		39	91	0	#33
i_6_		40	91	0	#34
i_7_		38	91	0	#35
i_8_		35	91	0	#36
i_9_		55	91	0	#37
new_n1000_	35	47	0	#38
new_n1001_	34	52	0	#39
new_n1002_	32	69	0	#40
new_n1003_	36	49	0	#41
out_new_n1004_:new_n1012_	0	11	0	#42
out_new_n1004_:new_n1014_	42	0	0	#43
out_new_n1004_:new_n1020_	0	35	0	#44
out_new_n1004_:new_n1023_	45	0	0	#45
out_new_n1005_:new_n125_	8	0	0	#46
out_new_n1005_:new_n1010_	54	0	0	#47
out_new_n1005_:new_n1006_	80	91	0	#48
out_new_n1005_:new_n1008_	61	0	0	#49
out_new_n1005_:new_n1007_	91	51	0	#50
new_n1006_	43	72	0	#51
new_n1007_	53	51	0	#52
new_n1008_	48	35	0	#53
new_n1009_	47	49	0	#54
out_new_n100_:new_n102_	0	22	0	#55
new_n1010_	43	30	0	#56
new_n1011_	43	39	0	#57
new_n1012_	30	11	0	#58
new_n1013_	33	70	0	#59
new_n1014_	41	39	0	#60
new_n1015_	42	40	0	#61
new_n1016_	39	39	0	#62
new_n1017_	41	38	0	#63
new_n1018_	41	40	0	#64
new_n1019_	42	57	0	#65
new_n101_	9	47	0	#66
new_n1020_	33	36	0	#67
new_n1021_	34	29	0	#68
new_n1022_	34	36	0	#69
new_n1023_	44	27	0	#70
new_n1024_	44	26	0	#71
new_n1025_	45	28	0	#72
new_n1026_	44	28	0	#73
new_n1027_	37	49	0	#74
new_n1028_	38	49	0	#75
new_n1029_	38	48	0	#76
new_n102_	27	46	0	#77
new_n1030_	37	50	0	#78
new_n1031_	38	50	0	#79
new_n1032_	38	51	0	#80
new_n1033_	38	52	0	#81
new_n1034_	37	48	0	#82
new_n1035_	35	63	0	#83
new_n1036_	36	48	0	#84
out_new_n1037_:i_31_	73	0	0	#85
out_new_n1037_:new_n156_	0	65	0	#86
out_new_n1037_:new_n346_	0	41	0	#87
out_new_n1037_:new_n908_	0	47	0	#88
out_new_n1037_:new_n985_	38	0	0	#89
new_n1038_	36	55	0	#90
new_n1039_	36	58	0	#91
new_n103_	27	62	0	#92
new_n1040_	37	47	0	#93
new_n1041_	40	48	0	#94
new_n1042_	38	46	0	#95
new_n1043_	36	47	0	#96
new_n1044_	39	47	0	#97
new_n1045_	41	45	0	#98
new_n1046_	39	46	0	#99
new_n1047_	38	47	0	#100
new_n1048_	39	53	0	#101
new_n1049_	34	48	0	#102
new_n104_	30	52	0	#103
new_n1050_	36	59	0	#104
new_n1051_	37	53	0	#105
new_n1052_	37	54	0	#106
new_n1053_	39	54	0	#107
new_n1054_	41	54	0	#108
new_n1055_	38	53	0	#109
new_n1056_	36	46	0	#110
new_n1057_	32	40	0	#111
new_n1058_	41	55	0	#112
new_n1059_	39	55	0	#113
new_n105_	35	59	0	#114
new_n1060_	41	56	0	#115
new_n1061_	43	55	0	#116
new_n1062_	36	44	0	#117
new_n106_	26	46	0	#118
new_n107_	26	45	0	#119
new_n108_	28	52	0	#120
new_n109_	27	56	0	#121
new_n110_	28	57	0	#122
new_n111_	40	74	0	#123
out_new_n112_:new_n60_	0	4	0	#124
out_new_n112_:new_n102_	0	23	0	#125
out_new_n112_:new_n113_	33	0	0	#126
new_n113_	42	65	0	#127
new_n114_	42	62	0	#128
new_n115_	26	48	0	#129
new_n116_	31	72	0	#130
new_n117_	26	59	0	#131
new_n118_	25	57	0	#132
new_n119_	30	54	0	#133
new_n120_	32	56	0	#134
new_n121_	35	57	0	#135
new_n122_	38	59	0	#136
new_n123_	38	57	0	#137
out_new_n124_:i_2_	91	90	0	#138
out_new_n124_:i_3_	1	91	0	#139
new_n125_	30	65	0	#140
new_n126_	46	55	0	#141
new_n127_	30	51	0	#142
out_new_n128_:new_n154_	0	57	0	#143
out_new_n128_:new_n148_	91	64	0	#144
out_new_n128_:new_n129_	26	0	0	#145
out_new_n128_:new_n132_	91	52	0	#146
new_n129_	26	1	0	#147
new_n130_	27	32	0	#148
new_n131_	27	1	0	#149
new_n132_	41	52	0	#150
new_n133_	37	55	0	#151
new_n134_	47	60	0	#152
new_n135_	38	68	0	#153
new_n136_	37	56	0	#154
new_n137_	41	63	0	#155
new_n138_	42	52	0	#156
new_n139_	40	56	0	#157
new_n140_	39	57	0	#158
new_n141_	42	47	0	#159
new_n142_	44	42	0	#160
new_n143_	41	50	0	#161
new_n144_	41	49	0	#162
new_n145_	45	50	0	#163
new_n146_	46	67	0	#164
new_n147_	41	53	0	#165
new_n148_	31	64	0	#166
new_n149_	31	65	0	#167
new_n150_	32	71	0	#168
new_n151_	31	71	0	#169
new_n152_	33	67	0	#170
new_n153_	30	64	0	#171
new_n154_	25	52	0	#172
new_n155_	28	50	0	#173
new_n156_	36	61	0	#174
new_n157_	31	61	0	#175
out_new_n158_:i_37_	2	0	0	#176
out_new_n158_:i_32_	23	91	0	#177
out_new_n158_:new_n101_	0	15	0	#178
out_new_n158_:new_n111_	0	74	0	#179
new_n159_	27	59	0	#180
new_n160_	30	48	0	#181
new_n161_	31	47	0	#182
new_n162_	32	47	0	#183
new_n163_	36	57	0	#184
new_n164_	25	59	0	#185
new_n165_	36	72	0	#186
new_n166_	43	47	0	#187
new_n167_	30	57	0	#188
new_n168_	29	55	0	#189
new_n169_	30	50	0	#190
new_n170_	31	50	0	#191
new_n171_	28	49	0	#192
new_n172_	48	49	0	#193
new_n173_	36	53	0	#194
new_n174_	31	70	0	#195
out_new_n175_:i_6_	10	91	0	#196
out_new_n175_:i_8_	2	91	0	#197
out_new_n175_:i_5_	8	91	0	#198
new_n176_	33	69	0	#199
new_n177_	33	71	0	#200
new_n178_	33	57	0	#201
new_n179_	32	52	0	#202
out_new_n180_:i_7_	91	20	0	#203
out_new_n180_:new_n183_	0	68	0	#204
out_new_n180_:new_n181_	91	39	0	#205
new_n181_	47	39	0	#206
new_n182_	43	61	0	#207
new_n183_	30	68	0	#208
new_n184_	35	53	0	#209
out_new_n185_:i_28_	91	87	0	#210
out_new_n185_:i_24_	75	91	0	#211
out_new_n185_:i_23_	88	0	0	#212
out_new_n185_:i_33_	65	0	0	#213
out_new_n185_:i_34_	64	91	0	#214
new_n186_	40	52	0	#215
new_n187_	40	67	0	#216
new_n188_	31	59	0	#217
new_n189_	34	59	0	#218
new_n190_	32	64	0	#219
new_n191_	48	65	0	#220
new_n192_	36	62	0	#221
new_n193_	35	73	0	#222
new_n194_	36	71	0	#223
new_n195_	31	60	0	#224
new_n196_	31	67	0	#225
new_n197_	33	72	0	#226
out_new_n198_:new_n91_	0	19	0	#227
out_new_n198_:new_n165_	13	91	0	#228
out_new_n198_:new_n193_	79	91	0	#229
new_n199_	31	62	0	#230
new_n200_	32	68	0	#231
new_n201_	31	58	0	#232
new_n202_	30	61	0	#233
new_n203_	44	68	0	#234
new_n204_	27	43	0	#235
new_n205_	40	66	0	#236
new_n206_	40	65	0	#237
new_n207_	44	73	0	#238
new_n208_	42	66	0	#239
new_n209_	30	59	0	#240
new_n210_	32	58	0	#241
new_n211_	44	53	0	#242
out_new_n212_:i_24_	76	91	0	#243
out_new_n212_:i_23_	84	0	0	#244
out_new_n212_:new_n172_	70	0	0	#245
out_new_n212_:new_n213_	76	0	0	#246
new_n213_	48	47	0	#247
new_n214_	30	60	0	#248
new_n215_	31	69	0	#249
new_n216_	25	54	0	#250
new_n217_	29	52	0	#251
new_n218_	29	54	0	#252
new_n219_	39	68	0	#253
new_n220_	31	52	0	#254
new_n221_	43	57	0	#255
new_n222_	28	48	0	#256
new_n223_	28	45	0	#257
new_n224_	26	54	0	#258
new_n225_	28	54	0	#259
new_n226_	27	45	0	#260
new_n227_	30	38	0	#261
new_n228_	31	48	0	#262
new_n229_	32	37	0	#263
new_n230_	32	36	0	#264
new_n231_	40	51	0	#265
new_n232_	32	48	0	#266
new_n233_	33	37	0	#267
new_n234_	40	72	0	#268
new_n235_	33	64	0	#269
new_n236_	36	56	0	#270
new_n237_	32	65	0	#271
new_n238_	36	73	0	#272
new_n239_	31	45	0	#273
out_new_n240_:new_n245_	0	42	0	#274
out_new_n240_:new_n248_	0	50	0	#275
out_new_n240_:new_n250_	0	86	0	#276
out_new_n240_:new_n241_	91	43	0	#277
out_new_n240_:new_n243_	91	59	0	#278
new_n241_	40	44	0	#279
new_n242_	40	50	0	#280
new_n243_	30	58	0	#281
new_n244_	28	58	0	#282
new_n245_	33	45	0	#283
new_n246_	33	41	0	#284
new_n247_	33	68	0	#285
new_n248_	31	49	0	#286
new_n249_	34	49	0	#287
new_n250_	29	69	0	#288
new_n251_	32	54	0	#289
new_n252_	33	55	0	#290
new_n253_	34	55	0	#291
new_n254_	42	68	0	#292
new_n255_	32	57	0	#293
new_n256_	34	58	0	#294
new_n257_	43	73	0	#295
new_n258_	33	58	0	#296
new_n259_	33	66	0	#297
new_n260_	35	68	0	#298
out_new_n261_:new_n262_	91	9	0	#299
new_n262_	42	44	0	#300
new_n263_	31	54	0	#301
new_n264_	33	53	0	#302
new_n265_	31	53	0	#303
new_n266_	31	42	0	#304
new_n267_	30	41	0	#305
out_new_n268_:i_20_	0	10	0	#306
out_new_n268_:i_7_	91	22	0	#307
out_new_n268_:new_n105_	4	0	0	#308
out_new_n268_:new_n269_	0	71	0	#309
new_n269_	34	63	0	#310
new_n270_	43	53	0	#311
new_n271_	31	44	0	#312
new_n272_	30	44	0	#313
new_n273_	33	33	0	#314
new_n274_	41	70	0	#315
new_n275_	33	46	0	#316
new_n276_	33	47	0	#317
new_n277_	33	48	0	#318
new_n278_	44	49	0	#319
new_n279_	39	49	0	#320
new_n280_	41	72	0	#321
new_n281_	29	46	0	#322
new_n282_	35	49	0	#323
new_n283_	39	50	0	#324
new_n284_	39	72	0	#325
new_n285_	39	73	0	#326
new_n286_	41	73	0	#327
new_n287_	35	40	0	#328
new_n288_	37	72	0	#329
new_n289_	35	71	0	#330
new_n290_	40	49	0	#331
new_n291_	29	47	0	#332
new_n292_	31	46	0	#333
out_new_n293_:new_n61_	91	14	0	#334
out_new_n293_:new_n87_	14	0	0	#335
out_new_n293_:i_3_	0	90	0	#336
out_new_n293_:new_n204_	0	39	0	#337
out_new_n293_:new_n294_	82	0	0	#338
new_n294_	47	63	0	#339
new_n295_	29	41	0	#340
new_n296_	30	42	0	#341
new_n297_	30	39	0	#342
new_n298_	27	61	0	#343
out_new_n299_:new_n69_	0	72	0	#344
out_new_n299_:new_n87_	13	0	0	#345
out_new_n299_:new_n103_	0	62	0	#346
out_new_n299_:i_9_	22	91	0	#347
out_new_n299_:new_n300_	91	17	0	#348
new_n300_	47	59	0	#349
new_n301_	26	62	0	#350
new_n302_	26	65	0	#351
new_n303_	26	63	0	#352
new_n304_	28	62	0	#353
new_n305_	37	71	0	#354
new_n306_	29	44	0	#355
new_n307_	31	68	0	#356
new_n308_	30	55	0	#357
out_new_n309_:new_n312_	91	53	0	#358
out_new_n309_:new_n314_	91	40	0	#359
out_new_n309_:new_n330_	0	56	0	#360
out_new_n309_:new_n333_	39	0	0	#361
out_new_n309_:new_n310_	0	60	0	#362
new_n310_	26	55	0	#363
new_n311_	28	55	0	#364
new_n312_	36	52	0	#365
out_new_n313_:i_34_	0	38	0	#366
out_new_n313_:new_n123_	11	0	0	#367
out_new_n313_:i_25_	63	91	0	#368
out_new_n313_:i_21_	62	91	0	#369
