Netlist file: ../../benchmarks/fpga/net_TRETS/misex3_k6.net   Architecture file: arch/k6-n1.xml
Array size: 76 x 76 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
a		45	0	0	#0
b		44	0	0	#1
c		43	0	0	#2
d		40	0	0	#3
e		41	0	0	#4
f		35	0	0	#5
g		39	0	0	#6
h		42	0	0	#7
out_h2:new_n522_	37	77	0	#8
out_h2:new_n527_	41	77	0	#9
out_h2:new_n529_	33	77	0	#10
out_h2:new_n531_	47	0	0	#11
out_h2:new_n538_	0	24	0	#12
i		37	0	0	#13
out_i2:new_n567_	42	77	0	#14
out_i2:new_n569_	38	77	0	#15
out_i2:new_n587_	0	15	0	#16
out_i2:new_n590_	77	31	0	#17
j		32	0	0	#18
out_j2:new_n484_	15	0	0	#19
out_j2:new_n496_	0	4	0	#20
out_j2:new_n499_	31	77	0	#21
out_j2:new_n472_	0	17	0	#22
k		34	0	0	#23
out_k2:new_n496_	0	5	0	#24
out_k2:new_n513_	0	19	0	#25
out_k2:new_n514_	0	12	0	#26
out_k2:new_n512_	9	0	0	#27
out_k2:new_n505_	0	8	0	#28
l		33	0	0	#29
out_l2:new_n712_	0	16	0	#30
out_l2:new_n742_	23	0	0	#31
out_l2:new_n794_	77	11	0	#32
out_l2:new_n824_	0	7	0	#33
m		36	0	0	#34
out_m2:new_n472_	0	18	0	#35
out_m2:new_n505_	0	9	0	#36
out_m2:new_n544_	0	26	0	#37
out_m2:new_n561_	2	0	0	#38
out_m2:new_n873_	16	0	0	#39
n		38	0	0	#40
out_n2:new_n601_	77	8	0	#41
out_n2:new_n603_	49	0	0	#42
out_n2:new_n617_	77	17	0	#43
new_n100_	33	17	0	#44
new_n101_	34	12	0	#45
new_n102_	41	19	0	#46
new_n103_	40	19	0	#47
new_n104_	39	19	0	#48
new_n105_	38	4	0	#49
new_n106_	37	2	0	#50
new_n107_	39	12	0	#51
new_n108_	36	1	0	#52
new_n109_	41	20	0	#53
new_n110_	40	21	0	#54
new_n111_	49	24	0	#55
new_n112_	45	11	0	#56
out_new_n113_:m	0	14	0	#57
out_new_n113_:l	77	68	0	#58
out_new_n113_:n	0	29	0	#59
out_new_n113_:i	77	1	0	#60
out_new_n113_:k	4	77	0	#61
new_n114_	40	18	0	#62
new_n115_	29	22	0	#63
new_n116_	38	9	0	#64
new_n117_	41	22	0	#65
out_new_n118_:g	25	77	0	#66
out_new_n118_:new_n55_	0	41	0	#67
out_new_n118_:new_n119_	0	54	0	#68
out_new_n118_:new_n123_	77	55	0	#69
out_new_n118_:new_n121_	24	77	0	#70
new_n119_	32	19	0	#71
new_n120_	33	15	0	#72
new_n121_	25	16	0	#73
new_n122_	35	3	0	#74
new_n123_	50	22	0	#75
new_n124_	40	23	0	#76
new_n125_	37	22	0	#77
new_n126_	37	21	0	#78
new_n127_	40	10	0	#79
out_new_n128_:m	0	58	0	#80
out_new_n128_:l	77	74	0	#81
out_new_n128_:i	74	77	0	#82
new_n129_	41	7	0	#83
new_n130_	42	22	0	#84
new_n131_	38	16	0	#85
new_n132_	43	11	0	#86
new_n133_	43	2	0	#87
new_n134_	42	23	0	#88
new_n135_	42	14	0	#89
new_n136_	42	19	0	#90
new_n137_	35	18	0	#91
new_n138_	44	16	0	#92
new_n139_	45	12	0	#93
new_n140_	42	20	0	#94
out_new_n141_:h	68	77	0	#95
new_n142_	35	20	0	#96
new_n143_	39	20	0	#97
new_n144_	38	19	0	#98
new_n145_	38	14	0	#99
new_n146_	37	12	0	#100
new_n147_	35	25	0	#101
new_n148_	34	16	0	#102
new_n149_	35	2	0	#103
new_n150_	35	24	0	#104
out_new_n152_:new_n165_	77	56	0	#105
out_new_n152_:new_n166_	0	61	0	#106
out_new_n152_:new_n163_	77	41	0	#107
out_new_n152_:new_n158_	27	0	0	#108
out_new_n152_:new_n153_	51	77	0	#109
new_n153_	50	20	0	#110
new_n154_	34	29	0	#111
new_n155_	32	20	0	#112
new_n156_	46	1	0	#113
new_n157_	44	17	0	#114
new_n158_	28	19	0	#115
new_n159_	33	22	0	#116
new_n160_	34	24	0	#117
new_n161_	28	20	0	#118
new_n162_	34	14	0	#119
new_n163_	45	14	0	#120
new_n164_	44	10	0	#121
new_n165_	43	21	0	#122
new_n166_	41	23	0	#123
new_n167_	50	15	0	#124
new_n168_	38	18	0	#125
new_n169_	37	19	0	#126
new_n170_	38	8	0	#127
new_n171_	38	24	0	#128
new_n172_	38	23	0	#129
new_n173_	38	2	0	#130
new_n174_	50	1	0	#131
new_n175_	33	26	0	#132
new_n176_	34	19	0	#133
new_n177_	36	18	0	#134
new_n178_	40	20	0	#135
new_n179_	39	24	0	#136
new_n180_	47	11	0	#137
new_n181_	43	22	0	#138
new_n182_	39	11	0	#139
new_n183_	31	23	0	#140
new_n184_	33	20	0	#141
new_n185_	40	13	0	#142
out_new_n186_:new_n135_	77	57	0	#143
out_new_n186_:new_n166_	0	62	0	#144
out_new_n186_:new_n170_	0	13	0	#145
new_n187_	36	22	0	#146
out_new_n188_:new_n197_	0	45	0	#147
out_new_n188_:new_n195_	0	39	0	#148
out_new_n188_:new_n189_	28	77	0	#149
out_new_n188_:new_n193_	36	77	0	#150
out_new_n188_:new_n190_	0	27	0	#151
new_n189_	30	20	0	#152
