Netlist file: ../../benchmarks/fpga/net_TRETS/spla_k6.net   Architecture file: arch/k6-n1.xml
Array size: 177 x 177 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		72	0	0	#0
i_10_		0	74	0	#1
i_11_		0	72	0	#2
i_12_		0	79	0	#3
i_13_		0	80	0	#4
i_14_		0	81	0	#5
i_15_		0	78	0	#6
i_1_		70	0	0	#7
i_2_		69	0	0	#8
i_3_		74	0	0	#9
i_4_		71	0	0	#10
i_5_		73	0	0	#11
i_6_		68	0	0	#12
i_7_		67	0	0	#13
i_8_		66	0	0	#14
i_9_		0	70	0	#15
new_n1000_	43	18	0	#16
new_n1001_	59	89	0	#17
new_n1002_	60	84	0	#18
new_n1003_	60	83	0	#19
new_n1004_	59	72	0	#20
new_n1005_	61	72	0	#21
new_n1006_	57	88	0	#22
new_n1007_	56	88	0	#23
new_n1008_	58	88	0	#24
new_n1009_	46	67	0	#25
new_n100_	96	2	0	#26
new_n1010_	62	87	0	#27
out_new_n1011_:new_n201_	178	87	0	#28
out_new_n1011_:new_n1019_	178	86	0	#29
out_new_n1011_:new_n1012_	178	70	0	#30
out_new_n1011_:new_n1022_	178	103	0	#31
out_new_n1011_:new_n1017_	178	53	0	#32
new_n1012_	69	71	0	#33
new_n1013_	67	74	0	#34
new_n1014_	69	70	0	#35
new_n1015_	68	62	0	#36
new_n1016_	57	61	0	#37
new_n1017_	70	53	0	#38
new_n1018_	69	53	0	#39
new_n1019_	71	85	0	#40
new_n101_	96	1	0	#41
new_n1020_	69	63	0	#42
new_n1021_	67	63	0	#43
new_n1022_	61	96	0	#44
new_n1023_	61	85	0	#45
new_n1024_	66	88	0	#46
new_n1025_	65	88	0	#47
new_n1026_	64	87	0	#48
new_n1027_	64	88	0	#49
new_n1028_	64	89	0	#50
new_n1029_	61	86	0	#51
new_n102_	97	1	0	#52
new_n1030_	62	86	0	#53
new_n1031_	61	77	0	#54
new_n1032_	61	90	0	#55
new_n1033_	62	90	0	#56
new_n1034_	58	89	0	#57
new_n1036_	92	2	0	#58
out_new_n1037_:new_n79_	178	157	0	#59
out_new_n1037_:i_15_	178	160	0	#60
out_new_n1037_:new_n114_	178	2	0	#61
out_new_n1037_:new_n109_	165	0	0	#62
out_new_n1037_:new_n439_	94	178	0	#63
new_n1038_	92	3	0	#64
new_n1039_	92	1	0	#65
new_n103_	102	2	0	#66
new_n1040_	91	1	0	#67
new_n1041_	92	4	0	#68
new_n1043_	48	95	0	#69
out_new_n1044_:new_n228_	22	178	0	#70
out_new_n1044_:new_n459_	0	171	0	#71
out_new_n1044_:new_n1048_	15	178	0	#72
out_new_n1044_:new_n1047_	0	124	0	#73
out_new_n1044_:new_n1046_	100	178	0	#74
out_new_n1045_:new_n410_	0	123	0	#75
out_new_n1045_:new_n937_	0	159	0	#76
new_n1046_	63	86	0	#77
new_n1047_	47	95	0	#78
new_n1048_	36	59	0	#79
new_n1049_	46	93	0	#80
new_n104_	96	3	0	#81
new_n1050_	48	88	0	#82
new_n1051_	46	88	0	#83
new_n1052_	40	61	0	#84
new_n1053_	38	86	0	#85
new_n1054_	60	95	0	#86
new_n1055_	72	92	0	#87
new_n1056_	72	84	0	#88
new_n1057_	60	94	0	#89
new_n1058_	62	96	0	#90
new_n1059_	56	97	0	#91
new_n105_	101	3	0	#92
new_n1060_	64	96	0	#93
new_n1061_	64	97	0	#94
new_n1062_	48	93	0	#95
new_n1063_	48	94	0	#96
new_n1064_	78	81	0	#97
new_n1065_	76	82	0	#98
new_n1066_	78	80	0	#99
new_n1067_	88	1	0	#100
new_n1069_	74	89	0	#101
new_n106_	100	3	0	#102
new_n1070_	66	90	0	#103
new_n1071_	62	91	0	#104
new_n1072_	60	86	0	#105
new_n1073_	37	71	0	#106
new_n1074_	74	82	0	#107
new_n1075_	73	82	0	#108
new_n1076_	76	81	0	#109
new_n1077_	60	80	0	#110
new_n1078_	51	59	0	#111
new_n1079_	75	75	0	#112
new_n1080_	69	88	0	#113
new_n1081_	67	87	0	#114
new_n1082_	68	86	0	#115
new_n1083_	39	48	0	#116
new_n1084_	64	78	0	#117
new_n1085_	46	77	0	#118
new_n1086_	66	78	0	#119
new_n1087_	39	72	0	#120
new_n1088_	68	87	0	#121
new_n1089_	68	88	0	#122
new_n108_	93	1	0	#123
new_n1090_	67	77	0	#124
new_n1091_	58	84	0	#125
new_n1092_	56	78	0	#126
new_n1093_	55	75	0	#127
new_n1094_	65	78	0	#128
new_n1095_	37	77	0	#129
out_new_n1096_:new_n188_	7	0	0	#130
out_new_n1096_:new_n1099_	0	160	0	#131
out_new_n1096_:new_n1100_	178	111	0	#132
new_n1097_	15	60	0	#133
new_n1098_	31	60	0	#134
new_n1099_	35	75	0	#135
new_n109_	113	1	0	#136
new_n1100_	45	91	0	#137
new_n1101_	75	89	0	#138
new_n1102_	33	71	0	#139
new_n1103_	35	70	0	#140
new_n1104_	35	65	0	#141
new_n1105_	43	64	0	#142
new_n1106_	37	65	0	#143
new_n1107_	37	70	0	#144
new_n1108_	35	61	0	#145
new_n1109_	35	64	0	#146
new_n110_	98	1	0	#147
new_n1110_	35	60	0	#148
new_n1111_	177	99	0	#149
new_n1112_	77	78	0	#150
new_n1113_	77	87	0	#151
new_n1114_	75	87	0	#152
new_n1116_	85	20	0	#153
new_n1117_	71	2	0	#154
new_n1119_	47	80	0	#155
new_n111_	73	1	0	#156
new_n1120_	47	75	0	#157
new_n1121_	39	50	0	#158
new_n1122_	48	80	0	#159
new_n1123_	54	80	0	#160
new_n1124_	50	80	0	#161
new_n1125_	52	42	0	#162
new_n1126_	52	44	0	#163
