Netlist file: ../../benchmarks/fpga/net_TRETS//alu4_k4.net   Architecture file: arch/k4-n1.xml
Array size: 125 x 125 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		0	14	0	#0
i_10_		32	126	0	#1
i_11_		0	17	0	#2
i_12_		30	126	0	#3
i_13_		0	22	0	#4
i_1_		0	11	0	#5
i_2_		0	18	0	#6
i_3_		38	126	0	#7
i_4_		35	126	0	#8
i_5_		126	16	0	#9
i_6_		39	0	0	#10
i_7_		31	126	0	#11
i_8_		33	126	0	#12
i_9_		36	126	0	#13
new_n1000_	44	5	0	#14
new_n1001_	21	2	0	#15
new_n1002_	21	3	0	#16
new_n1003_	23	3	0	#17
new_n1004_	79	2	0	#18
new_n1005_	23	20	0	#19
out_new_n1006_:new_n1007_	126	68	0	#20
out_new_n1006_:new_n1008_	82	0	0	#21
new_n1007_	120	25	0	#22
new_n1008_	81	2	0	#23
new_n1009_	25	20	0	#24
new_n100_	27	22	0	#25
new_n1010_	21	8	0	#26
new_n1011_	27	20	0	#27
new_n1012_	28	20	0	#28
new_n1013_	26	21	0	#29
new_n1014_	22	19	0	#30
new_n1015_	4	5	0	#31
new_n1016_	1	2	0	#32
new_n1017_	4	2	0	#33
new_n1018_	23	18	0	#34
new_n1019_	35	19	0	#35
new_n101_	19	3	0	#36
new_n1020_	35	20	0	#37
out_new_n1021_:i_11_	126	47	0	#38
out_new_n1021_:new_n120_	126	29	0	#39
new_n1022_	37	13	0	#40
new_n1023_	40	14	0	#41
out_new_n1024_:new_n36_	0	47	0	#42
out_new_n1024_:new_n507_	94	0	0	#43
out_new_n1024_:new_n1025_	90	0	0	#44
new_n1025_	85	1	0	#45
new_n1026_	38	14	0	#46
new_n1027_	36	19	0	#47
new_n1028_	40	13	0	#48
new_n1029_	78	2	0	#49
new_n102_	6	4	0	#50
new_n1030_	39	15	0	#51
new_n1031_	39	17	0	#52
new_n1032_	40	11	0	#53
new_n1033_	42	11	0	#54
new_n1034_	12	6	0	#55
new_n1035_	33	22	0	#56
out_new_n1036_:new_n950_	57	126	0	#57
out_new_n1036_:new_n1037_	0	55	0	#58
out_new_n1036_:new_n1038_	0	89	0	#59
new_n1037_	1	8	0	#60
new_n1038_	23	22	0	#61
new_n1039_	35	21	0	#62
new_n103_	5	4	0	#63
out_new_n1040_:i_1_	126	92	0	#64
new_n1041_	31	21	0	#65
new_n1042_	27	21	0	#66
new_n1043_	29	21	0	#67
new_n1044_	29	22	0	#68
new_n1045_	28	21	0	#69
new_n1046_	27	23	0	#70
out_new_n1047_:new_n50_	54	126	0	#71
out_new_n1047_:i_1_	126	90	0	#72
out_new_n1047_:new_n336_	126	81	0	#73
new_n1048_	25	7	0	#74
out_new_n1049_:new_n145_	85	126	0	#75
out_new_n1049_:new_n771_	126	77	0	#76
new_n104_	45	6	0	#77
out_new_n1050_:new_n890_	126	42	0	#78
out_new_n1050_:new_n904_	126	50	0	#79
new_n1051_	23	7	0	#80
new_n1052_	21	7	0	#81
out_new_n1053_:i_0_	126	115	0	#82
out_new_n1053_:i_2_	126	106	0	#83
out_new_n1053_:new_n91_	70	0	0	#84
out_new_n1054_:i_8_	91	126	0	#85
out_new_n1054_:new_n214_	0	29	0	#86
out_new_n1054_:new_n1015_	0	113	0	#87
new_n1055_	25	6	0	#88
new_n1056_	24	7	0	#89
new_n1057_	24	5	0	#90
new_n1058_	24	6	0	#91
new_n1059_	24	4	0	#92
new_n105_	7	5	0	#93
new_n1060_	25	5	0	#94
out_new_n1061_:new_n265_	73	0	0	#95
out_new_n1061_:new_n416_	0	9	0	#96
out_new_n1061_:new_n778_	11	0	0	#97
new_n1062_	25	9	0	#98
new_n1063_	35	7	0	#99
out_new_n1064_:new_n1076_	113	0	0	#100
out_new_n1064_:new_n1069_	14	126	0	#101
out_new_n1064_:new_n1065_	9	0	0	#102
new_n1065_	9	1	0	#103
new_n1066_	11	1	0	#104
new_n1067_	10	1	0	#105
new_n1068_	8	2	0	#106
new_n1069_	15	21	0	#107
new_n106_	9	4	0	#108
new_n1070_	15	18	0	#109
new_n1071_	68	37	0	#110
new_n1072_	17	18	0	#111
new_n1073_	21	22	0	#112
new_n1074_	15	13	0	#113
new_n1075_	45	8	0	#114
new_n1076_	113	1	0	#115
new_n1077_	77	1	0	#116
new_n1078_	35	9	0	#117
out_new_n1079_:new_n1082_	111	0	0	#118
out_new_n1079_:new_n1081_	0	65	0	#119
out_new_n1079_:new_n1080_	126	7	0	#120
new_n107_	8	3	0	#121
new_n1080_	122	7	0	#122
new_n1081_	5	5	0	#123
new_n1082_	111	1	0	#124
new_n1083_	33	10	0	#125
new_n1084_	33	13	0	#126
new_n1085_	33	9	0	#127
new_n1086_	31	12	0	#128
new_n1087_	32	9	0	#129
new_n1088_	44	9	0	#130
new_n1089_	43	10	0	#131
out_new_n108_:new_n41_	0	117	0	#132
out_new_n108_:new_n110_	0	97	0	#133
out_new_n108_:new_n109_	61	126	0	#134
new_n1090_	46	9	0	#135
new_n1091_	103	2	0	#136
new_n1092_	41	3	0	#137
new_n1093_	42	2	0	#138
new_n1094_	49	3	0	#139
out_new_n1095_:new_n985_	52	126	0	#140
out_new_n1095_:new_n1071_	69	126	0	#141
out_new_n1095_:new_n1091_	126	17	0	#142
new_n1096_	51	3	0	#143
new_n1097_	33	3	0	#144
out_new_n1098_:new_n631_	126	4	0	#145
new_n1099_	35	6	0	#146
new_n109_	42	13	0	#147
out_new_n1100_:i_7_	120	126	0	#148
out_new_n1100_:i_5_	126	124	0	#149
out_new_n1100_:new_n1101_	0	114	0	#150
new_n1101_	6	5	0	#151
out_new_n1102_:new_n744_	50	0	0	#152
out_new_n1102_:new_n745_	30	0	0	#153
new_n1103_	35	5	0	#154
new_n1104_	37	5	0	#155
new_n1105_	37	6	0	#156
new_n1106_	33	5	0	#157
new_n1107_	21	6	0	#158
out_new_n1108_:i_4_	92	126	0	#159
out_new_n1108_:new_n211_	1	126	0	#160
out_new_n1108_:new_n851_	3	0	0	#161
new_n1109_	29	8	0	#162
new_n110_	17	20	0	#163
out_new_n1110_:new_n1113_	0	30	0	#164
out_new_n1110_:new_n1115_	78	0	0	#165
out_new_n1110_:new_n1118_	66	0	0	#166
out_new_n1111_:i_0_	126	112	0	#167
out_new_n1111_:new_n936_	4	0	0	#168
out_new_n1111_:new_n1112_	0	82	0	#169
new_n1112_	25	21	0	#170
new_n1113_	32	23	0	#171
new_n1114_	34	23	0	#172
new_n1115_	78	1	0	#173
new_n1116_	76	2	0	#174
out_new_n1117_:i_7_	117	126	0	#175
out_new_n1117_:i_5_	121	126	0	#176
new_n1118_	66	1	0	#177
new_n1119_	66	2	0	#178
new_n111_	3	4	0	#179
out_new_n1120_:new_n159_	0	75	0	#180
out_new_n1120_:new_n321_	88	0	0	#181
new_n1121_	27	13	0	#182
out_new_n1122_:new_n1046_	0	94	0	#183
out_new_n1122_:new_n1124_	74	0	0	#184
out_new_n1122_:new_n1123_	58	126	0	#185
new_n1123_	55	7	0	#186
new_n1124_	48	1	0	#187
new_n1125_	27	14	0	#188
new_n1126_	39	13	0	#189
new_n1127_	27	12	0	#190
new_n1128_	33	12	0	#191
new_n1129_	26	14	0	#192
new_n112_	2	4	0	#193
new_n1130_	31	8	0	#194
new_n1131_	36	5	0	#195
new_n1132_	30	9	0	#196
new_n1133_	29	5	0	#197
out_new_n1134_:new_n397_	126	30	0	#198
out_new_n1134_:new_n732_	21	0	0	#199
out_new_n1134_:new_n1135_	0	96	0	#200
new_n1135_	19	23	0	#201
new_n1136_	29	18	0	#202
out_new_n1137_:new_n41_	0	115	0	#203
out_new_n1137_:i_3_	105	126	0	#204
out_new_n1137_:i_2_	126	110	0	#205
new_n1138_	29	19	0	#206
new_n1139_	29	2	0	#207
new_n113_	7	2	0	#208
new_n1140_	5	2	0	#209
new_n1141_	32	2	0	#210
out_new_n1142_:i_5_	126	119	0	#211
out_new_n1142_:i_2_	126	108	0	#212
out_new_n1142_:new_n250_	126	22	0	#213
new_n1143_	29	3	0	#214
new_n1144_	30	4	0	#215
new_n1145_	32	4	0	#216
new_n1146_	36	3	0	#217
new_n1147_	37	3	0	#218
out_new_n1148_:i_4_	93	126	0	#219
out_new_n1148_:new_n1149_	0	41	0	#220
out_new_n1148_:new_n1150_	22	126	0	#221
new_n1149_	10	6	0	#222
new_n114_	6	3	0	#223
new_n1150_	23	23	0	#224
