Netlist file: ../../benchmarks/fpga/net_TRETS//apex2_k4.net   Architecture file: arch/k4-n1.xml
Array size: 123 x 123 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		52	124	0	#0
i_10_		77	124	0	#1
i_11_		115	124	0	#2
i_12_		54	0	0	#3
i_13_		124	13	0	#4
i_14_		0	21	0	#5
i_16_		40	0	0	#6
i_17_		53	0	0	#7
i_18_		124	9	0	#8
i_19_		124	14	0	#9
i_1_		71	124	0	#10
i_20_		28	0	0	#11
i_21_		0	15	0	#12
i_22_		95	0	0	#13
i_23_		50	0	0	#14
i_24_		59	0	0	#15
i_25_		49	0	0	#16
i_26_		67	0	0	#17
i_27_		45	0	0	#18
i_28_		52	0	0	#19
i_29_		65	0	0	#20
i_2_		68	0	0	#21
i_30_		44	124	0	#22
i_31_		58	0	0	#23
i_32_		0	7	0	#24
i_33_		0	4	0	#25
i_34_		61	0	0	#26
i_35_		63	0	0	#27
i_36_		32	0	0	#28
i_37_		124	11	0	#29
i_38_		110	0	0	#30
i_3_		124	10	0	#31
i_4_		64	0	0	#32
i_5_		73	124	0	#33
i_6_		66	0	0	#34
i_7_		0	12	0	#35
i_8_		0	9	0	#36
i_9_		124	16	0	#37
new_n1000_	92	11	0	#38
new_n1001_	74	6	0	#39
new_n1002_	79	8	0	#40
new_n1003_	65	4	0	#41
new_n1004_	65	3	0	#42
new_n1005_	35	2	0	#43
new_n1006_	74	3	0	#44
new_n1007_	73	2	0	#45
new_n1008_	89	4	0	#46
out_new_n1009_:new_n195_	70	124	0	#47
out_new_n1009_:new_n587_	119	124	0	#48
out_new_n1009_:new_n1010_	124	74	0	#49
new_n100_	103	9	0	#50
new_n1010_	119	3	0	#51
out_new_n1011_:new_n782_	124	78	0	#52
out_new_n1011_:new_n1012_	124	42	0	#53
new_n1012_	112	5	0	#54
new_n1013_	102	4	0	#55
new_n1014_	82	4	0	#56
new_n1015_	81	2	0	#57
new_n1016_	79	4	0	#58
new_n1017_	78	4	0	#59
new_n1018_	91	4	0	#60
new_n1019_	113	4	0	#61
new_n101_	115	15	0	#62
new_n1020_	115	4	0	#63
out_new_n1021_:new_n122_	124	31	0	#64
out_new_n1021_:i_30_	9	124	0	#65
out_new_n1021_:new_n742_	124	65	0	#66
new_n1022_	93	5	0	#67
out_new_n1023_:new_n1029_	118	0	0	#68
out_new_n1023_:new_n1033_	89	0	0	#69
out_new_n1023_:new_n1038_	124	20	0	#70
out_new_n1024_:new_n1028_	124	73	0	#71
out_new_n1024_:new_n1027_	75	0	0	#72
out_new_n1024_:new_n1025_	124	29	0	#73
new_n1025_	105	8	0	#74
new_n1026_	96	4	0	#75
new_n1027_	75	6	0	#76
new_n1028_	92	10	0	#77
new_n1029_	118	1	0	#78
new_n102_	80	8	0	#79
new_n1030_	116	1	0	#80
new_n1031_	116	2	0	#81
new_n1032_	119	1	0	#82
new_n1033_	88	2	0	#83
new_n1034_	88	4	0	#84
new_n1035_	88	3	0	#85
new_n1036_	81	3	0	#86
new_n1037_	81	4	0	#87
new_n1038_	95	11	0	#88
new_n1039_	93	11	0	#89
new_n103_	73	10	0	#90
new_n1040_	91	11	0	#91
new_n1041_	90	10	0	#92
new_n1042_	96	9	0	#93
new_n1043_	97	3	0	#94
new_n1044_	92	6	0	#95
out_new_n1045_:new_n604_	115	0	0	#96
out_new_n1045_:new_n665_	124	75	0	#97
out_new_n1045_:new_n739_	124	70	0	#98
new_n1046_	91	5	0	#99
new_n1047_	94	6	0	#100
new_n1048_	91	7	0	#101
new_n1049_	90	8	0	#102
new_n104_	49	5	0	#103
new_n1050_	95	5	0	#104
new_n1051_	97	5	0	#105
new_n1052_	113	5	0	#106
new_n1053_	108	4	0	#107
new_n1054_	95	4	0	#108
new_n1055_	95	3	0	#109
new_n1056_	89	3	0	#110
new_n1057_	95	6	0	#111
out_new_n1059_:new_n1065_	0	6	0	#112
out_new_n1059_:new_n1082_	0	24	0	#113
out_new_n1059_:new_n1109_	0	47	0	#114
new_n105_	41	3	0	#115
out_new_n1060_:new_n1061_	13	0	0	#116
out_new_n1060_:new_n1064_	0	27	0	#117
out_new_n1060_:i_36_	0	79	0	#118
new_n1061_	13	1	0	#119
new_n1062_	13	2	0	#120
out_new_n1063_:new_n383_	0	57	0	#121
new_n1064_	45	12	0	#122
new_n1065_	20	6	0	#123
new_n1066_	46	6	0	#124
out_new_n1067_:new_n511_	0	71	0	#125
new_n1068_	16	3	0	#126
new_n1069_	20	5	0	#127
new_n106_	66	2	0	#128
new_n1070_	10	2	0	#129
new_n1071_	9	3	0	#130
new_n1072_	53	7	0	#131
new_n1073_	43	6	0	#132
new_n1074_	35	8	0	#133
new_n1075_	31	3	0	#134
new_n1076_	22	6	0	#135
out_new_n1077_:new_n111_	0	31	0	#136
new_n1078_	25	6	0	#137
new_n1079_	26	6	0	#138
new_n107_	60	3	0	#139
out_new_n1080_:new_n142_	0	33	0	#140
out_new_n1080_:new_n575_	72	0	0	#141
out_new_n1080_:new_n1081_	0	82	0	#142
new_n1081_	22	5	0	#143
new_n1082_	19	5	0	#144
out_new_n1083_:new_n1084_	0	58	0	#145
out_new_n1083_:new_n1087_	0	48	0	#146
new_n1084_	6	3	0	#147
new_n1085_	7	2	0	#148
new_n1086_	21	3	0	#149
new_n1087_	25	7	0	#150
new_n1088_	27	6	0	#151
new_n1089_	27	4	0	#152
new_n108_	60	4	0	#153
new_n1090_	35	7	0	#154
new_n1091_	37	7	0	#155
new_n1092_	18	3	0	#156
new_n1093_	18	4	0	#157
new_n1094_	17	3	0	#158
new_n1095_	17	4	0	#159
new_n1096_	13	3	0	#160
new_n1097_	17	2	0	#161
new_n1098_	21	4	0	#162
new_n1099_	25	3	0	#163
new_n109_	62	5	0	#164
new_n1100_	23	4	0	#165
new_n1101_	41	6	0	#166
new_n1102_	41	11	0	#167
new_n1103_	41	10	0	#168
