Netlist file: ../../benchmarks/fpga/net_TRETS//k2_k5.net   Architecture file: arch/k5-n1.xml
Array size: 51 x 51 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	19	5	0	#0
new_n101_	25	2	0	#1
new_n102_	34	5	0	#2
new_n104_	23	8	0	#3
new_n105_	30	3	0	#4
new_n106_	32	2	0	#5
new_n107_	14	6	0	#6
new_n108_	22	5	0	#7
new_n109_	30	1	0	#8
new_n110_	29	3	0	#9
new_n111_	33	1	0	#10
new_n112_	26	3	0	#11
new_n113_	28	2	0	#12
new_n114_	26	1	0	#13
new_n115_	22	2	0	#14
out_new_n117_:new_n97_	52	30	0	#15
out_new_n117_:new_n120_	16	0	0	#16
out_new_n117_:new_n118_	43	0	0	#17
new_n118_	35	4	0	#18
new_n119_	21	4	0	#19
new_n120_	23	2	0	#20
new_n121_	29	7	0	#21
new_n122_	29	6	0	#22
new_n123_	23	3	0	#23
new_n124_	36	5	0	#24
new_n125_	33	5	0	#25
new_n126_	27	6	0	#26
new_n127_	24	8	0	#27
new_n128_	29	5	0	#28
new_n129_	28	4	0	#29
new_n130_	27	4	0	#30
new_n131_	28	5	0	#31
new_n132_	27	2	0	#32
new_n133_	26	5	0	#33
new_n134_	30	5	0	#34
new_n135_	26	2	0	#35
new_n136_	17	2	0	#36
out_new_n137_:pc0	52	46	0	#37
out_new_n137_:new_n130_	29	52	0	#38
out_new_n138_:ps	52	31	0	#39
out_new_n138_:pv	39	0	0	#40
out_new_n138_:pt	28	0	0	#41
out_new_n138_:pu	36	0	0	#42
new_n139_	24	7	0	#43
new_n140_	21	7	0	#44
new_n141_	22	6	0	#45
out_new_n142_:pw	0	46	0	#46
out_new_n142_:pa0	45	52	0	#47
out_new_n142_:pl	49	52	0	#48
new_n143_	23	4	0	#49
new_n144_	22	4	0	#50
new_n145_	24	3	0	#51
new_n146_	24	5	0	#52
new_n147_	23	5	0	#53
new_n148_	19	3	0	#54
out_new_n149_:pr0	0	50	0	#55
out_new_n149_:new_n150_	0	33	0	#56
new_n150_	2	3	0	#57
new_n151_	4	2	0	#58
new_n152_	1	1	0	#59
new_n153_	13	2	0	#60
new_n154_	14	1	0	#61
new_n155_	2	2	0	#62
new_n156_	1	2	0	#63
new_n157_	7	1	0	#64
new_n158_	12	1	0	#65
new_n159_	13	1	0	#66
new_n160_	10	2	0	#67
new_n161_	20	2	0	#68
new_n162_	3	2	0	#69
new_n163_	5	1	0	#70
new_n164_	5	2	0	#71
new_n165_	8	1	0	#72
new_n166_	3	1	0	#73
new_n167_	4	1	0	#74
new_n168_	1	3	0	#75
new_n170_	45	1	0	#76
new_n171_	43	2	0	#77
new_n173_	40	1	0	#78
new_n174_	20	1	0	#79
new_n175_	42	2	0	#80
new_n176_	37	2	0	#81
out_new_n177_:pw	0	48	0	#82
out_new_n177_:pa0	46	52	0	#83
new_n178_	44	1	0	#84
new_n179_	36	2	0	#85
new_n180_	31	5	0	#86
new_n181_	42	1	0	#87
new_n182_	29	4	0	#88
new_n183_	5	3	0	#89
new_n184_	12	3	0	#90
new_n185_	12	6	0	#91
new_n186_	13	6	0	#92
new_n187_	16	6	0	#93
new_n188_	14	5	0	#94
new_n189_	16	4	0	#95
out_new_n190_:pf	52	50	0	#96
out_new_n190_:new_n115_	43	52	0	#97
new_n191_	12	2	0	#98
new_n192_	5	4	0	#99
new_n193_	6	4	0	#100
out_new_n195_:new_n113_	38	0	0	#101
out_new_n195_:new_n115_	42	52	0	#102
new_n196_	10	5	0	#103
new_n197_	9	1	0	#104
new_n198_	13	4	0	#105
new_n199_	11	5	0	#106
new_n200_	25	4	0	#107
new_n201_	8	4	0	#108
new_n202_	8	5	0	#109
new_n204_	31	3	0	#110
new_n205_	41	3	0	#111
new_n206_	22	1	0	#112
new_n207_	22	3	0	#113
new_n208_	28	3	0	#114
new_n209_	33	2	0	#115
new_n210_	27	3	0	#116
new_n211_	28	1	0	#117
new_n212_	25	3	0	#118
new_n213_	23	11	0	#119
new_n215_	22	7	0	#120
new_n216_	25	6	0	#121
new_n217_	26	6	0	#122
new_n218_	29	2	0	#123
new_n219_	24	2	0	#124
new_n220_	18	8	0	#125
new_n221_	24	11	0	#126
new_n222_	20	8	0	#127
