Netlist file: ../../benchmarks/fpga/net_TRETS/alu4_k6.net   Architecture file: arch/k6-n1.xml
Array size: 91 x 91 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		40	0	0	#0
i_10_		47	0	0	#1
i_11_		48	0	0	#2
i_12_		46	0	0	#3
i_13_		38	0	0	#4
i_1_		42	0	0	#5
i_2_		44	0	0	#6
i_3_		41	0	0	#7
i_4_		36	0	0	#8
i_5_		39	0	0	#9
i_6_		45	0	0	#10
i_7_		37	0	0	#11
i_8_		43	0	0	#12
i_9_		49	0	0	#13
new_n100_	40	16	0	#14
new_n102_	76	1	0	#15
new_n103_	58	5	0	#16
new_n104_	70	7	0	#17
new_n105_	52	10	0	#18
new_n106_	50	4	0	#19
out_new_n108_:new_n160_	84	0	0	#20
out_new_n108_:new_n258_	92	18	0	#21
out_new_n108_:new_n168_	0	14	0	#22
out_new_n108_:new_n109_	40	92	0	#23
out_new_n108_:new_n136_	0	9	0	#24
new_n109_	41	9	0	#25
new_n110_	43	9	0	#26
new_n111_	42	8	0	#27
new_n112_	43	8	0	#28
new_n113_	48	4	0	#29
new_n114_	41	3	0	#30
new_n115_	44	9	0	#31
new_n116_	40	10	0	#32
new_n117_	42	10	0	#33
new_n118_	43	1	0	#34
new_n119_	41	7	0	#35
new_n120_	39	4	0	#36
new_n121_	38	3	0	#37
new_n122_	40	4	0	#38
new_n123_	46	14	0	#39
new_n124_	39	3	0	#40
new_n125_	40	1	0	#41
new_n126_	47	9	0	#42
new_n127_	39	7	0	#43
new_n128_	46	2	0	#44
new_n129_	39	8	0	#45
new_n130_	37	1	0	#46
new_n131_	41	8	0	#47
out_new_n132_:i_0_	0	72	0	#48
out_new_n132_:i_6_	92	75	0	#49
out_new_n132_:i_2_	10	92	0	#50
out_new_n132_:i_1_	0	71	0	#51
out_new_n132_:i_7_	0	86	0	#52
new_n133_	42	9	0	#53
new_n134_	52	12	0	#54
new_n135_	40	8	0	#55
new_n136_	17	8	0	#56
out_new_n137_:i_8_	46	92	0	#57
