Netlist file: ../../benchmarks/fpga/net_TRETS/apex2_k6.net   Architecture file: arch/k6-n1.xml
Array size: 90 x 90 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		45	0	0	#0
i_10_		91	33	0	#1
i_11_		73	91	0	#2
i_12_		91	13	0	#3
i_13_		91	32	0	#4
i_14_		91	10	0	#5
i_16_		81	0	0	#6
i_17_		91	11	0	#7
i_18_		91	35	0	#8
i_19_		91	31	0	#9
i_1_		91	37	0	#10
i_20_		76	91	0	#11
i_21_		74	91	0	#12
i_22_		91	34	0	#13
i_23_		91	12	0	#14
i_24_		91	18	0	#15
i_25_		91	20	0	#16
i_26_		91	19	0	#17
i_27_		0	24	0	#18
i_28_		91	14	0	#19
i_29_		91	16	0	#20
i_2_		91	25	0	#21
i_30_		91	38	0	#22
i_31_		91	27	0	#23
i_32_		91	28	0	#24
i_33_		91	24	0	#25
i_34_		91	17	0	#26
i_35_		91	15	0	#27
i_36_		79	0	0	#28
i_37_		0	9	0	#29
i_38_		91	22	0	#30
i_3_		91	36	0	#31
i_4_		91	23	0	#32
i_5_		91	26	0	#33
i_6_		91	21	0	#34
i_7_		75	91	0	#35
i_8_		91	29	0	#36
i_9_		91	30	0	#37
new_n1000_	86	9	0	#38
new_n1001_	81	10	0	#39
new_n1002_	78	10	0	#40
new_n1003_	77	1	0	#41
out_new_n1004_:new_n1012_	28	0	0	#42
out_new_n1004_:new_n1014_	91	2	0	#43
out_new_n1004_:new_n1020_	82	0	0	#44
out_new_n1004_:new_n1023_	91	6	0	#45
out_new_n1005_:new_n125_	0	64	0	#46
out_new_n1005_:new_n1010_	91	3	0	#47
out_new_n1005_:new_n1006_	89	0	0	#48
out_new_n1005_:new_n1008_	30	0	0	#49
out_new_n1005_:new_n1007_	85	0	0	#50
new_n1006_	89	1	0	#51
new_n1007_	85	4	0	#52
new_n1008_	30	1	0	#53
new_n1009_	38	2	0	#54
out_new_n100_:new_n102_	47	91	0	#55
new_n1010_	89	3	0	#56
new_n1011_	85	5	0	#57
new_n1012_	28	1	0	#58
new_n1013_	54	4	0	#59
new_n1014_	89	2	0	#60
new_n1015_	87	3	0	#61
new_n1016_	89	7	0	#62
new_n1017_	90	2	0	#63
new_n1018_	88	2	0	#64
new_n1019_	88	3	0	#65
new_n101_	53	8	0	#66
new_n1020_	83	5	0	#67
new_n1021_	83	9	0	#68
new_n1022_	81	5	0	#69
new_n1023_	86	6	0	#70
new_n1024_	85	3	0	#71
new_n1025_	85	7	0	#72
new_n1026_	86	7	0	#73
new_n1027_	75	2	0	#74
new_n1028_	74	3	0	#75
new_n1029_	75	3	0	#76
new_n102_	46	8	0	#77
new_n1030_	79	1	0	#78
new_n1031_	79	2	0	#79
new_n1032_	80	2	0	#80
new_n1033_	76	5	0	#81
new_n1034_	81	1	0	#82
new_n1035_	78	1	0	#83
new_n1036_	79	3	0	#84
out_new_n1037_:i_31_	0	76	0	#85
out_new_n1037_:new_n156_	67	0	0	#86
out_new_n1037_:new_n346_	20	0	0	#87
out_new_n1037_:new_n908_	91	4	0	#88
out_new_n1037_:new_n985_	76	0	0	#89
new_n1038_	78	3	0	#90
new_n1039_	77	3	0	#91
new_n103_	52	4	0	#92
new_n1040_	78	4	0	#93
new_n1041_	77	4	0	#94
new_n1042_	80	4	0	#95
