Netlist file: ../../benchmarks/fpga/net_TRETS//k2_k6.net   Architecture file: arch/k6-n1.xml
Array size: 50 x 50 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	37	2	0	#0
new_n101_	29	4	0	#1
new_n102_	27	1	0	#2
new_n104_	13	4	0	#3
new_n105_	14	3	0	#4
new_n106_	14	2	0	#5
new_n107_	12	1	0	#6
new_n108_	20	1	0	#7
new_n109_	15	1	0	#8
new_n110_	15	3	0	#9
new_n111_	23	5	0	#10
new_n112_	19	3	0	#11
new_n113_	21	3	0	#12
new_n114_	15	2	0	#13
new_n115_	23	1	0	#14
new_n116_	12	2	0	#15
new_n117_	14	4	0	#16
new_n118_	43	1	0	#17
new_n119_	43	2	0	#18
new_n120_	41	2	0	#19
new_n121_	30	3	0	#20
new_n122_	25	1	0	#21
new_n123_	30	2	0	#22
new_n124_	28	4	0	#23
new_n125_	31	2	0	#24
new_n126_	26	3	0	#25
out_new_n128_:pe0	38	0	0	#26
out_new_n128_:pd0	9	0	0	#27
out_new_n128_:new_n130_	45	0	0	#28
out_new_n128_:new_n129_	43	51	0	#29
new_n129_	26	4	0	#30
new_n130_	28	1	0	#31
new_n131_	40	6	0	#32
new_n132_	25	5	0	#33
new_n133_	30	5	0	#34
new_n134_	30	8	0	#35
new_n135_	34	5	0	#36
new_n136_	36	2	0	#37
new_n137_	35	2	0	#38
new_n138_	23	2	0	#39
new_n139_	30	4	0	#40
new_n140_	31	3	0	#41
new_n141_	29	2	0	#42
new_n142_	29	1	0	#43
new_n143_	27	2	0	#44
new_n144_	27	3	0	#45
new_n145_	26	2	0	#46
out_new_n146_:pw	0	27	0	#47
out_new_n146_:pa0	34	51	0	#48
out_new_n146_:pl	49	51	0	#49
new_n147_	42	2	0	#50
new_n148_	32	3	0	#51
new_n149_	28	3	0	#52
new_n150_	41	1	0	#53
new_n151_	23	3	0	#54
new_n152_	11	1	0	#55
new_n153_	13	1	0	#56
new_n154_	13	3	0	#57
new_n155_	16	2	0	#58
new_n156_	31	4	0	#59
new_n157_	29	3	0	#60
out_new_n158_:pr0	50	51	0	#61
out_new_n159_:new_n161_	0	26	0	#62
new_n160_	14	1	0	#63
new_n161_	1	1	0	#64
out_new_n163_:new_n164_	51	9	0	#65
out_new_n163_:new_n175_	51	8	0	#66
new_n164_	36	6	0	#67
out_new_n165_:pa	51	48	0	#68
out_new_n165_:new_n122_	41	0	0	#69
new_n166_	35	1	0	#70
new_n167_	35	7	0	#71
new_n168_	34	6	0	#72
new_n170_	25	3	0	#73
new_n171_	36	3	0	#74
new_n172_	35	6	0	#75
new_n173_	34	7	0	#76
new_n174_	35	3	0	#77
new_n175_	38	5	0	#78
new_n176_	30	7	0	#79
new_n177_	26	1	0	#80
new_n178_	44	4	0	#81
new_n179_	44	1	0	#82
new_n180_	32	1	0	#83
new_n181_	22	3	0	#84
new_n182_	30	1	0	#85
new_n183_	32	2	0	#86
out_new_n184_:pw	0	28	0	#87
out_new_n184_:pz	46	51	0	#88
new_n185_	37	5	0	#89
new_n186_	28	2	0	#90
new_n187_	32	7	0	#91
new_n188_	15	5	0	#92
new_n189_	23	6	0	#93
new_n190_	24	8	0	#94
new_n191_	25	8	0	#95
new_n192_	19	2	0	#96
new_n193_	40	2	0	#97
new_n194_	13	2	0	#98
new_n195_	32	5	0	#99
new_n196_	17	3	0	#100
new_n197_	21	5	0	#101
new_n199_	23	4	0	#102
new_n200_	25	4	0	#103
