Netlist file: ../../benchmarks/fpga/net_TRETS//misex3_k4.net   Architecture file: arch/k4-n1.xml
Array size: 113 x 113 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
a		58	0	0	#0
b		66	0	0	#1
c		59	0	0	#2
d		57	0	0	#3
e		63	0	0	#4
f		60	0	0	#5
g		62	0	0	#6
h		61	0	0	#7
out_h2:new_n703_	52	114	0	#8
out_h2:new_n705_	61	114	0	#9
out_h2:new_n725_	1	0	0	#10
i		68	0	0	#11
out_i2:new_n749_	97	0	0	#12
out_i2:new_n759_	0	32	0	#13
out_i2:new_n761_	0	12	0	#14
j		65	0	0	#15
out_j2:new_n641_	0	40	0	#16
out_j2:new_n652_	107	0	0	#17
out_j2:new_n669_	99	0	0	#18
k		67	0	0	#19
out_k2:new_n681_	94	0	0	#20
out_k2:new_n685_	109	0	0	#21
l		54	0	0	#22
out_l2:new_n981_	20	0	0	#23
out_l2:new_n1048_	0	7	0	#24
out_l2:new_n1091_	33	0	0	#25
m		56	0	0	#26
out_m2:new_n641_	0	38	0	#27
out_m2:new_n750_	98	0	0	#28
out_m2:new_n1146_	51	0	0	#29
n		55	0	0	#30
out_n2:new_n801_	106	0	0	#31
out_n2:new_n805_	114	16	0	#32
out_n2:new_n826_	64	114	0	#33
new_n1000_	9	1	0	#34
new_n1001_	31	1	0	#35
new_n1002_	18	2	0	#36
new_n1003_	17	1	0	#37
new_n1004_	21	4	0	#38
new_n1005_	17	3	0	#39
out_new_n1006_:new_n914_	11	114	0	#40
new_n1007_	22	4	0	#41
new_n1008_	20	4	0	#42
new_n1009_	19	4	0	#43
new_n100_	58	9	0	#44
new_n1010_	19	5	0	#45
new_n1011_	27	3	0	#46
out_new_n1012_:new_n1014_	0	70	0	#47
out_new_n1012_:new_n1013_	113	0	0	#48
out_new_n1012_:new_n1015_	75	0	0	#49
new_n1013_	112	1	0	#50
new_n1014_	1	5	0	#51
new_n1015_	75	1	0	#52
new_n1016_	75	2	0	#53
new_n1017_	74	1	0	#54
new_n1018_	22	3	0	#55
new_n1019_	22	5	0	#56
out_new_n101_:new_n105_	82	114	0	#57
out_new_n101_:new_n102_	114	93	0	#58
new_n1020_	21	5	0	#59
new_n1021_	21	3	0	#60
new_n1022_	18	3	0	#61
new_n1023_	37	1	0	#62
new_n1024_	38	1	0	#63
new_n1025_	39	1	0	#64
new_n1026_	40	1	0	#65
new_n1027_	29	3	0	#66
new_n1028_	29	5	0	#67
new_n1029_	75	3	0	#68
new_n102_	75	14	0	#69
new_n1030_	39	5	0	#70
out_new_n1031_:new_n1034_	0	61	0	#71
out_new_n1031_:new_n1032_	88	0	0	#72
new_n1032_	87	1	0	#73
out_new_n1033_:new_n123_	37	114	0	#74
out_new_n1033_:new_n1020_	0	68	0	#75
new_n1034_	5	2	0	#76
new_n1035_	39	6	0	#77
new_n1036_	45	6	0	#78
new_n1037_	44	6	0	#79
new_n1038_	39	8	0	#80
new_n1039_	38	5	0	#81
new_n103_	48	7	0	#82
out_new_n1040_:new_n143_	0	85	0	#83
out_new_n1040_:new_n657_	114	90	0	#84
new_n1041_	37	5	0	#85
new_n1042_	36	5	0	#86
new_n1043_	41	6	0	#87
new_n1044_	43	6	0	#88
new_n1045_	37	6	0	#89
out_new_n1046_:g	86	114	0	#90
out_new_n1046_:new_n908_	10	0	0	#91
new_n1047_	41	7	0	#92
new_n1048_	28	7	0	#93
out_new_n1049_:new_n1052_	23	0	0	#94
out_new_n1049_:new_n1054_	0	30	0	#95
out_new_n1049_:new_n1056_	0	50	0	#96
new_n104_	67	7	0	#97
out_new_n1050_:new_n698_	0	28	0	#98
out_new_n1050_:new_n915_	0	97	0	#99
out_new_n1050_:new_n1051_	0	5	0	#100
new_n1051_	6	4	0	#101
new_n1052_	33	1	0	#102
new_n1053_	26	1	0	#103
new_n1054_	3	3	0	#104
new_n1055_	3	2	0	#105
new_n1056_	31	7	0	#106
new_n1057_	29	7	0	#107
new_n1058_	41	8	0	#108
new_n1059_	28	6	0	#109
new_n105_	83	55	0	#110
out_new_n1060_:new_n59_	0	73	0	#111
out_new_n1060_:new_n676_	108	0	0	#112
out_new_n1060_:new_n1061_	0	53	0	#113
new_n1061_	28	8	0	#114
new_n1062_	31	4	0	#115
new_n1063_	28	5	0	#116
new_n1064_	30	4	0	#117
new_n1065_	24	4	0	#118
new_n1066_	24	1	0	#119
new_n1067_	33	6	0	#120
new_n1068_	34	6	0	#121
out_new_n1069_:b	0	47	0	#122
out_new_n1069_:new_n287_	30	0	0	#123
new_n106_	63	6	0	#124
new_n1070_	33	7	0	#125
new_n1071_	29	6	0	#126
out_new_n1072_:f	19	114	0	#127
out_new_n1072_:new_n62_	114	82	0	#128
out_new_n1072_:new_n1073_	0	64	0	#129
new_n1073_	7	3	0	#130
new_n1074_	21	2	0	#131
new_n1075_	31	6	0	#132
new_n1076_	48	6	0	#133
new_n1077_	18	5	0	#134
new_n1078_	16	5	0	#135
new_n1079_	30	5	0	#136
new_n107_	109	2	0	#137
new_n1080_	30	6	0	#138
new_n1081_	30	3	0	#139
new_n1082_	30	7	0	#140
out_new_n1083_:l	2	114	0	#141
out_new_n1083_:new_n1005_	0	51	0	#142
out_new_n1083_:new_n1084_	0	43	0	#143
new_n1084_	35	8	0	#144
new_n1085_	29	8	0	#145
new_n1086_	32	7	0	#146
new_n1087_	32	4	0	#147
out_new_n1088_:new_n196_	32	0	0	#148
out_new_n1088_:new_n208_	25	0	0	#149
new_n1089_	30	8	0	#150
new_n108_	103	2	0	#151
new_n1090_	42	8	0	#152
new_n1091_	33	3	0	#153
out_new_n1092_:new_n1095_	0	37	0	#154
out_new_n1092_:new_n1093_	35	114	0	#155
out_new_n1092_:new_n1094_	0	52	0	#156
new_n1093_	36	9	0	#157
new_n1094_	16	3	0	#158
new_n1095_	1	6	0	#159
out_new_n1096_:new_n39_	114	85	0	#160
out_new_n1096_:new_n140_	109	114	0	#161
out_new_n1096_:new_n377_	0	77	0	#162
new_n1097_	33	5	0	#163
out_new_n1098_:new_n661_	0	72	0	#164
out_new_n1098_:new_n1099_	0	39	0	#165
out_new_n1098_:new_n1101_	0	56	0	#166
new_n1099_	14	4	0	#167
new_n109_	69	5	0	#168
new_n1100_	15	3	0	#169
new_n1101_	9	3	0	#170
new_n1102_	34	7	0	#171
new_n1103_	49	8	0	#172
new_n1104_	35	3	0	#173
out_new_n1105_:new_n207_	0	19	0	#174
new_n1106_	34	3	0	#175
new_n1107_	33	8	0	#176
new_n1108_	34	8	0	#177
new_n1109_	32	8	0	#178
out_new_n110_:h	30	114	0	#179
out_new_n110_:j	0	105	0	#180
out_new_n110_:k	111	114	0	#181
out_new_n1110_:new_n109_	114	108	0	#182
out_new_n1110_:new_n154_	114	98	0	#183
new_n1111_	41	4	0	#184
out_new_n1112_:j	0	110	0	#185
out_new_n1112_:new_n1113_	0	54	0	#186
out_new_n1112_:new_n1114_	73	114	0	#187
new_n1113_	4	5	0	#188
new_n1114_	72	15	0	#189
new_n1115_	40	4	0	#190
new_n1116_	40	6	0	#191
new_n1117_	42	5	0	#192
out_new_n1118_:new_n91_	0	80	0	#193
out_new_n1118_:new_n929_	33	114	0	#194
out_new_n1118_:new_n999_	0	44	0	#195
out_new_n1119_:e	0	99	0	#196
out_new_n1119_:j	0	101	0	#197
out_new_n1119_:g	5	114	0	#198
new_n111_	86	7	0	#199
new_n1120_	40	5	0	#200
new_n1121_	43	8	0	#201
new_n1122_	43	9	0	#202
new_n1123_	43	7	0	#203
new_n1124_	44	5	0	#204
new_n1125_	44	4	0	#205
new_n1126_	45	4	0	#206
out_new_n1127_:new_n1128_	74	0	0	#207
new_n1128_	74	2	0	#208
new_n1129_	47	5	0	#209
out_new_n112_:new_n38_	114	25	0	#210
out_new_n112_:new_n113_	38	0	0	#211
new_n1130_	43	5	0	#212
new_n1131_	74	3	0	#213
new_n1132_	32	2	0	#214
out_new_n1133_:f	21	114	0	#215
out_new_n1133_:new_n1135_	79	114	0	#216
out_new_n1133_:new_n1134_	31	0	0	#217
new_n1134_	32	3	0	#218
new_n1135_	77	14	0	#219
new_n1136_	30	1	0	#220
new_n1137_	30	2	0	#221
new_n1138_	29	2	0	#222
new_n1139_	26	2	0	#223
new_n113_	48	1	0	#224
new_n1140_	33	2	0	#225
out_new_n1141_:new_n109_	114	102	0	#226
out_new_n1141_:new_n200_	7	114	0	#227
out_new_n1141_:new_n1142_	75	114	0	#228
new_n1142_	74	15	0	#229
new_n1143_	31	2	0	#230
new_n1144_	31	3	0	#231
new_n1146_	51	1	0	#232
new_n1147_	51	3	0	#233
new_n1148_	41	3	0	#234
new_n1149_	40	3	0	#235
new_n114_	52	1	0	#236
out_new_n1150_:new_n421_	0	84	0	#237
out_new_n1150_:new_n955_	0	33	0	#238
out_new_n1151_:g	9	114	0	#239
out_new_n1151_:new_n657_	114	92	0	#240
out_new_n1151_:new_n915_	0	95	0	#241
new_n115_	60	1	0	#242
new_n116_	75	4	0	#243
new_n117_	81	6	0	#244
new_n118_	87	5	0	#245
new_n119_	67	10	0	#246
new_n120_	87	7	0	#247
