Netlist file: ../../benchmarks/fpga/net_TRETS//pdc_k4.net   Architecture file: arch/k4-n1.xml
Array size: 255 x 255 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		140	0	0	#0
i_10_		123	0	0	#1
i_11_		121	0	0	#2
i_12_		120	0	0	#3
i_13_		122	0	0	#4
i_14_		118	0	0	#5
i_15_		119	0	0	#6
i_1_		141	0	0	#7
i_2_		142	0	0	#8
i_3_		139	0	0	#9
i_4_		138	0	0	#10
i_5_		137	0	0	#11
i_6_		134	0	0	#12
i_7_		136	0	0	#13
i_8_		132	0	0	#14
i_9_		124	0	0	#15
new_n1001_	241	1	0	#16
new_n1002_	223	1	0	#17
new_n1003_	221	1	0	#18
new_n1004_	246	1	0	#19
new_n1005_	238	2	0	#20
new_n1006_	162	2	0	#21
new_n1007_	243	1	0	#22
new_n1008_	214	1	0	#23
new_n1009_	213	1	0	#24
new_n100_	116	18	0	#25
new_n1010_	215	1	0	#26
new_n1012_	126	24	0	#27
new_n1013_	126	23	0	#28
new_n1014_	116	14	0	#29
new_n1015_	126	22	0	#30
new_n1016_	99	17	0	#31
new_n1017_	83	7	0	#32
new_n1018_	87	7	0	#33
new_n1019_	88	12	0	#34
new_n101_	178	2	0	#35
new_n1020_	87	13	0	#36
new_n1021_	91	7	0	#37
new_n1022_	89	12	0	#38
new_n1023_	117	6	0	#39
new_n1024_	97	6	0	#40
new_n1025_	100	25	0	#41
new_n1026_	99	25	0	#42
new_n1027_	115	22	0	#43
new_n1028_	114	25	0	#44
new_n102_	119	9	0	#45
new_n1030_	133	19	0	#46
new_n1031_	132	18	0	#47
new_n1032_	102	19	0	#48
new_n1033_	128	17	0	#49
new_n1034_	134	17	0	#50
new_n1035_	151	13	0	#51
new_n1036_	249	1	0	#52
out_new_n1037_:new_n783_	167	256	0	#53
out_new_n1037_:new_n798_	43	256	0	#54
out_new_n1037_:new_n931_	63	256	0	#55
new_n1038_	148	8	0	#56
new_n1039_	148	5	0	#57
new_n103_	122	1	0	#58
new_n1040_	144	8	0	#59
new_n1041_	150	11	0	#60
new_n1042_	133	18	0	#61
new_n1043_	95	24	0	#62
new_n1045_	159	6	0	#63
out_new_n1046_:new_n885_	81	256	0	#64
out_new_n1046_:new_n873_	181	256	0	#65
new_n1047_	162	5	0	#66
new_n1048_	158	5	0	#67
new_n1049_	154	5	0	#68
out_new_n104_:new_n90_	151	0	0	#69
new_n1050_	155	4	0	#70
new_n1051_	154	4	0	#71
new_n1052_	158	4	0	#72
new_n1053_	153	5	0	#73
new_n1054_	152	5	0	#74
new_n1055_	152	6	0	#75
new_n1056_	138	13	0	#76
new_n1057_	153	6	0	#77
new_n1058_	162	3	0	#78
new_n1059_	135	17	0	#79
new_n105_	139	2	0	#80
new_n1060_	115	5	0	#81
new_n1061_	153	4	0	#82
new_n1062_	152	7	0	#83
new_n1063_	151	10	0	#84
new_n1064_	159	7	0	#85
new_n1065_	154	8	0	#86
new_n1066_	124	11	0	#87
new_n1067_	153	9	0	#88
new_n1068_	159	9	0	#89
new_n1069_	145	22	0	#90
new_n106_	143	4	0	#91
new_n1070_	165	4	0	#92
out_new_n1071_:new_n537_	0	58	0	#93
out_new_n1071_:new_n812_	256	89	0	#94
out_new_n1071_:new_n1072_	256	103	0	#95
new_n1072_	163	6	0	#96
new_n1073_	165	5	0	#97
new_n1074_	164	4	0	#98
new_n1075_	165	3	0	#99
new_n1076_	146	19	0	#100
new_n1077_	94	15	0	#101
new_n1078_	57	10	0	#102
new_n1079_	134	14	0	#103
new_n107_	142	6	0	#104
new_n1080_	147	18	0	#105
new_n1081_	146	17	0	#106
new_n1082_	147	16	0	#107
new_n1083_	142	22	0	#108
new_n1084_	142	21	0	#109
new_n1085_	142	20	0	#110
new_n1086_	143	21	0	#111
new_n1087_	140	21	0	#112
new_n1088_	140	20	0	#113
new_n1089_	164	2	0	#114
new_n108_	128	2	0	#115
out_new_n1090_:new_n833_	116	256	0	#116
out_new_n1090_:new_n933_	256	46	0	#117
out_new_n1090_:new_n1091_	256	77	0	#118
new_n1091_	206	3	0	#119
new_n1092_	164	3	0	#120
out_new_n1093_:new_n895_	0	203	0	#121
out_new_n1093_:new_n1094_	255	0	0	#122
out_new_n1093_:new_n1095_	256	94	0	#123
new_n1094_	245	1	0	#124
new_n1095_	250	1	0	#125
new_n1096_	169	2	0	#126
new_n1097_	186	2	0	#127
new_n1098_	185	2	0	#128
new_n1099_	167	1	0	#129
new_n109_	124	2	0	#130
new_n1100_	166	1	0	#131
out_new_n1101_:new_n187_	256	142	0	#132
new_n1102_	170	2	0	#133
new_n1103_	163	3	0	#134
new_n1104_	164	6	0	#135
new_n1105_	163	2	0	#136
new_n1106_	165	2	0	#137
new_n1107_	161	3	0	#138
new_n1108_	161	4	0	#139
new_n1109_	153	7	0	#140
new_n110_	120	3	0	#141
new_n1110_	156	9	0	#142
new_n1111_	158	9	0	#143
new_n1112_	140	23	0	#144
new_n1113_	193	3	0	#145
new_n1114_	153	12	0	#146
new_n1115_	123	11	0	#147
new_n1118_	212	2	0	#148
new_n1119_	200	2	0	#149
new_n111_	123	1	0	#150
new_n1120_	213	2	0	#151
new_n1121_	205	2	0	#152
new_n1122_	203	2	0	#153
new_n1123_	203	3	0	#154
new_n1124_	253	2	0	#155
new_n1125_	252	1	0	#156
new_n1126_	211	2	0	#157
new_n1128_	236	1	0	#158
new_n1129_	230	1	0	#159
new_n112_	119	1	0	#160
new_n1130_	234	1	0	#161
new_n1131_	235	1	0	#162
new_n1132_	231	1	0	#163
new_n1133_	233	1	0	#164
new_n1134_	232	1	0	#165
new_n1135_	239	1	0	#166
out_new_n1137_:new_n299_	256	157	0	#167
out_new_n1137_:new_n1138_	256	106	0	#168
new_n1138_	255	105	0	#169
new_n1139_	222	1	0	#170
new_n113_	122	2	0	#171
new_n1140_	218	1	0	#172
new_n1141_	196	2	0	#173
new_n1142_	195	2	0	#174
new_n1143_	195	1	0	#175
new_n1144_	196	1	0	#176
new_n1145_	191	3	0	#177
new_n1146_	197	2	0	#178
new_n1147_	198	2	0	#179
new_n1148_	202	1	0	#180
new_n1149_	191	2	0	#181
new_n114_	126	2	0	#182
new_n1151_	102	25	0	#183
out_new_n1152_:new_n1162_	142	256	0	#184
out_new_n1152_:new_n1167_	141	256	0	#185
out_new_n1152_:new_n1153_	111	256	0	#186
new_n1153_	112	33	0	#187
new_n1154_	120	33	0	#188
new_n1155_	118	33	0	#189
new_n1156_	154	21	0	#190
new_n1157_	122	12	0	#191
new_n1158_	122	33	0	#192
new_n1159_	111	24	0	#193
new_n115_	124	1	0	#194
new_n1160_	111	25	0	#195
new_n1161_	112	34	0	#196
new_n1162_	141	31	0	#197
new_n1163_	141	30	0	#198
new_n1164_	139	30	0	#199
new_n1165_	123	32	0	#200
new_n1166_	147	1	0	#201
new_n1167_	138	33	0	#202
new_n1168_	137	30	0	#203
new_n1169_	135	30	0	#204
new_n116_	126	7	0	#205
new_n1170_	151	8	0	#206
new_n1171_	97	7	0	#207
new_n1172_	122	25	0	#208
new_n1173_	121	23	0	#209
new_n1174_	113	16	0	#210
new_n1175_	117	17	0	#211
