Netlist file: ../../benchmarks/fpga/net_TRETS//misex3_k3.net   Architecture file: arch/k3-n1.xml
Array size: 129 x 129 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
a		66	0	0	#0
b		64	0	0	#1
c		130	17	0	#2
d		57	0	0	#3
e		68	0	0	#4
f		130	15	0	#5
g		58	0	0	#6
h		56	0	0	#7
out_h2:new_n851_	110	0	0	#8
out_h2:new_n873_	102	0	0	#9
i		50	0	0	#10
out_i2:new_n919_	0	3	0	#11
out_i2:new_n922_	83	0	0	#12
j		60	0	0	#13
out_j2:new_n783_	0	32	0	#14
out_j2:new_n800_	9	0	0	#15
k		67	0	0	#16
out_k2:new_n824_	0	66	0	#17
out_k2:new_n829_	0	1	0	#18
l		47	0	0	#19
out_l2:new_n1204_	0	33	0	#20
out_l2:new_n1336_	0	6	0	#21
m		0	13	0	#22
out_m2:new_n829_	1	0	0	#23
out_m2:new_n907_	13	0	0	#24
n		0	15	0	#25
out_n2:new_n971_	66	130	0	#26
out_n2:new_n1015_	85	0	0	#27
new_n1000_	64	18	0	#28
new_n1001_	68	15	0	#29
new_n1002_	69	8	0	#30
new_n1003_	68	3	0	#31
new_n1004_	68	2	0	#32
out_new_n1005_:new_n453_	15	0	0	#33
new_n1006_	64	14	0	#34
new_n1007_	63	14	0	#35
new_n1008_	61	7	0	#36
new_n1009_	59	6	0	#37
out_new_n100_:new_n103_	130	12	0	#38
out_new_n1010_:new_n77_	108	130	0	#39
out_new_n1010_:new_n116_	130	32	0	#40
new_n1011_	62	14	0	#41
new_n1012_	21	8	0	#42
new_n1013_	64	11	0	#43
new_n1014_	60	10	0	#44
new_n1015_	85	1	0	#45
out_new_n1016_:new_n120_	130	90	0	#46
new_n1017_	82	1	0	#47
new_n1018_	82	2	0	#48
new_n1019_	84	1	0	#49
new_n101_	76	2	0	#50
new_n1020_	86	1	0	#51
out_new_n1022_:new_n962_	59	130	0	#52
out_new_n1022_:new_n1023_	23	0	0	#53
new_n1023_	23	1	0	#54
out_new_n1024_:new_n1025_	19	0	0	#55
out_new_n1024_:new_n1028_	44	0	0	#56
new_n1025_	21	4	0	#57
new_n1026_	22	7	0	#58
new_n1027_	117	4	0	#59
new_n1028_	45	5	0	#60
new_n1029_	78	5	0	#61
new_n102_	64	6	0	#62
new_n1030_	44	5	0	#63
new_n1031_	42	4	0	#64
new_n1032_	42	5	0	#65
new_n1033_	42	3	0	#66
new_n1034_	23	2	0	#67
new_n1035_	23	3	0	#68
new_n1036_	24	2	0	#69
new_n1037_	25	2	0	#70
new_n1038_	27	1	0	#71
new_n1039_	27	2	0	#72
new_n103_	118	5	0	#73
out_new_n1040_:new_n492_	81	0	0	#74
out_new_n1040_:new_n961_	57	130	0	#75
new_n1041_	64	8	0	#76
out_new_n1042_:new_n1048_	0	40	0	#77
out_new_n1042_:new_n1049_	109	0	0	#78
out_new_n1043_:new_n1047_	130	64	0	#79
out_new_n1043_:new_n1044_	71	0	0	#80
new_n1044_	71	1	0	#81
new_n1045_	67	2	0	#82
out_new_n1046_:new_n204_	130	27	0	#83
out_new_n1046_:new_n673_	130	53	0	#84
new_n1047_	120	4	0	#85
new_n1048_	20	8	0	#86
new_n1049_	109	3	0	#87
new_n104_	34	8	0	#88
new_n1050_	109	4	0	#89
out_new_n1051_:k	113	130	0	#90
out_new_n1051_:new_n803_	0	102	0	#91
new_n1052_	106	3	0	#92
new_n1053_	78	3	0	#93
new_n1054_	73	8	0	#94
out_new_n1055_:new_n979_	130	87	0	#95
out_new_n1055_:new_n1056_	130	21	0	#96
new_n1056_	105	5	0	#97
new_n1057_	79	8	0	#98
new_n1058_	80	8	0	#99
new_n1059_	81	5	0	#100
new_n105_	42	9	0	#101
new_n1060_	72	8	0	#102
new_n1061_	75	8	0	#103
new_n1062_	63	8	0	#104
new_n1063_	62	8	0	#105
new_n1064_	62	7	0	#106
new_n1065_	62	6	0	#107
out_new_n1066_:new_n90_	130	56	0	#108
out_new_n1066_:new_n95_	130	95	0	#109
new_n1067_	62	9	0	#110
new_n1068_	70	14	0	#111
out_new_n1069_:new_n1070_	62	0	0	#112
new_n106_	24	4	0	#113
new_n1070_	63	15	0	#114
new_n1071_	71	11	0	#115
new_n1072_	72	11	0	#116
new_n1073_	69	14	0	#117
out_new_n1074_:new_n261_	105	130	0	#118
out_new_n1074_:new_n710_	90	130	0	#119
new_n1075_	66	14	0	#120
new_n1076_	65	14	0	#121
out_new_n1077_:new_n197_	130	110	0	#122
out_new_n1077_:new_n455_	0	116	0	#123
new_n1078_	70	9	0	#124
out_new_n107_:new_n108_	127	0	0	#125
out_new_n107_:new_n121_	0	63	0	#126
out_new_n1080_:new_n1121_	0	7	0	#127
out_new_n1080_:new_n1154_	0	16	0	#128
out_new_n1081_:new_n1104_	0	11	0	#129
out_new_n1081_:new_n1113_	130	7	0	#130
out_new_n1082_:new_n1093_	0	43	0	#131
out_new_n1082_:new_n1100_	40	130	0	#132
out_new_n1083_:new_n1091_	45	130	0	#133
out_new_n1083_:new_n1084_	62	130	0	#134
new_n1084_	61	15	0	#135
new_n1085_	59	9	0	#136
new_n1086_	62	15	0	#137
new_n1087_	18	8	0	#138
out_new_n1088_:new_n153_	130	108	0	#139
out_new_n1088_:new_n1090_	0	22	0	#140
new_n1089_	34	18	0	#141
new_n108_	124	1	0	#142
new_n1090_	9	9	0	#143
new_n1091_	44	9	0	#144
new_n1092_	41	9	0	#145
new_n1093_	2	39	0	#146
new_n1094_	3	39	0	#147
out_new_n1095_:i	13	130	0	#148
new_n1096_	4	44	0	#149
new_n1097_	13	7	0	#150
new_n1098_	4	38	0	#151
new_n1099_	36	8	0	#152
new_n109_	122	1	0	#153
new_n1100_	41	51	0	#154
new_n1101_	40	51	0	#155
new_n1102_	41	17	0	#156
out_new_n1103_:h	0	91	0	#157
out_new_n1103_:new_n806_	0	77	0	#158
new_n1104_	16	7	0	#159
new_n1105_	19	7	0	#160
