Netlist file: ../../benchmarks/fpga/net_TRETS//pdc_k3.net   Architecture file: arch/k3-n1.xml
Array size: 367 x 367 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
i_0_		368	140	0	#0
i_10_		368	90	0	#1
i_11_		237	368	0	#2
i_12_		368	72	0	#3
i_13_		368	74	0	#4
i_14_		368	73	0	#5
i_15_		368	70	0	#6
i_1_		368	253	0	#7
i_2_		368	104	0	#8
i_3_		368	102	0	#9
i_4_		368	92	0	#10
i_5_		368	91	0	#11
i_6_		368	94	0	#12
i_7_		368	93	0	#13
i_8_		368	87	0	#14
i_9_		368	82	0	#15
out_new_n1000_:new_n466_	78	368	0	#16
new_n1001_	230	9	0	#17
new_n1002_	126	1	0	#18
out_new_n1003_:new_n1007_	72	0	0	#19
out_new_n1004_:new_n387_	0	167	0	#20
out_new_n1004_:new_n1005_	194	368	0	#21
new_n1005_	198	71	0	#22
new_n1006_	198	69	0	#23
new_n1007_	72	1	0	#24
new_n1008_	124	1	0	#25
new_n1009_	125	1	0	#26
new_n100_	238	95	0	#27
new_n1010_	127	1	0	#28
new_n1011_	169	6	0	#29
new_n1012_	227	11	0	#30
new_n1013_	123	1	0	#31
new_n1014_	256	18	0	#32
new_n1015_	262	17	0	#33
new_n1016_	257	18	0	#34
new_n1017_	126	2	0	#35
new_n1018_	127	2	0	#36
new_n1019_	153	2	0	#37
new_n101_	366	20	0	#38
new_n1020_	212	3	0	#39
new_n1021_	271	6	0	#40
new_n1022_	179	13	0	#41
new_n1023_	219	30	0	#42
new_n1024_	220	2	0	#43
new_n1025_	124	2	0	#44
out_new_n1026_:new_n303_	328	368	0	#45
out_new_n1026_:new_n429_	0	346	0	#46
new_n1027_	125	2	0	#47
new_n1028_	123	2	0	#48
new_n1029_	230	75	0	#49
new_n102_	364	21	0	#50
new_n1030_	252	1	0	#51
new_n1031_	252	3	0	#52
new_n1032_	252	5	0	#53
out_new_n1033_:new_n1040_	305	368	0	#54
new_n1034_	300	1	0	#55
out_new_n1035_:new_n1036_	0	77	0	#56
new_n1036_	246	7	0	#57
new_n1037_	260	9	0	#58
new_n1038_	261	69	0	#59
new_n1039_	262	69	0	#60
new_n103_	360	19	0	#61
new_n1040_	261	58	0	#62
new_n1041_	260	58	0	#63
new_n1042_	259	67	0	#64
