Netlist file: ../../benchmarks/fpga/net_TRETS//too-lrg_k3.net   Architecture file: arch/k3-n1.xml
Array size: 29 x 29 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
new_n100_	3	8	0	#0
out_new_n101_:new_n63_	30	23	0	#1
out_new_n101_:new_n102_	29	0	0	#2
new_n102_	29	1	0	#3
new_n103_	29	3	0	#4
out_new_n104_:pl	16	30	0	#5
new_n105_	29	2	0	#6
new_n106_	5	8	0	#7
new_n107_	6	8	0	#8
new_n108_	4	6	0	#9
new_n109_	3	6	0	#10
new_n110_	6	3	0	#11
new_n111_	2	4	0	#12
new_n112_	6	7	0	#13
out_new_n113_:new_n114_	30	21	0	#14
out_new_n113_:new_n115_	30	22	0	#15
new_n114_	29	5	0	#16
new_n115_	29	6	0	#17
new_n116_	6	2	0	#18
new_n117_	7	1	0	#19
new_n118_	2	6	0	#20
new_n119_	2	3	0	#21
out_new_n120_:new_n121_	4	0	0	#22
out_new_n120_:pw	0	24	0	#23
new_n121_	4	1	0	#24
out_new_n122_:new_n56_	14	30	0	#25
out_new_n122_:new_n123_	14	0	0	#26
new_n123_	14	1	0	#27
new_n124_	15	1	0	#28
new_n125_	5	2	0	#29
new_n126_	9	1	0	#30
new_n127_	5	7	0	#31
new_n128_	3	3	0	#32
new_n129_	4	3	0	#33
new_n130_	5	3	0	#34
out_new_n131_:pv	0	26	0	#35
out_new_n131_:new_n132_	30	9	0	#36
new_n132_	27	5	0	#37
new_n133_	5	6	0	#38
new_n134_	3	7	0	#39
new_n135_	1	8	0	#40
new_n136_	2	8	0	#41
new_n137_	1	9	0	#42
new_n138_	9	3	0	#43
new_n139_	2	5	0	#44
new_n140_	2	2	0	#45
new_n141_	3	2	0	#46
new_n142_	3	1	0	#47
new_n143_	2	1	0	#48
new_n144_	3	5	0	#49
new_n145_	4	5	0	#50
out_new_n146_:new_n85_	0	22	0	#51
out_new_n146_:new_n127_	0	15	0	#52
new_n147_	3	4	0	#53
new_n148_	5	5	0	#54
new_n149_	6	5	0	#55
out_new_n150_:new_n56_	10	30	0	#56
out_new_n150_:po	13	30	0	#57
out_new_n152_:new_n153_	11	0	0	#58
out_new_n152_:new_n172_	0	11	0	#59
new_n153_	11	1	0	#60
new_n154_	10	2	0	#61
new_n155_	17	2	0	#62
out_new_n156_:pm	12	30	0	#63
out_new_n156_:new_n157_	30	19	0	#64
new_n157_	28	5	0	#65
new_n158_	21	2	0	#66
new_n159_	21	3	0	#67
out_new_n160_:new_n161_	0	19	0	#68
new_n161_	5	4	0	#69
new_n162_	22	2	0	#70
new_n163_	9	2	0	#71
new_n164_	11	2	0	#72
new_n165_	14	2	0	#73
new_n166_	10	1	0	#74
new_n167_	7	3	0	#75
new_n168_	12	1	0	#76
new_n169_	12	2	0	#77
new_n170_	13	2	0	#78
out_new_n171_:new_n111_	0	27	0	#79
new_n172_	2	9	0	#80
new_n173_	3	9	0	#81
new_n174_	4	9	0	#82
new_n175_	5	9	0	#83
new_n176_	3	10	0	#84
new_n177_	2	10	0	#85
out_new_n178_:pu	8	30	0	#86
out_new_n179_:pc	28	30	0	#87
out_new_n179_:pu	3	30	0	#88
new_n180_	4	10	0	#89
new_n181_	1	7	0	#90
out_new_n182_:new_n183_	0	3	0	#91
out_new_n182_:pc0	2	30	0	#92
new_n183_	1	2	0	#93
out_new_n184_:new_n142_	3	0	0	#94
new_n185_	2	7	0	#95
out_new_n187_:new_n188_	26	0	0	#96
out_new_n187_:new_n209_	8	0	0	#97
new_n188_	26	1	0	#98
new_n189_	26	2	0	#99
new_n190_	27	2	0	#100
new_n191_	28	2	0	#101
out_new_n192_:new_n193_	30	12	0	#102
new_n193_	29	4	0	#103
new_n194_	27	3	0	#104
new_n195_	28	3	0	#105
new_n196_	28	4	0	#106
out_new_n197_:pm	26	30	0	#107
out_new_n197_:pk	30	17	0	#108
out_new_n198_:new_n196_	30	20	0	#109
out_new_n198_:new_n199_	21	0	0	#110
new_n199_	19	1	0	#111
out_new_n200_:pc	24	30	0	#112
out_new_n200_:pj	30	13	0	#113
new_n201_	18	3	0	#114
new_n202_	25	2	0	#115
