dotName;nExtraL;success;wrongEdges;area;usedAreaPercentage;nodes;wires
1bitAdderAOIG_inverted;0;0;3;42;0;14;11
1bitAdderAOIG_inverted;1;0;3;49;0;14;12
1bitAdderAOIG_inverted;2;0;3;56;0;14;18
1bitAdderAOIG_inverted;3;0;5;54;0;14;24
1bitAdderAOIG_inverted;4;0;5;72;0;14;29
1bitAdderMaj_inverted;0;0;11;110;0;20;52
1bitAdderMaj_inverted;1;0;11;121;0;20;57
1bitAdderMaj_inverted;2;0;14;121;0;20;60
1bitAdderMaj_inverted;3;0;14;144;0;20;65
1bitAdderMaj_inverted;4;0;13;132;0;20;73
b1_r2_inverted;0;0;4;49;0;19;6
b1_r2_inverted;1;0;3;56;0;19;12
b1_r2_inverted;2;0;4;72;0;19;19
b1_r2_inverted;3;0;6;81;0;19;26
b1_r2_inverted;4;0;6;100;0;19;33
clpl_inverted;0;0;4;121;0;26;45
clpl_inverted;1;0;6;121;0;26;55
clpl_inverted;2;0;6;144;0;26;65
clpl_inverted;3;0;7;132;0;26;73
clpl_inverted;4;0;6;169;0;26;81
FA_inverted;0;0;2;18;0;10;3
FA_inverted;1;0;1;24;0;10;6
FA_inverted;2;0;2;30;0;10;9
FA_inverted;3;0;2;36;0;10;10
FA_inverted;4;0;3;40;0;10;16
FS_inverted;0;0;2;30;0;12;5
FS_inverted;1;0;2;36;0;12;11
FS_inverted;2;0;3;64;0;12;17
FS_inverted;3;0;3;64;0;12;23
FS_inverted;4;0;3;81;0;12;29
HA_inverted;0;1;0;9;0;6;0
HA_inverted;1;1;0;8;1;6;2
HA_inverted;2;0;1;25;0;6;6
HA_inverted;3;0;1;30;0;6;8
HA_inverted;4;0;1;30;0;6;10
HS_inverted;0;0;1;12;0;7;1
HS_inverted;1;0;1;16;0;7;5
HS_inverted;2;0;1;30;0;7;9
HS_inverted;3;1;0;36;0;7;13
HS_inverted;4;0;1;49;0;7;16
mux21_inverted;0;0;1;16;0;8;2
mux21_inverted;1;0;1;18;0;8;2
mux21_inverted;2;1;0;24;0;8;5
mux21_inverted;3;0;1;36;0;8;8
mux21_inverted;4;1;0;30;0;8;11
mux41_inverted;0;0;5;100;0;19;37
mux41_inverted;1;0;6;100;0;19;44
mux41_inverted;2;0;7;121;0;19;51
mux41_inverted;3;0;7;121;0;19;59
mux41_inverted;4;0;7;144;0;19;66
newtag_inverted;0;0;2;64;0;24;8
newtag_inverted;1;0;4;64;0;24;16
newtag_inverted;2;0;4;81;0;24;22
newtag_inverted;3;0;4;81;0;24;25
newtag_inverted;4;0;4;100;0;24;33
par_check_inverted;0;0;7;64;0;20;16
par_check_inverted;1;0;6;72;0;20;23
par_check_inverted;2;0;6;90;0;20;30
par_check_inverted;3;0;7;100;0;20;37
par_check_inverted;4;0;7;100;0;20;44
par_gen_inverted;0;0;3;49;0;14;9
par_gen_inverted;1;0;3;56;0;14;13
par_gen_inverted;2;0;2;56;0;14;19
par_gen_inverted;3;0;3;56;0;14;21
par_gen_inverted;4;0;3;81;0;14;25
RCA2_inverted;0;0;12;121;0;30;36
RCA2_inverted;1;0;12;121;0;30;46
RCA2_inverted;2;0;11;144;0;30;54
RCA2_inverted;3;0;16;144;0;30;63
RCA2_inverted;4;0;16;144;0;30;70
t_inverted;0;0;2;42;0;17;5
t_inverted;1;0;3;49;0;17;9
t_inverted;2;0;3;56;0;17;14
t_inverted;3;0;3;64;0;17;14
t_inverted;4;0;3;72;0;17;21
xnor2_inverted;0;0;2;20;0;9;2
xnor2_inverted;1;0;1;20;0;9;6
xnor2_inverted;2;0;1;36;0;9;10
xnor2_inverted;3;1;0;36;0;9;14
xnor2_inverted;4;0;1;36;0;9;18
xor5_r1_inverted;0;0;7;90;0;32;22
xor5_r1_inverted;1;0;7;100;0;32;32
xor5_r1_inverted;2;0;7;110;0;32;33
xor5_r1_inverted;3;0;9;121;0;32;39
xor5_r1_inverted;4;0;6;121;0;32;43
xor5R_inverted;0;0;8;110;0;38;37
xor5R_inverted;1;0;12;132;0;38;47
xor5R_inverted;2;0;14;144;0;38;58
xor5R_inverted;3;0;14;169;0;38;68
xor5R_inverted;4;0;16;169;0;38;78
