dotName;nExtraL;success;wrongEdges;area;usedAreaPercentage;nodes;wires
1bitAdderAOIG_inverted;0;0;4;49;0,510204;14;11
1bitAdderAOIG_inverted;1;0;3;49;0,591837;14;15
1bitAdderAOIG_inverted;2;0;3;64;0,53125;14;20
1bitAdderAOIG_inverted;3;0;3;48;0,708333;14;21
1bitAdderAOIG_inverted;4;0;4;72;0,541667;14;25
1bitAdderMaj_inverted;0;0;47;72;0,513889;20;52
1bitAdderMaj_inverted;1;0;43;110;0,381818;20;53
1bitAdderMaj_inverted;2;0;44;81;0,567901;20;58
1bitAdderMaj_inverted;3;0;53;99;0,40404;20;61
1bitAdderMaj_inverted;4;0;48;120;0,441667;20;69
b1_r2_inverted;0;0;3;49;0,510204;19;6
b1_r2_inverted;1;0;4;49;0,653061;19;13
b1_r2_inverted;2;0;3;72;0,541667;19;20
b1_r2_inverted;3;0;7;81;0,518519;19;26
b1_r2_inverted;4;0;7;100;0,48;19;32
clpl_inverted;0;0;24;100;0,47;26;45
clpl_inverted;1;0;37;100;0,42;26;53
clpl_inverted;2;0;41;90;0,533333;26;63
clpl_inverted;3;0;53;88;0,522727;26;73
clpl_inverted;4;0;54;96;0,572917;26;83
FA_inverted;0;0;2;25;0,52;10;3
FA_inverted;1;0;2;30;0,633333;10;9
FA_inverted;2;0;2;42;0,595238;10;15
FA_inverted;3;0;2;56;0,553571;10;21
FA_inverted;4;0;3;64;0,53125;10;24
FS_inverted;0;0;2;36;0,472222;12;5
FS_inverted;1;0;2;35;0,6;12;9
FS_inverted;2;0;1;35;0,657143;12;11
FS_inverted;3;0;3;56;0,482143;12;15
FS_inverted;4;0;2;64;0,515625;12;21
HA_inverted;0;1;0;8;0,75;6;0
HA_inverted;1;1;0;12;0,666667;6;2
HA_inverted;2;1;0;12;0,666667;6;2
HA_inverted;3;0;1;25;0,48;6;6
HA_inverted;4;0;1;36;0,388889;6;8
HS_inverted;0;0;1;15;0,533333;7;1
HS_inverted;1;0;1;20;0,55;7;4
HS_inverted;2;0;1;25;0,56;7;7
HS_inverted;3;0;1;30;0,5;7;8
HS_inverted;4;0;1;28;0,642857;7;11
mux21_inverted;0;0;1;16;0,625;8;2
mux21_inverted;1;0;1;16;0,625;8;2
mux21_inverted;2;1;0;24;0,541667;8;5
mux21_inverted;3;0;1;24;0,666667;8;8
mux21_inverted;4;0;1;24;0,666667;8;8
mux41_inverted;0;0;4;90;0,622222;19;37
mux41_inverted;1;0;20;81;0,580247;19;44
mux41_inverted;2;0;26;70;0,685714;19;51
mux41_inverted;3;0;37;80;0,5625;19;59
mux41_inverted;4;0;36;120;0,441667;19;66
newtag_inverted;0;0;1;56;0,571429;24;8
newtag_inverted;1;0;7;48;0,583333;24;10
newtag_inverted;2;0;6;56;0,517857;24;10
newtag_inverted;3;0;6;48;0,625;24;11
newtag_inverted;4;0;7;56;0,553571;24;12
par_check_inverted;0;0;12;56;0,535714;20;16
par_check_inverted;1;0;12;63;0,571429;20;22
par_check_inverted;2;0;9;81;0,555556;20;28
par_check_inverted;3;0;18;80;0,525;20;34
par_check_inverted;4;0;19;100;0,48;20;41
par_gen_inverted;0;0;4;42;0,547619;14;9
par_gen_inverted;1;0;4;42;0,547619;14;10
par_gen_inverted;2;0;4;42;0,571429;14;10
par_gen_inverted;3;0;3;64;0,46875;14;16
par_gen_inverted;4;0;3;64;0,46875;14;16
RCA2_inverted;0;0;34;77;0,545455;30;36
RCA2_inverted;1;0;33;81;0,617284;30;44
RCA2_inverted;2;0;33;144;0,423611;30;54
RCA2_inverted;3;0;43;132;0,44697;30;62
RCA2_inverted;4;0;60;132;0,363636;30;68
t_inverted;0;0;2;35;0,571429;17;5
t_inverted;1;0;3;48;0,520833;17;9
t_inverted;2;0;3;48;0,5625;17;11
t_inverted;3;0;5;64;0,453125;17;15
t_inverted;4;0;6;49;0,612245;17;17
xnor2_inverted;0;0;2;20;0,55;9;2
xnor2_inverted;1;0;2;20;0,6;9;3
xnor2_inverted;2;0;2;36;0,361111;9;4
xnor2_inverted;3;0;1;30;0,5;9;6
xnor2_inverted;4;0;1;25;0,64;9;7
xor5_r1_inverted;0;0;7;100;0,54;32;22
xor5_r1_inverted;1;0;8;100;0,54;32;22
xor5_r1_inverted;2;0;20;90;0,577778;32;32
xor5_r1_inverted;3;0;26;99;0,50505;32;36
xor5_r1_inverted;4;0;23;121;0,454545;32;38
xor5R_inverted;0;0;33;99;0,535354;38;37
xor5R_inverted;1;0;41;99;0,494949;38;41
xor5R_inverted;2;0;36;144;0,402778;38;45
xor5R_inverted;3;0;42;144;0,416667;38;53
xor5R_inverted;4;0;48;110;0,527273;38;57
