dotName;nExtraL;success;wrongEdges;area;usedAreaPercentage;nodes;wires
1bitAdderAOIG_inverted;0;0;3;42;0,595238;14;11
1bitAdderAOIG_inverted;1;0;3;48;0,583333;14;14
1bitAdderAOIG_inverted;2;0;4;56;0,553571;14;17
1bitAdderAOIG_inverted;3;0;4;64;0,5625;14;22
1bitAdderAOIG_inverted;4;0;2;63;0,650794;14;27
1bitAdderMaj_inverted;0;0;44;99;0,40404;20;52
1bitAdderMaj_inverted;1;0;49;99;0,414141;20;58
1bitAdderMaj_inverted;2;0;48;132;0,378788;20;66
1bitAdderMaj_inverted;3;0;57;132;0,371212;20;74
1bitAdderMaj_inverted;4;0;58;121;0,421488;20;77
b1_r2_inverted;0;0;4;35;0,714286;19;6
b1_r2_inverted;1;0;4;64;0,5;19;13
b1_r2_inverted;2;0;4;64;0,59375;19;19
b1_r2_inverted;3;0;7;56;0,714286;19;24
b1_r2_inverted;4;0;9;81;0,54321;19;30
clpl_inverted;0;0;26;88;0,511364;26;45
clpl_inverted;1;0;41;100;0,4;26;55
clpl_inverted;2;0;41;88;0,568182;26;65
clpl_inverted;3;0;51;110;0,454545;26;75
clpl_inverted;4;0;50;156;0,391026;26;85
FA_inverted;0;0;2;25;0,52;10;3
FA_inverted;1;0;2;24;0,583333;10;4
FA_inverted;2;0;1;42;0,452381;10;9
FA_inverted;3;0;3;49;0,510204;10;15
FA_inverted;4;0;2;64;0,484375;10;21
FS_inverted;0;0;2;35;0,485714;12;5
FS_inverted;1;0;3;35;0,542857;12;7
FS_inverted;2;0;1;36;0,638889;12;11
FS_inverted;3;0;3;56;0,482143;12;15
FS_inverted;4;0;3;56;0,589286;12;21
HA_inverted;0;1;0;8;0,75;6;0
HA_inverted;1;1;0;9;0,666667;6;0
HA_inverted;2;1;0;10;0,8;6;2
HA_inverted;3;1;0;16;0,5;6;2
HA_inverted;4;1;0;12;0,666667;6;2
HS_inverted;0;0;1;15;0,533333;7;1
HS_inverted;1;0;1;20;0,6;7;5
HS_inverted;2;0;1;30;0,533333;7;9
HS_inverted;3;0;1;35;0,485714;7;10
HS_inverted;4;1;0;35;0,571429;7;13
mux21_inverted;0;0;1;25;0,4;8;2
mux21_inverted;1;1;0;16;0,75;8;4
mux21_inverted;2;0;1;20;0,8;8;8
mux21_inverted;3;0;1;30;0,533333;8;8
mux21_inverted;4;1;0;30;0,666667;8;12
mux41_inverted;0;0;18;80;0,525;19;37
mux41_inverted;1;0;19;81;0,592593;19;44
mux41_inverted;2;0;31;99;0,444444;19;52
mux41_inverted;3;0;34;99;0,494949;19;60
mux41_inverted;4;0;28;108;0,574074;19;67
newtag_inverted;0;0;1;56;0,571429;24;8
newtag_inverted;1;0;1;72;0,555556;24;16
newtag_inverted;2;0;6;81;0,530864;24;24
newtag_inverted;3;0;9;90;0,477778;24;27
newtag_inverted;4;0;15;81;0,530864;24;33
par_check_inverted;0;0;16;40;0,65;20;16
par_check_inverted;1;0;8;81;0,493827;20;22
par_check_inverted;2;0;14;81;0,493827;20;28
par_check_inverted;3;0;20;90;0,444444;20;34
par_check_inverted;4;0;19;80;0,5875;20;40
par_gen_inverted;0;0;4;42;0,52381;14;9
par_gen_inverted;1;0;3;48;0,5625;14;13
par_gen_inverted;2;0;2;48;0,583333;14;14
par_gen_inverted;3;0;2;64;0,484375;14;17
par_gen_inverted;4;0;2;64;0,5;14;18
RCA2_inverted;0;0;35;99;0,40404;30;36
RCA2_inverted;1;0;39;110;0,4;30;44
RCA2_inverted;2;0;41;132;0,401515;30;54
RCA2_inverted;3;0;52;110;0,418182;30;60
RCA2_inverted;4;0;46;144;0,416667;30;66
t_inverted;0;0;2;35;0,571429;17;5
t_inverted;1;0;2;35;0,571429;17;5
t_inverted;2;0;2;56;0,446429;17;9
t_inverted;3;0;2;56;0,535714;17;14
t_inverted;4;0;3;56;0,535714;17;14
xnor2_inverted;0;0;2;36;0,305556;9;2
xnor2_inverted;1;0;2;24;0,5;9;3
xnor2_inverted;2;0;2;24;0,541667;9;4
xnor2_inverted;3;0;2;30;0,466667;9;5
xnor2_inverted;4;0;2;30;0,5;9;6
xor5_r1_inverted;0;0;12;90;0,533333;32;22
xor5_r1_inverted;1;0;11;100;0,54;32;26
xor5_r1_inverted;2;0;22;121;0,446281;32;36
xor5_r1_inverted;3;0;32;110;0,490909;32;46
xor5_r1_inverted;4;0;21;121;0,545455;32;47
xor5R_inverted;0;0;20;99;0,656566;38;37
xor5R_inverted;1;0;36;110;0,481818;38;41
xor5R_inverted;2;0;29;132;0,484848;38;45
xor5R_inverted;3;0;37;120;0,541667;38;53
xor5R_inverted;4;0;47;99;0,59596;38;57
