dotName,nExtraL,success,wrongEdges,area,usedAreaPercentage,nodes,wires
1bitAdderAOIG_inverted,0,0,3,30,0.833333,14,11
1bitAdderAOIG_inverted,1,0,3,64,0.484375,14,17
1bitAdderAOIG_inverted,2,0,3,56,0.660714,14,23
1bitAdderAOIG_inverted,3,0,3,81,0.530864,14,29
1bitAdderAOIG_inverted,4,0,4,81,0.604938,14,35
1bitAdderMaj_inverted,0,0,11,100,0.72,20,52
1bitAdderMaj_inverted,1,0,12,121,0.652893,20,59
1bitAdderMaj_inverted,2,0,12,144,0.569444,20,62
1bitAdderMaj_inverted,3,0,12,144,0.611111,20,68
1bitAdderMaj_inverted,4,0,12,132,0.727273,20,76
b1_r2_inverted,0,0,3,42,0.595238,19,6
b1_r2_inverted,1,0,4,64,0.484375,19,12
b1_r2_inverted,2,0,4,72,0.513889,19,18
b1_r2_inverted,3,0,5,72,0.597222,19,24
b1_r2_inverted,4,0,5,81,0.604938,19,30
clpl_inverted,0,0,3,110,0.645455,26,45
clpl_inverted,1,0,4,121,0.669421,26,55
clpl_inverted,2,0,4,144,0.631944,26,65
clpl_inverted,3,0,4,169,0.597633,26,75
clpl_inverted,4,0,6,169,0.656805,26,85
FA_inverted,0,0,2,20,0.65,10,3
FA_inverted,1,0,2,24,0.583333,10,4
FA_inverted,2,0,1,25,0.68,10,7
FA_inverted,3,0,2,42,0.47619,10,10
FA_inverted,4,0,2,49,0.530612,10,16
FS_inverted,0,0,2,30,0.566667,12,5
FS_inverted,1,0,2,42,0.547619,12,11
FS_inverted,2,0,2,48,0.5625,12,15
FS_inverted,3,0,2,56,0.589286,12,21
FS_inverted,4,0,3,81,0.481481,12,27
HA_inverted,0,1,0,9,0.666667,6,0
HA_inverted,1,0,1,24,0.416667,6,4
HA_inverted,2,1,0,25,0.56,6,8
HA_inverted,3,1,0,24,0.583333,6,8
HA_inverted,4,1,0,24,0.666667,6,10
HS_inverted,0,0,1,20,0.4,7,1
HS_inverted,1,0,1,20,0.55,7,4
HS_inverted,2,0,1,25,0.56,7,7
HS_inverted,3,0,1,30,0.566667,7,10
HS_inverted,4,0,1,35,0.571429,7,13
mux21_inverted,0,0,1,16,0.625,8,2
mux21_inverted,1,1,0,16,0.8125,8,5
mux21_inverted,2,1,0,25,0.56,8,6
mux21_inverted,3,0,1,24,0.666667,8,8
mux21_inverted,4,1,0,35,0.542857,8,11
mux41_inverted,0,0,5,90,0.622222,19,37
mux41_inverted,1,0,6,100,0.64,19,45
mux41_inverted,2,0,4,121,0.595041,19,53
mux41_inverted,3,0,6,110,0.727273,19,61
mux41_inverted,4,0,6,144,0.611111,19,69
newtag_inverted,0,0,2,64,0.5,24,8
newtag_inverted,1,0,2,72,0.569444,24,17
newtag_inverted,2,0,3,81,0.530864,24,19
newtag_inverted,3,0,3,81,0.555556,24,21
newtag_inverted,4,0,3,81,0.604938,24,25
par_check_inverted,0,0,5,48,0.75,20,16
par_check_inverted,1,0,4,72,0.583333,20,22
par_check_inverted,2,0,6,81,0.592593,20,28
par_check_inverted,3,0,5,90,0.6,20,34
par_check_inverted,4,0,7,100,0.6,20,40
par_gen_inverted,0,0,3,49,0.469388,14,9
par_gen_inverted,1,0,2,49,0.55102,14,13
par_gen_inverted,2,0,2,48,0.625,14,16
par_gen_inverted,3,0,2,64,0.515625,14,19
par_gen_inverted,4,0,3,72,0.541667,14,25
RCA2_inverted,0,0,9,110,0.6,30,36
RCA2_inverted,1,0,11,121,0.628099,30,46
RCA2_inverted,2,0,12,144,0.590278,30,55
RCA2_inverted,3,0,14,144,0.659722,30,65
RCA2_inverted,4,0,13,169,0.621302,30,75
t_inverted,0,0,1,42,0.52381,17,5
t_inverted,1,0,2,49,0.55102,17,10
t_inverted,2,0,2,64,0.5,17,15
t_inverted,3,0,2,56,0.571429,17,15
t_inverted,4,0,2,72,0.513889,17,20
xnor2_inverted,0,0,2,20,0.55,9,2
xnor2_inverted,1,0,1,25,0.52,9,4
xnor2_inverted,2,0,2,25,0.6,9,6
xnor2_inverted,3,0,2,24,0.666667,9,7
xnor2_inverted,4,0,2,42,0.404762,9,8
xor5_r1_inverted,0,0,6,100,0.54,32,22
xor5_r1_inverted,1,0,6,100,0.58,32,26
xor5_r1_inverted,2,0,7,121,0.561983,32,36
xor5_r1_inverted,3,0,7,110,0.654545,32,40
xor5_r1_inverted,4,0,8,121,0.603306,32,41
xor5R_inverted,0,0,11,121,0.619835,38,37
xor5R_inverted,1,0,12,132,0.628788,38,45
xor5R_inverted,2,0,12,144,0.604167,38,49
xor5R_inverted,3,0,12,144,0.631944,38,53
xor5R_inverted,4,0,11,132,0.719697,38,57
